Iteration,CompRatio_BeforeDecomposition,CompressedTime_BeforeDecomposition,DecompressedTime_BeforeDecomposition,Total_CompRatio_AfterDecomposition,Leading_CompressedTime,Leading_DecompressedTime,Content_CompressedTime,Content_DecompressedTime,Trailing_CompressedTime,Trailing_DecompressedTime,ReconstructionTime
1,1.159991,0.185532,0.010495,1.344574,0.002510,0.000347,0.079662,0.003212,0.002861,0.001013,0.036023
2,1.159991,0.185090,0.010501,1.344574,0.001857,0.000341,0.077958,0.003213,0.002175,0.000999,0.031994
3,1.159991,0.185513,0.010517,1.344574,0.001866,0.000338,0.077989,0.003211,0.002102,0.000981,0.032038
4,1.159991,0.185253,0.010497,1.344574,0.001867,0.000343,0.077758,0.003206,0.002165,0.001002,0.031845
5,1.159991,0.185292,0.010531,1.344574,0.001904,0.000338,0.078123,0.003232,0.002118,0.000985,0.032044
6,1.159991,0.185289,0.010569,1.344574,0.001865,0.000342,0.077762,0.003210,0.002148,0.000987,0.032132
7,1.159991,0.185401,0.010941,1.344574,0.001832,0.000353,0.078148,0.003214,0.002165,0.000988,0.032031
8,1.159991,0.185076,0.010512,1.344574,0.001864,0.000341,0.077656,0.003215,0.002118,0.000981,0.031995
9,1.159991,0.184910,0.010529,1.344574,0.001963,0.000333,0.077678,0.003215,0.002138,0.001006,0.031967
10,1.159991,0.184690,0.010519,1.344574,0.001876,0.000349,0.078430,0.003245,0.002128,0.001003,0.032087
