DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio
acs_wht_f32,6.442601303943592,7.412597083285805,0.8691422495457908,1.15168,1.42623,0.8074994916668419
citytemp_f32,4.810124502622784,2.319200210174902,2.074044526867316,1.79381,2.01449,0.8904536632100433
g24_78_usb2_f32,7.3640361709263225,7.830199617191697,0.9404659562903245,0.97198,1.09654,0.8864063326463238
hdr_night_f32,3.567375417482256,2.1193087902809238e-07,16832730.71787422,1.8616,2.91897,0.6377592095842026
hdr_palermo_f32,3.8829975273601316,0.0,,1.95301,3.67966,0.5307582765799014
hst_wfc3_ir_f32,5.410832718020376,6.124936115869094,0.8834104741111425,1.49407,1.89559,0.7881820435853745
hst_wfc3_uvis_f32,5.467166095444656,5.873694958178984,0.9307882234898417,1.57092,1.77006,0.8874953391410462
jw_mirimage_f32,7.368734063453583,7.997653960289284,0.9213619518975846,0.981489,1.25583,0.7815460691335611
rsim_f32,6.3184062032532555,6.75149322010431,0.9358531508909131,1.3117,1.59132,0.8242842420129202
solar_wind_f32,6.771888677583109,4.669846013082759,1.4501310447092677,1.13184,1.22522,0.9237851161424071
spitzer_irac_f32,6.906106101380569,7.132162501963345,0.9683046480614335,0.97154,1.07543,0.9033967808225546
tpcds_catalog_f32,6.760220462707656,4.533813573686368,1.4910671453151598,1.07194,1.15224,0.9303096577101992
tpcds_store_f32,6.3455354680453695,4.241460064325255,1.4960733737463203,1.16353,1.22174,0.9523548381816097
tpcds_web_f32,6.762170614138251,4.539475929758611,1.4896368476829511,1.07204,1.15248,0.9302026933222269
tpch_lineitem_f32,5.312376193641109,3.508949088379861,1.5139507755280426,1.60914,1.47417,1.091556604733511
ts_gas_f32,7.265001099802047,7.756905102985773,0.9365850172648904,1.84017,1.81937,1.0114325288424015
turbulence_f32,7.271298432242735,7.99997864266439,0.9089147305299595,0.972216,1.14284,0.8507017605264078
wave_f32,7.551788764049033,7.99999248808574,0.9439744818880507,1.06185,1.48378,0.7156384369650487
