"Group Name","Backend","Compressed Size (Level 3)","Compression Ratio (Level 3)","Compression Time (Level 3)","Run",,,,
"group1","loky",1280183,2.81209795787009,0.0155599117279053,1,,,,
"group2","loky",1290613,2.78937218205612,0.0160675048828125,1,,,,
"group3","loky",1469494,2.44982286419679,0.016240119934082,1,,,,
"group","default",4031987,2.67858006486628,0.0417759418487549,1,,,,
"group1","loky",1280183,2.81209795787009,0.0156772136688232,2,,,,
"group2","loky",1290613,2.78937218205612,0.0146334171295166,2,,,,
"group3","loky",1469494,2.44982286419679,0.0162444114685059,2,,,,
"group","default",4031987,2.67858006486628,0.0443291664123535,2,,,"  Group                 ","Max Compression Time (s)"
"group1","loky",1280183,2.81209795787009,0.013758659362793,3,,,"0   group                  0.060485",
"group2","loky",1290613,2.78937218205612,0.014493465423584,3,,,"1  group1                  0.026097",
"group3","loky",1469494,2.44982286419679,0.0144824981689453,3,,,"2  group2                  0.026050",
"group","default",4031987,2.67858006486628,0.0395712852478027,3,,,"3  group3                  0.028083",
"group1","loky",1280183,2.81209795787009,0.0140254497528076,4,,,,
"group2","loky",1290613,2.78937218205612,0.0157759189605713,4,,,,
"group3","loky",1469494,2.44982286419679,0.0148587226867676,4,,,,
"group","default",4031987,2.67858006486628,0.0403983592987061,4,,,,
"group1","loky",1280183,2.81209795787009,0.0153648853302002,5,,,,
"group2","loky",1290613,2.78937218205612,0.0147743225097656,5,,,,
"group3","loky",1469494,2.44982286419679,0.0145795345306396,5,,,,
"group","default",4031987,2.67858006486628,0.0399601459503174,5,,,,
"group1","loky",1280183,2.81209795787009,0.0145118236541748,6,,,,
"group2","loky",1290613,2.78937218205612,0.0151114463806152,6,,,,
"group3","loky",1469494,2.44982286419679,0.01580810546875,6,,,,
"group","default",4031987,2.67858006486628,0.0408098697662354,6,,,,
"group1","loky",1280183,2.81209795787009,0.0132951736450195,7,,,,
"group2","loky",1290613,2.78937218205612,0.0175480842590332,7,,,,
"group3","loky",1469494,2.44982286419679,0.0145552158355713,7,,,,
"group","default",4031987,2.67858006486628,0.0408639907836914,7,,,,
"group1","loky",1280183,2.81209795787009,0.013385534286499,8,,,,
"group2","loky",1290613,2.78937218205612,0.0143334865570068,8,,,,
"group3","loky",1469494,2.44982286419679,0.0154275894165039,8,,,,
"group","default",4031987,2.67858006486628,0.0400128364562988,8,,,,
"group1","loky",1280183,2.81209795787009,0.0137448310852051,9,,,,
"group2","loky",1290613,2.78937218205612,0.0135738849639893,9,,,,
"group3","loky",1469494,2.44982286419679,0.0144863128662109,9,,,,
"group","default",4031987,2.67858006486628,0.0401029586791992,9,,,,
"group1","loky",1280183,2.81209795787009,0.0139048099517822,10,,,,
"group2","loky",1290613,2.78937218205612,0.0133383274078369,10,,,,
"group3","loky",1469494,2.44982286419679,0.0146908760070801,10,,,,
"group","default",4031987,2.67858006486628,0.0404872894287109,10,,,,
"group1","loky",1280183,2.81209795787009,0.0136590003967285,11,,,,
"group2","loky",1290613,2.78937218205612,0.0134804248809814,11,,,,
"group3","loky",1469494,2.44982286419679,0.0153577327728271,11,,,,
"group","default",4031987,2.67858006486628,0.0405805110931397,11,,,,
"group1","loky",1280183,2.81209795787009,0.0187172889709473,12,,,,
"group2","loky",1290613,2.78937218205612,0.0133140087127686,12,,,,
"group3","loky",1469494,2.44982286419679,0.0152790546417236,12,,,,
"group","default",4031987,2.67858006486628,0.0400025844573975,12,,,,
"group1","loky",1280183,2.81209795787009,0.0132031440734863,13,,,,
"group2","loky",1290613,2.78937218205612,0.013871431350708,13,,,,
"group3","loky",1469494,2.44982286419679,0.0150630474090576,13,,,,
"group","default",4031987,2.67858006486628,0.0434846878051758,13,,,,
"group1","loky",1280183,2.81209795787009,0.014362096786499,14,,,,
"group2","loky",1290613,2.78937218205612,0.0147709846496582,14,,,,
"group3","loky",1469494,2.44982286419679,0.0149595737457275,14,,,,
"group","default",4031987,2.67858006486628,0.0396599769592285,14,,,,
"group1","loky",1280183,2.81209795787009,0.0141727924346924,15,,,,
"group2","loky",1290613,2.78937218205612,0.0149807929992676,15,,,,
"group3","loky",1469494,2.44982286419679,0.0163013935089111,15,,,,
"group","default",4031987,2.67858006486628,0.0448637008666992,15,,,,
"group1","loky",1280183,2.81209795787009,0.0184593200683594,16,,,,
"group2","loky",1290613,2.78937218205612,0.0144860744476318,16,,,,
"group3","loky",1469494,2.44982286419679,0.018629789352417,16,,,,
"group","default",4031987,2.67858006486628,0.0413150787353516,16,,,,
"group1","loky",1280183,2.81209795787009,0.0134449005126953,17,,,,
"group2","loky",1290613,2.78937218205612,0.0149750709533691,17,,,,
"group3","loky",1469494,2.44982286419679,0.0175628662109375,17,,,,
"group","default",4031987,2.67858006486628,0.0402369499206543,17,,,,
"group1","loky",1280183,2.81209795787009,0.013516902923584,18,,,,
"group2","loky",1290613,2.78937218205612,0.0138928890228271,18,,,,
"group3","loky",1469494,2.44982286419679,0.0147287845611572,18,,,,
"group","default",4031987,2.67858006486628,0.0402631759643555,18,,,,
"group1","loky",1280183,2.81209795787009,0.0134501457214355,19,,,,
"group2","loky",1290613,2.78937218205612,0.013587474822998,19,,,,
"group3","loky",1469494,2.44982286419679,0.0146732330322266,19,,,,
"group","default",4031987,2.67858006486628,0.0405631065368652,19,,,,
"group1","loky",1280183,2.81209795787009,0.0137896537780762,20,,,,
"group2","loky",1290613,2.78937218205612,0.0137848854064941,20,,,,
"group3","loky",1469494,2.44982286419679,0.0148491859436035,20,,,,
"group","default",4031987,2.67858006486628,0.0417242050170898,20,,,,
"group1","loky",1280183,2.81209795787009,0.016718864440918,21,,,,
"group2","loky",1290613,2.78937218205612,0.0132434368133545,21,,,,
"group3","loky",1469494,2.44982286419679,0.0157532691955566,21,,,,
"group","default",4031987,2.67858006486628,0.0395138263702393,21,,,,
"group1","loky",1280183,2.81209795787009,0.0138437747955322,22,,,,
"group2","loky",1290613,2.78937218205612,0.0136990547180176,22,,,,
"group3","loky",1469494,2.44982286419679,0.0149104595184326,22,,,,
"group","default",4031987,2.67858006486628,0.0393996238708496,22,,,,
"group1","loky",1280183,2.81209795787009,0.0145993232727051,23,,,,
"group2","loky",1290613,2.78937218205612,0.0145678520202637,23,,,,
"group3","loky",1469494,2.44982286419679,0.0159468650817871,23,,,,
"group","default",4031987,2.67858006486628,0.0411257743835449,23,,,,
"group1","loky",1280183,2.81209795787009,0.014153003692627,24,,,,
"group2","loky",1290613,2.78937218205612,0.0134508609771729,24,,,,
"group3","loky",1469494,2.44982286419679,0.0149531364440918,24,,,,
"group","default",4031987,2.67858006486628,0.0400409698486328,24,,,,
"group1","loky",1280183,2.81209795787009,0.0135533809661865,25,,,,
"group2","loky",1290613,2.78937218205612,0.0138018131256104,25,,,,
"group3","loky",1469494,2.44982286419679,0.0146396160125732,25,,,,
