FeatureScenario,Metric,GeomMeanDecomposedRatio
All_Features,CalinskiHarabasz,2.009841503551414
All_Features,DaviesBouldin,2.0141276590266157
All_Features,GapStatistic,2.0196936752507098
All_Features,Silhouette,1.9080531166128811
Entropy,CalinskiHarabasz,2.009841503551414
Entropy,DaviesBouldin,2.0006646042119094
Entropy,GapStatistic,2.009295140633355
Entropy,Silhouette,1.9080531166128811
Frequency,CalinskiHarabasz,2.0288446337101105
Frequency,DaviesBouldin,2.0674096129317863
Frequency,GapStatistic,2.0210243479906316
Frequency,Silhouette,1.9420987384085746
