Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD_H2,WithinSTD_H2,BetweenSTD,DaviesBouldin,Dunn,AvgCrossEntropy,AvgJSDivergence,DeltaMatchEntropy,DeltaH0,SeparationScore_final
synthetic,Zstd,frequency,"(0,1,2,3)",HClust,5.1651,9.5629,5.16506,9.56287,0.0,1.508100147275405,1.508100147275405,1.565150936186473,1.508100147275405,1.565150936186473,5.165057013111503,0.0,9.562873452819353,0.06545493962864363,0.0,0.03700648169313891,0.0,,inf,,,0.0,0.0,0.0
synthetic,Zstd,frequency,"(0)|(1,2,3)",Non-HClust,"5.9575,4.405","9.7571,8.3565",4.79315,8.70662,0.7287270030323549,1.508100147275405,1.5814671814671815,1.6529459241323647,1.4932555596062704,1.565150936186473,9.220684721330795,1.1418446627180252,9.05677795852319,0.046459441563320505,0.7287270030323549,0.03217286437185414,0.3552693623928671,0.6811707046504655,0.16395938738642327,23.555205242928942,0.4244602378084781,0.8562497015465489,0.37190664657085915,0.37190664657085915
synthetic,Zstd,frequency,"(0,1)|(2,3)",Non-HClust,"4.8051,4.7995","8.7501,9.1916",4.80232,8.97086,0.05047127459199041,1.508100147275405,1.5981271946937183,1.6260420801905517,1.5036710719530102,1.565150936186473,8.920805774261478,0.6838374024657199,8.970857487529875,0.05193884874703253,0.05047127459199041,0.04087746767581191,0.06122247695567662,2.329073825705818,0.1408634950353215,13.935046589891234,0.36273542474790366,0.5920159652894785,0.3627354247479042,0.3627354247479042
synthetic,Zstd,frequency,"(1)|(0,2,3)",HClust,"1.9979,5.5566","3.9908,10.2977",4.6669,8.72094,1.6876057044472563,1.508100147275405,1.6006252442360298,1.5981271946937183,1.5802469135802468,1.5772044666923373,7.407585503171053,0.14686932968820443,7.144217471051402,0.029478280297602417,1.6876057044472563,0.017342667032184317,1.9391725520734178,0.14443454087494884,1.915493974666839,4.8227057933114,0.6909951774912121,0.8419303423985873,0.4981575386188144,0.4981575386188144
synthetic,Zstd,frequency,"(0)|(1)|(2,3)",Non-HClust,"5.9575,1.9979,4.7995","9.7571,3.9908,9.1916",4.38861,8.03278,1.594255776862755,1.508100147275405,1.6738863914997957,1.671154630762954,1.5699501724798774,1.565150936186473,9.864975915521006,2.889940549247127,7.646493434760721,0.0281734170511736,1.594255776862755,0.022488127692547478,1.801708337158189,0.3229394209411816,0.6968901785082575,21.776417762493626,0.6123914621906804,1.5300964420124306,0.7764429415512994,0.7764429415512994
synthetic,Zstd,frequency,"(0,1,2)|(3)",Non-HClust,"4.9475,4.9905","9.0142,9.1893",4.95821,9.05795,0.08253526738201478,1.508100147275405,1.535232383808096,1.591916051301982,1.4970760233918128,1.565150936186473,3.4954687386445027,6.442476204840009,9.101750882954345,0.037777229892483666,0.08253526738201478,0.03695676226281267,0.15888834016375952,1.2002004442778111,0.1408634950353215,11.082463323079066,0.27530922257922663,0.5049199048212891,0.2068450715818395,0.2068450715818395
synthetic,Zstd,frequency,"(1,2)|(0,3)",Non-HClust,"3.5618,5.8135","6.7211,10.4101",4.68764,8.56558,1.0445387518873945,1.508100147275405,1.60690466849745,1.644979919678715,1.50976778474014,1.5765973826020014,8.934690381312446,0.4405955661263583,8.565584375109989,0.039057864558056,1.0445387518873945,0.02934389646811466,0.7364663006197647,0.6637114238139026,0.307656059882155,5.418315905939199,0.47741403939210103,0.9972890777093646,0.4774140393921007,0.4774140393921007
synthetic,Zstd,frequency,"(0)|(1,2)|(3)",Non-HClust,"5.9575,3.5618,4.9905","9.7571,6.7211,9.1893",4.51791,8.09716,0.9252661650929762,1.508100147275405,1.6456408196062675,1.68559670781893,1.5092114959469418,1.565150936186473,9.953125,4.556680716577276,8.555846989813688,0.03235537216710047,0.9252661650929762,0.03072034046577986,0.6774093235216938,0.5757865232934413,0.21440248649042215,19.949002976394542,0.4404433295999662,1.4657109495715357,0.6471508736127101,0.6471508736127101
synthetic,Zstd,frequency,"(0,2)|(1,3)",Non-HClust,"5.5472,4.2065","9.9993,7.8117",4.87687,8.90552,0.6168136006679497,1.508100147275405,1.5633587786259542,1.6037588097102584,1.4970760233918128,1.5753846153846154,9.063261928656472,0.6904734148010654,8.905524174590429,0.054842400695702266,0.6168136006679497,0.04555485452863497,0.35104251114242935,1.5066789030896495,0.16395938738642327,14.409243883259686,0.28818934138273433,0.6573492782289243,0.28818934138273455,0.28818934138273455
synthetic,Zstd,frequency,"(2)|(0,1,3)",Non-HClust,"3.9872,5.2075","7.8097,9.4887",4.90245,9.06899,0.5315775531210356,1.508100147275405,1.5639557082856053,1.6228209191759113,1.506990434142752,1.5693486590038315,8.507573773224431,0.6871531076746624,8.649238784922106,0.04052716603924233,0.5315775531210356,0.0460486652580699,0.2276845417547375,11.07832188468132,0.2021315544105525,5.413864711218519,0.36797505474377545,0.4938881938515234,0.26260752040615465,0.26260752040615465
synthetic,Zstd,frequency,"(0)|(2)|(1,3)",Non-HClust,"5.9575,3.9872,4.2065","9.7571,7.8097,7.8117",4.58942,8.29757,0.818598525762207,1.508100147275405,1.641025641025641,1.688375927452597,1.494890510948905,1.5753846153846154,9.919184680173668,4.231998664797159,8.459519046898292,0.031948427841008396,0.818598525762207,0.031248365532131523,0.3647137919245368,1.5101777963153424,0.16395938738642327,20.10571686265484,0.44060900773544526,1.2653029349355709,0.575636510358561,0.575636510358561
