Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H3,HC_H4,WithinSTD,WithinSTD_global,Global_H1,Global_H2,Delta_H2,Delta_H1,StandardRatio,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,BetweenSTD,DaviesBouldin,Dunn,WithinSTD_H2,WithinMean_H2
synthetic,FastLZ,frequency,"(0,1,2,3)",HClust,5.138,9.5403,11.7437,11.9911,0.0555502474249286,0.0555502474249286,5.138,9.5403,0.0,0.0,0.9944161204175771,0.9944161204175771,1.0570322580645162,5.137965483981346,0.0,9.5403,0.0,,inf,0.04273698583270801,7.560281073368808
synthetic,FastLZ,frequency,"(0)|(1,2,3)",Non-HClust,5.138,9.4024,11.5902,11.9536,0.6518774175462797,0.0555502474249286,5.138,9.5403,0.13790000000000013,0.0,0.9944161204175771,0.9944161204175771,1.0570322580645162,5.137965483981346,0.0,9.4024,0.0,0.6810572269532156,0.1641937469251522,0.2999168676177774,7.395112069959829
synthetic,FastLZ,frequency,"(0,1)|(2,3)",Non-HClust,5.138,9.6228,11.6743,11.9882,0.06182042455237306,0.0555502474249286,5.138,9.5403,-0.08249999999999957,0.0,0.9944161204175771,0.9944161204175771,1.0570322580645162,5.137965483981346,0.0,9.6228,0.0,2.3292095497706438,0.14103644462858336,0.07276295690982774,7.583833749313255
synthetic,FastLZ,frequency,"(1)|(0,2,3)",HClust,5.138,9.4262,10.9441,11.4483,1.4504752090358775,0.0555502474249286,5.138,9.5403,0.11410000000000053,0.0,0.9944161204175771,1.0605903676851371,1.0605903676851371,5.137965483981346,0.0,9.4262,0.0,0.14437044486524866,1.915902116950082,1.6683269673321415,6.863686685129684
synthetic,FastLZ,frequency,"(0)|(1)|(2,3)",Non-HClust,5.138,9.3277,10.898,11.4459,1.4117471658399627,0.0555502474249286,5.138,9.5403,0.21260000000000012,0.0,0.9944161204175771,1.0567595459236325,1.0570322580645162,5.137965483981346,0.0,9.3277,0.0,0.32251824393716516,0.6985093791350411,1.632521250479759,6.796510655709435
synthetic,FastLZ,frequency,"(0,1,2)|(3)",Non-HClust,5.138,9.5972,11.7818,11.9765,0.09485766552592713,0.0555502474249286,5.138,9.5403,-0.05690000000000062,0.0,0.9944161204175771,0.9944161204175771,1.0570322580645162,5.137965483981346,0.0,9.5972,0.0,1.2009748741005186,0.14103644462858336,0.15467078104271573,7.502126257330934
synthetic,FastLZ,frequency,"(1,2)|(0,3)",Non-HClust,5.138,9.3939,11.1676,11.8562,1.056097604920115,0.0555502474249286,5.138,9.5403,0.14639999999999986,0.0,0.9944161204175771,1.0260521042084167,1.061139896373057,5.137965483981346,0.0,9.3939,0.0,0.6640172802091326,0.30729729213809326,0.7686519458637101,7.149198747713022
synthetic,FastLZ,frequency,"(0)|(1,2)|(3)",Non-HClust,5.138,9.3273,11.1583,11.8553,0.9905030776197903,0.0555502474249286,5.138,9.5403,0.21300000000000097,0.0,0.9944161204175771,1.0265664160401002,1.0570322580645162,5.137965483981346,0.0,9.3273,0.0,0.5759876832270703,0.21465004074125887,0.7300914091553086,7.1085677581270375
synthetic,FastLZ,frequency,"(0,2)|(1,3)",Non-HClust,5.138,9.6103,11.5188,11.966,0.5818617706226665,0.0555502474249286,5.138,9.5403,-0.07000000000000028,0.0,0.9944161204175771,0.9953827460510328,1.053768973501415,5.137965483981346,0.0,9.6103,0.0,1.5059849040149218,0.1641937469251522,0.3585540686092418,7.47427201930609
synthetic,FastLZ,frequency,"(2)|(0,1,3)",Non-HClust,5.138,9.5519,11.8055,11.9814,0.4610534730191589,0.0555502474249286,5.138,9.5403,-0.01159999999999961,0.0,0.9944161204175771,0.9944161204175771,1.053768973501415,5.137965483981346,0.0,9.5519,0.0,11.045995381039367,0.2019105953927601,0.18850241282014643,7.50539793069327
synthetic,FastLZ,frequency,"(0)|(2)|(1,3)",Non-HClust,5.138,9.3839,11.4417,11.9614,0.7531305991489917,0.0555502474249286,5.138,9.5403,0.15639999999999965,0.0,0.9944161204175771,0.9944161204175771,1.053768973501415,5.137965483981346,0.0,9.3839,0.0,1.5090917924826333,0.1641937469251522,0.33756303557064327,7.333935427018963
synthetic,FastLZ,frequency,"(0,1)|(2)|(3)",Non-HClust,5.138,9.6441,11.655,11.9867,0.3525665562838023,0.0555502474249286,5.138,9.5403,-0.10379999999999967,0.0,0.9944161204175771,0.9944161204175771,1.0570322580645162,5.137965483981346,0.0,9.6441,0.0,2.5867259914379166,0.14103644462858336,0.20877123289944233,7.4965223684332605
synthetic,FastLZ,frequency,"(1)|(0,2)|(3)",Non-HClust,5.138,9.4746,10.9423,11.4495,1.3900574334479325,0.0555502474249286,5.138,9.5403,0.06569999999999965,0.0,0.9944161204175771,1.0605903676851371,1.0605903676851371,5.137965483981346,0.0,9.4746,0.0,3.8247910316038563,0.41124846745959925,1.6600876430296818,6.849535867116568
synthetic,FastLZ,frequency,"(1)|(2)|(0,3)",HClust,5.138,9.3524,10.8808,11.4428,1.4852637149215204,0.0555502474249286,5.138,9.5403,0.18790000000000084,0.0,0.9944161204175771,1.061139896373057,1.061139896373057,5.137965483981346,0.0,9.3524,0.0,0.1978561630769752,1.4316200037833313,1.629778482365909,6.749830264415425
synthetic,FastLZ,frequency,(0)|(1)|(2)|(3),HClust,5.138,9.2772,10.87,11.4428,1.4182373927246024,0.0555502474249286,5.138,9.5403,0.26309999999999967,0.0,0.9944161204175771,1.0570322580645162,1.0570322580645162,5.137965483981346,0.0,9.2772,0.0,,inf,1.6018527023586064,6.70919927482944
