Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H3,HC_H4,WithinSTD,WithinSTD_global,Global_H1,Global_H2,Delta_H2,Delta_H1,StandardRatio,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,BetweenSTD,DaviesBouldin,Dunn,WithinSTD_H2,WithinMean_H2
synthetic,Huffman,frequency,"(0,1,2,3)",HClust,5.1327,9.5305,11.7327,11.9897,0.07144062977209532,0.07144062977209532,5.1327,9.5305,0.0,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.5305,0.0,,inf,0.043536016277782426,7.550808496909022
synthetic,Huffman,frequency,"(0)|(1,2,3)",Non-HClust,5.1327,9.3884,11.5897,11.9516,0.6384415042857736,0.07144062977209532,5.1327,9.5305,0.14209999999999923,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.3884,0.0,0.6834875931406081,0.16450203367030453,0.31097308257123385,7.400271945360256
synthetic,Huffman,frequency,"(0,1)|(2,3)",Non-HClust,5.1327,9.6106,11.682,11.9887,0.07260837609600021,0.07144062977209532,5.1327,9.5305,-0.08009999999999984,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.6106,0.0,2.3111871312265797,0.14126384404140815,0.08448646425249362,7.57712196549334
synthetic,Huffman,frequency,"(1)|(0,2,3)",HClust,5.1327,9.4171,10.9437,11.4476,1.446045739741119,0.07144062977209532,5.1327,9.5305,0.11340000000000039,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.4171,0.0,0.1426226534038263,1.9407580781922567,1.674655584127407,6.85191567170842
synthetic,Huffman,frequency,"(0)|(1)|(2,3)",Non-HClust,5.1327,9.3043,10.8895,11.4395,1.4007677981733322,0.07144062977209532,5.1327,9.5305,0.2262000000000004,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.3043,0.0,0.318967676466403,0.7106380197265829,1.6461032673931912,6.795468671089842
synthetic,Huffman,frequency,"(0,1,2)|(3)",Non-HClust,5.1327,9.6048,11.7744,11.9809,0.09612559246629125,0.07144062977209532,5.1327,9.5305,-0.07429999999999914,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.6048,0.0,1.2077775232358934,0.14126384404140815,0.14807982804545125,7.490212324277149
synthetic,Huffman,frequency,"(1,2)|(0,3)",Non-HClust,5.1327,9.3979,11.1786,11.8714,1.0306457146263317,0.07144062977209532,5.1327,9.5305,0.13260000000000005,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.3979,0.0,0.6683565324846377,0.3012107567900733,0.753161145119381,7.132435343125227
synthetic,Huffman,frequency,"(0)|(1,2)|(3)",Non-HClust,5.1327,9.3405,11.1685,11.8711,0.9667731293619297,0.07144062977209532,5.1327,9.5305,0.1899999999999995,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.3405,0.0,0.5801981623949571,0.21405181572564308,0.7313198366361108,7.106380499369394
synthetic,Huffman,frequency,"(0,2)|(1,3)",Non-HClust,5.1327,9.5858,11.5062,11.9667,0.6072342720244788,0.07144062977209532,5.1327,9.5305,-0.05530000000000079,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.5858,0.0,1.4962074153483114,0.16450203367030453,0.3755708508815737,7.463738308289052
synthetic,Huffman,frequency,"(2)|(0,1,3)",Non-HClust,5.1327,9.5449,11.7813,11.9779,0.4530390930555309,0.07144062977209532,5.1327,9.5305,-0.01440000000000019,0.0,1.5456603773584905,1.5456603773584905,1.5456603773584905,5.132737327347766,0.0,9.5449,0.0,10.230931989892298,0.1987845290007974,0.21125039756075567,7.4924394097610945
