Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H3,HC_H4,WithinSTD,WithinSTD_global,Global_H1,Global_H2,Delta_H2,Delta_H1,StandardRatio,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,BetweenSTD,DaviesBouldin,Dunn,WithinSTD_H2,WithinMean_H2
synthetic,Zstd,frequency,"(0,1,2,3)",HClust,5.1395,9.5619,11.7653,11.9921,0.0640815172496751,0.0640815172496751,5.1395,9.5619,0.0,0.0,1.5136733185513673,1.5136733185513673,1.5869817900038745,5.139506780397797,0.0,9.5619,0.0,,inf,0.049617568260914985,7.57414998371793
synthetic,Zstd,frequency,"(0)|(1,2,3)",Non-HClust,5.1395,9.4,11.5924,11.9551,0.650359641913571,0.0640815172496751,5.1395,9.5619,0.16189999999999927,0.0,1.5136733185513673,1.5047759000734753,1.5869817900038745,5.139506780397798,0.0,9.4,0.0,0.6783778115029556,0.1709176177571922,0.324055830905002,7.3851914229587985
synthetic,Zstd,frequency,"(0,1)|(2,3)",Non-HClust,5.1395,9.6268,11.6854,11.9901,0.07101611488810211,0.0640815172496751,5.1395,9.5619,-0.06489999999999974,0.0,1.5136733185513673,1.514792899408284,1.5869817900038745,5.139506780397797,0.0,9.6268,0.0,2.32916426063288,0.14596895218347852,0.10054192848577244,7.573911732639608
synthetic,Zstd,frequency,"(1)|(0,2,3)",HClust,5.1395,9.444,10.9505,11.4506,1.4558325909710224,0.0640815172496751,5.1395,9.5619,0.11789999999999878,0.0,1.5136733185513673,1.5906796116504855,1.5869817900038745,5.139506780397796,0.0,9.444,0.0,0.1421832149921203,1.9328031159418335,1.6845376607423317,6.8725367050272865
synthetic,Zstd,frequency,"(0)|(1)|(2,3)",Non-HClust,5.1395,9.3242,10.9101,11.4474,1.407935171853995,0.0640815172496751,5.1395,9.5619,0.23770000000000024,0.0,1.5136733185513673,1.5869817900038745,1.5869817900038745,5.139506780397798,0.0,9.3242,0.0,0.30993562857177365,0.7485519299703495,1.6471786364102365,6.800143956853326
synthetic,Zstd,frequency,"(0,1,2)|(3)",Non-HClust,5.1395,9.5725,11.7671,11.9765,0.09821123944435776,0.0640815172496751,5.1395,9.5619,-0.010600000000000165,0.0,1.5136733185513673,1.515353311135775,1.5869817900038745,5.139506780397797,0.0,9.5725,0.0,1.2247411931259486,0.14596895218347852,0.15415153221203276,7.511258213450107
synthetic,Zstd,frequency,"(1,2)|(0,3)",Non-HClust,5.1395,9.4137,11.1844,11.8683,1.0396632922184996,0.0640815172496751,5.1395,9.5619,0.14819999999999922,0.0,1.5136733185513673,1.517599110781771,1.5863671572424478,5.139506780397796,0.0,9.4137,0.0,0.6736376867312154,0.2958924256115183,0.7487224265069414,7.141400048434719
synthetic,Zstd,frequency,"(0)|(1,2)|(3)",Non-HClust,5.1395,9.3278,11.1671,11.866,0.966177203854313,0.0640815172496751,5.1395,9.5619,0.23409999999999975,0.0,1.5136733185513673,1.4998169168802635,1.5869817900038745,5.139506780397798,0.0,9.3278,0.0,0.5826360266986547,0.2214908462551101,0.7310073561886157,7.121181856033819
synthetic,Zstd,frequency,"(0,2)|(1,3)",Non-HClust,5.1395,9.603,11.5198,11.9701,0.6293838169185063,0.0640815172496751,5.1395,9.5619,-0.041100000000000136,0.0,1.5136733185513673,1.5159141376757956,1.5705521472392638,5.139506780397797,0.0,9.603,0.0,1.4844775161740684,0.1709176177571922,0.39572702040635904,7.441488134839121
synthetic,Zstd,frequency,"(2)|(0,1,3)",Non-HClust,5.1395,9.5611,11.8202,11.9887,0.4470302175821697,0.0640815172496751,5.1395,9.5619,0.0007999999999999119,0.0,1.5136733185513673,1.5142329020332717,1.5729646697388633,5.139506780397796,0.0,9.5611,0.0,10.044311888285938,0.19500177120545323,0.17902523001490056,7.5137598411501925
