,Name,tool,joint entropy,mmi,clustering,reordered cr,decomposed cr,original cr,entropy,cross entropy,relative entropy,k2 entropy,k2 entropy reorder
0,Synthetic[6 7 5 6],CompressionTool.ZSTD,10.0,13.803061849027468,"[[0, 1, 2, 3]]",1.2093297903749631,1.2093297903749631,1.208616110947182,[6.4615458513349795],[[0.]],[[0.]],[np.float64(4.845435790654817)],4.845435790654817
1,Synthetic[6 7 5 6],CompressionTool.ZSTD,15.95109314351096,7.851968705516509,"[[0], [1, 2, 3]]",1.2093297903749631,1.2114758947057083,1.208616110947182,"[5.954999393510961, 6.521659196769329]","[[0.         4.41388721]
 [4.41388721 0.        ]]","[[0.         0.28619617]
 [0.28619617 0.        ]]","[np.float64(3.8090097946165127), np.float64(4.524241811939145)]",4.845435790654817
2,Synthetic[6 7 5 6],CompressionTool.ZSTD,19.392166931078396,4.410894917949072,"[[0, 1], [2, 3]]",1.2093297903749631,1.2278177458033572,1.208616110947182,"[6.75982575586305, 5.799304971447548]","[[ 0. inf]
 [inf  0.]]","[[ 0. inf]
 [inf  0.]]","[np.float64(4.02724621054093), np.float64(4.514372897533591)]",4.845435790654817
3,Synthetic[6 7 5 6],CompressionTool.ZSTD,16.88559189730811,6.917469951719358,"[[1], [0, 2, 3]]",1.2093297903749631,1.257985257985258,1.208616110947182,"[6.895357522308109, 5.898659243720099]","[[ 0. inf]
 [inf  0.]]","[[ 0. inf]
 [inf  0.]]","[np.float64(3.0432410005656783), np.float64(4.876745998457413)]",4.844763210698234
4,Synthetic[6 7 5 6],CompressionTool.ZSTD,22.37876386155013,1.4242979874773383,"[[0], [1], [2, 3]]",1.2093297903749631,1.2518337408312958,1.208616110947182,"[5.954999393510961, 6.895357522308109, 5.799304971447548]","[[0.         4.94055269 4.28473365]
 [4.94055269 0.                inf]
 [4.28473365        inf 0.        ]]","[[0.         0.81286165 0.15704261]
 [0.81286165 0.                inf]
 [0.15704261        inf 0.        ]]","[np.float64(3.8090097946165127), np.float64(3.0432410005656783), np.float64(4.514372897533591)]",4.845435790654817
5,Synthetic[6 7 5 6],CompressionTool.ZSTD,15.959514391452558,7.8435474575749105,"[[0, 1, 2], [3]]",1.2093297903749631,1.2125518058022497,1.208616110947182,"[6.508152887883115, 5.96611096127889]","[[ 0. inf]
 [inf  0.]]","[[ 0. inf]
 [inf  0.]]","[np.float64(4.5103296534911514), np.float64(3.794417708746077)]",4.845435790654817
6,Synthetic[6 7 5 6],CompressionTool.ZSTD,19.478439257778696,4.324622591248772,"[[1, 2], [0, 3]]",1.2093297903749631,1.241588360109124,1.208616110947182,"[6.50188349040857, 5.978068127131284]","[[ 0. inf]
 [inf  0.]]","[[ 0. inf]
 [inf  0.]]","[np.float64(4.024759264894557), np.float64(4.558717628130941)]",4.844763210698234
7,Synthetic[6 7 5 6],CompressionTool.ZSTD,21.645940005658193,2.157121843369275,"[[0], [1, 2], [3]]",1.2093297903749631,1.2281859070464767,1.208616110947182,"[5.954999393510961, 6.50188349040857, 5.96611096127889]","[[0.         4.74398104 4.17814922]
 [4.74398104 0.                inf]
 [4.17814922        inf 0.        ]]","[[0.         0.61629    0.05045818]
 [0.61629    0.                inf]
 [0.05045818        inf 0.        ]]","[np.float64(3.8090097946165127), np.float64(4.024759264894557), np.float64(3.794417708746077)]",4.845435790654817
8,Synthetic[6 7 5 6],CompressionTool.ZSTD,19.446634155210056,4.356427693817414,"[[0, 2], [1, 3]]",1.2093297903749631,1.2285542891421715,1.208616110947182,"[5.773157851059764, 6.764484375540182]","[[0.         4.46226718]
 [4.46226718 0.        ]]","[[0.         0.46061909]
 [0.46061909 0.        ]]","[np.float64(4.503878049904884), np.float64(4.032353215863804)]",4.844763210698234
9,Synthetic[6 7 5 6],CompressionTool.ZSTD,14.980734596929508,8.82232725209796,"[[2], [0, 1, 3]]",1.2093297903749631,1.2412121212121212,1.208616110947182,"[4.986593971929509, 6.615550942263582]","[[0.         4.33363881]
 [4.33363881 0.        ]]","[[0.         0.87719525]
 [0.87719525 0.        ]]","[np.float64(4.210615909870188), np.float64(4.5656340918969605)]",4.845251491948234
10,Synthetic[6 7 5 6],CompressionTool.ZSTD,20.81364458613514,2.989417262892326,"[[0], [2], [1, 3]]",1.2093297903749631,1.2468797564687977,1.208616110947182,"[5.954999393510961, 4.986593971929509, 6.764484375540182]","[[0.                inf 4.45879396]
 [       inf 0.         4.4657404 ]
 [4.45879396 4.4657404  0.        ]]","[[0.                inf 0.33110292]
 [       inf 0.         1.00929685]
 [0.33110292 1.00929685 0.        ]]","[np.float64(3.8090097946165127), np.float64(4.210615909870188), np.float64(4.032353215863804)]",4.844763210698234
11,Synthetic[6 7 5 6],CompressionTool.ZSTD,20.816464918555734,2.986596930471734,"[[0, 1], [2], [3]]",1.2093297903749631,1.2483998780859493,1.208616110947182,"[6.75982575586305, 4.986593971929509, 5.96611096127889]","[[0.                inf        inf]
 [       inf 0.         4.19347252]
 [       inf 4.19347252 0.        ]]","[[0.                inf        inf]
 [       inf 0.         0.73702896]
 [       inf 0.73702896 0.        ]]","[np.float64(4.02724621054093), np.float64(4.210615909870188), np.float64(3.794417708746077)]",4.845435790654817
12,Synthetic[6 7 5 6],CompressionTool.ZSTD,22.43605141810238,1.3670104309250881,"[[1], [0, 2], [3]]",1.2093297903749631,1.2541334966319657,1.208616110947182,"[6.895357522308109, 5.773157851059764, 5.96611096127889]","[[0.                inf        inf]
 [       inf 0.         4.18581087]
 [       inf 4.18581087 0.        ]]","[[0.                inf        inf]
 [       inf 0.         0.18416278]
 [       inf 0.18416278 0.        ]]","[np.float64(3.0432410005656783), np.float64(4.503878049904884), np.float64(3.794417708746077)]",4.844763210698234
13,Synthetic[6 7 5 6],CompressionTool.ZSTD,21.63556110114797,2.1675007478794974,"[[1], [2], [0, 3]]",1.2093297903749631,1.287645394530022,1.208616110947182,"[6.895357522308109, 4.986593971929509, 5.978068127131284]","[[0.                inf        inf]
 [       inf 0.         4.15366735]
 [       inf 4.15366735 0.        ]]","[[0.                inf        inf]
 [       inf 0.         0.69722379]
 [       inf 0.69722379 0.        ]]","[np.float64(3.0432410005656783), np.float64(4.210615909870188), np.float64(4.558717628130941)]",4.844763210698234
14,Synthetic[6 7 5 6],CompressionTool.ZSTD,23.80306184902747,0.0,"[[0], [1], [2], [3]]",1.2093297903749631,1.2732359341000932,1.208616110947182,"[5.954999393510961, 6.895357522308109, 4.986593971929509, 5.96611096127889]","[[0.         4.94055269        inf 4.17814922]
 [4.94055269 0.                inf        inf]
 [       inf        inf 0.         4.19347252]
 [4.17814922        inf 4.19347252 0.        ]]","[[0.         0.81286165        inf 0.05045818]
 [0.81286165 0.                inf        inf]
 [       inf        inf 0.         0.73702896]
 [0.05045818        inf 0.73702896 0.        ]]","[np.float64(3.8090097946165127), np.float64(3.0432410005656783), np.float64(4.210615909870188), np.float64(3.794417708746077)]",4.845435790654817
