dataset name,original size,type width,Dimension,decomposition,chunk no,standard zstd compression ratio,decomposed zstd compression ratio,decomposition_canonical
acs_wht_f32,224999996,4,56249999,"( (1,0,), (2,), (3,), )",-1,1.36854854949787,1.579670053257,"((1,0),(2),(3))"
citytemp_f32,11625300,4,2906325,"( (1,0,), (2,), (3,), )",-1,2.66591724793629,2.99049471667176,"((1,0),(2),(3))"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (2,), (3,), )",-1,2.84156748526481,3.64616232619382,"((1,0),(2),(3))"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,), (2,), (3,), )",-1,3.45076339128045,4.33409578302148,"((1,0),(2),(3))"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,), (2,), (3,), )",-1,1.7731606214097,2.01051835462929,"((1,0),(2),(3))"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,2,), (3,), )",-1,1.7561872344048,1.9343401869597,"((0,1,2),(3))"
jw_mirimage_f32,169082876,4,42270719,"( (0,), (1,), (2,), (3,), )",-1,1.1475584223064,1.89118620881173,"((0),(1),(2),(3))"
num_control_f64,159504736,8,19938092,"( (6,), (1,4,2,3,5,0,), (7,), )",-1,1.05809626445131,1.14770573025333,"((6),(1,4,2,3,5,0),(7))"
rsim_f32,94281724,4,23570431,"( (0,1,), (2,), (3,), )",-1,1.48314588429981,1.89408745135968,"((0,1),(2),(3))"
solar_wind_f32,423980532,4,105995133,"( (0,1,), (2,), (3,), )",-1,1.43991356046522,1.70860099303211,"((0,1),(2),(3))"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,2,), (3,), )",-1,1.33256830982683,1.45154674141569,"((0,1,2),(3))"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,), (2,), (3,), )",-1,1.24083057574817,1.46074507066571,"((0),(1),(2),(3))"
tpcds_store_f32,276515948,4,69128987,"( (0,1,), (2,), (3,), )",-1,1.39188764763106,1.58304277347845,"((0,1),(2),(3))"
tpcds_web_f32,86354816,4,21588704,"( (0,), (1,), (2,), (3,), )",-1,1.23857828093172,1.46112031848515,"((0),(1),(2),(3))"
tpch_lineitem_f32,959776812,4,239944203,"( (2,1,0,), (3,), )",-1,2.41904785039886,2.62864442672576,"((2,1,0),(3))"
