Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k,config
acs_wht_f32,All_Features,Silhouette,0.688088027380269,1.50845485931738,2,"(1,2,3)|(4)"
acs_wht_f32,All_Features,DaviesBouldin,0.0002261595179677,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,CalinskiHarabasz,125167781.948534,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,GapStatistic,7.48980292958276,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,Silhouette,0.674051641344366,1.50845485931738,2,"(1,2,3)|(4)"
acs_wht_f32,Entropy,DaviesBouldin,1.37E-05,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,CalinskiHarabasz,23993192032.42,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,GapStatistic,9.77957884098609,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,Silhouette,0.734885220892582,1.50845485931738,2,"(1,2,3)|(4)"
acs_wht_f32,Frequency,DaviesBouldin,0.0001165643755904,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,CalinskiHarabasz,6993816621.46449,1.57960492746875,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,GapStatistic,8.81324370324057,1.57960492746875,3,"(1,2)|(3)|(4)"
citytemp_f32,All_Features,Silhouette,0.586665037303027,2.76482502028674,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,DaviesBouldin,5.22E-09,2.98758994016753,3,"(1,2)|(4)|(3)"
citytemp_f32,All_Features,CalinskiHarabasz,19.8516955992259,2.76482502028674,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,GapStatistic,0.304275985284884,2.76482502028674,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,Silhouette,0.607948110206393,2.76482502028674,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,DaviesBouldin,0,2.98758994016753,3,"(1,2)|(4)|(3)"
citytemp_f32,Entropy,CalinskiHarabasz,26.3603435588664,2.76482502028674,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,GapStatistic,0.0497405600374288,2.76482502028674,2,"(1,2,4)|(3)"
citytemp_f32,Frequency,Silhouette,0.5,2.98758994016753,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,DaviesBouldin,0,2.98758994016753,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,CalinskiHarabasz,5.02122102195102,2.66021245445721,2,"(1,2,3)|(4)"
citytemp_f32,Frequency,GapStatistic,-0.640771007509465,2.66021245445721,2,"(1,2,3)|(4)"
g24_78_usb2_f32,All_Features,Silhouette,0.6613701859205,1.20494687542477,2,"(1,2,3)|(4)"
g24_78_usb2_f32,All_Features,DaviesBouldin,0.0125406180666587,1.2096939479934,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,All_Features,CalinskiHarabasz,21757.0964431658,1.2096939479934,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,All_Features,GapStatistic,3.54216353323798,1.2096939479934,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Entropy,Silhouette,0.733455126090603,1.20494687542477,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Entropy,DaviesBouldin,0.0133186633612753,1.20494687542477,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Entropy,CalinskiHarabasz,20858.0225802877,1.2096939479934,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Entropy,GapStatistic,2.38971040100615,1.2096939479934,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Frequency,Silhouette,0.711058215151992,1.20494687542477,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Frequency,DaviesBouldin,0.0274238961294009,1.20494687542477,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Frequency,CalinskiHarabasz,743.329828844722,1.2096939479934,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Frequency,GapStatistic,1.56119403802874,1.20494687542477,2,"(1,2,3)|(4)"
hdr_night_f32,All_Features,Silhouette,0.558530622135943,3.34357505118307,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,DaviesBouldin,2.45E-08,3.64623311230632,3,"(1,2)|(4)|(3)"
hdr_night_f32,All_Features,CalinskiHarabasz,18.5136777497168,3.34357505118307,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,GapStatistic,0.536860522526771,3.34357505118307,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,Silhouette,0.562050527862518,3.34357505118307,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,DaviesBouldin,0,3.64623311230632,3,"(1,2)|(4)|(3)"
hdr_night_f32,Entropy,CalinskiHarabasz,19.1558558410995,3.34357505118307,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,GapStatistic,-0.301719746681551,3.34357505118307,2,"(1,2,4)|(3)"
hdr_night_f32,Frequency,Silhouette,0.679638234423214,3.22134312877137,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,DaviesBouldin,0,3.64623311230632,3,"(1,2)|(3)|(4)"
hdr_night_f32,Frequency,CalinskiHarabasz,11.6578025089242,3.22134312877137,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,GapStatistic,-0.932389093750008,3.22134312877137,2,"(1,2)|(3,4)"
hdr_palermo_f32,All_Features,Silhouette,0.607589326941427,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,All_Features,DaviesBouldin,1.46E-08,4.33428424478552,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,All_Features,CalinskiHarabasz,31.4709099661699,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,All_Features,GapStatistic,0.85950424134864,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,Entropy,Silhouette,0.599599177299042,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,Entropy,DaviesBouldin,0,4.33428424478552,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,Entropy,CalinskiHarabasz,28.5907636861245,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,Entropy,GapStatistic,0.144444833467892,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,Frequency,Silhouette,0.5,4.33428424478552,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,Frequency,DaviesBouldin,0,4.33428424478552,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,Frequency,CalinskiHarabasz,6.72598270233284,4.20299982477505,2,"(1,2,4)|(3)"
hdr_palermo_f32,Frequency,GapStatistic,-0.868799543928813,4.20299982477505,2,"(1,2,4)|(3)"
hst_wfc3_ir_f32,All_Features,Silhouette,0.736087602239918,1.99328525164038,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,All_Features,DaviesBouldin,0.000736262785029,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,CalinskiHarabasz,206384252.170069,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,GapStatistic,7.81389289139912,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,Silhouette,0.734838576865183,1.99328525164038,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Entropy,DaviesBouldin,0.0008120157968219,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,CalinskiHarabasz,143534528.915324,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,GapStatistic,6.57935376772731,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Frequency,Silhouette,0.748873053895841,1.99328525164038,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Frequency,DaviesBouldin,0.0009678720401253,1.99328525164038,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Frequency,CalinskiHarabasz,31699383.1406131,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Frequency,GapStatistic,6.01767448393022,2.01050152131414,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,Silhouette,0.746303097704261,1.93429852245372,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,All_Features,DaviesBouldin,0.00186364452213,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,CalinskiHarabasz,445708740.861467,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,GapStatistic,8.47125583661018,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,Silhouette,0.746144387928685,1.93429852245372,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Entropy,DaviesBouldin,0.0015529052553946,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,CalinskiHarabasz,589873072.118025,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,GapStatistic,7.48922309193675,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,Silhouette,0.744296831737971,1.93429852245372,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Frequency,DaviesBouldin,0.0047441867804294,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,CalinskiHarabasz,29301214.4328358,1.93318922367582,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,GapStatistic,5.96836090343251,1.93318922367582,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,Silhouette,0.680990230864416,1.31292220818386,2,"(1,2,3)|(4)"
jw_mirimage_f32,All_Features,DaviesBouldin,0.0120485770887173,1.42327508740139,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,CalinskiHarabasz,37215.1820668835,1.42327508740139,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,GapStatistic,3.71470898255673,1.42327508740139,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,Silhouette,0.741437418596733,1.31292220818386,2,"(1,2,3)|(4)"
jw_mirimage_f32,Entropy,DaviesBouldin,0.0075034486835667,1.31292220818386,2,"(1,2,3)|(4)"
jw_mirimage_f32,Entropy,CalinskiHarabasz,4949508.21989583,1.42327508740139,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,GapStatistic,5.07110180616527,1.42327508740139,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,Silhouette,0.724681902276574,1.31292220818386,2,"(1,2,3)|(4)"
jw_mirimage_f32,Frequency,DaviesBouldin,0.0211618632678359,1.31292220818386,2,"(1,2,3)|(4)"
jw_mirimage_f32,Frequency,CalinskiHarabasz,26587.9035515128,1.42327508740139,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,GapStatistic,2.50466098747304,1.42327508740139,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,Silhouette,0.743628846596157,1.80550339443929,2,"(1,2,3)|(4)"
rsim_f32,All_Features,DaviesBouldin,0.0019040471313162,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,CalinskiHarabasz,144781326.681171,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,GapStatistic,7.91563159644359,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,Silhouette,0.745149428596241,1.80550339443929,2,"(1,2,3)|(4)"
rsim_f32,Entropy,DaviesBouldin,0.0015328931617614,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,CalinskiHarabasz,383490744.446709,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,GapStatistic,6.75515854973009,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,Silhouette,0.744439696951772,1.80550339443929,2,"(1,2,3)|(4)"
rsim_f32,Frequency,DaviesBouldin,0.0048965664071641,1.80550339443929,2,"(1,2,3)|(4)"
rsim_f32,Frequency,CalinskiHarabasz,27197009.2735631,1.89400557218762,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,GapStatistic,6.27027168150779,1.89400557218762,3,"(1,2)|(3)|(4)"
solar_wind_f32,All_Features,Silhouette,0.266662433060674,1.53708941903974,2,"(1,2,4)|(3)"
solar_wind_f32,All_Features,DaviesBouldin,0.284406411538303,1.53708941903974,2,"(1,2,4)|(3)"
solar_wind_f32,All_Features,CalinskiHarabasz,6.01250829757313,1.70860707529757,3,"(1,2)|(4)|(3)"
solar_wind_f32,All_Features,GapStatistic,0.14731499498511,1.53708941903974,2,"(1,2,4)|(3)"
solar_wind_f32,Entropy,Silhouette,0.426810665009818,1.35513992933548,2,"(1,4)|(2,3)"
solar_wind_f32,Entropy,DaviesBouldin,0.259645380151089,1.39011546399596,3,"(1,4)|(2)|(3)"
solar_wind_f32,Entropy,CalinskiHarabasz,6.89887678990751,1.35513992933548,2,"(1,4)|(2,3)"
solar_wind_f32,Entropy,GapStatistic,-0.87404924974361,1.35513992933548,2,"(1,4)|(2,3)"
solar_wind_f32,Frequency,Silhouette,0.337319556772928,1.62965218158907,2,"(1,2,3)|(4)"
solar_wind_f32,Frequency,DaviesBouldin,0.160144922464623,1.70860707529757,3,"(1,2)|(3)|(4)"
solar_wind_f32,Frequency,CalinskiHarabasz,20.8281536927968,1.70860707529757,3,"(1,2)|(3)|(4)"
solar_wind_f32,Frequency,GapStatistic,-0.674206027737139,1.62965218158907,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,Silhouette,0.747027813354225,1.45142643801057,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,DaviesBouldin,0.0025741560820094,1.45142643801057,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,CalinskiHarabasz,8263079.13892652,1.45104708833861,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,All_Features,GapStatistic,6.39907983982951,1.45104708833861,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Entropy,Silhouette,0.747235736499528,1.45142643801057,2,"(1,2,3)|(4)"
spitzer_irac_f32,Entropy,DaviesBouldin,0.0023547303114525,1.45142643801057,2,"(1,2,3)|(4)"
spitzer_irac_f32,Entropy,CalinskiHarabasz,3668237.7189655,1.45104708833861,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Entropy,GapStatistic,5.19918699496883,1.45104708833861,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Frequency,Silhouette,0.749257535135655,1.45142643801057,2,"(1,2,3)|(4)"
