dataset name,original size,type width,Dimension,decomposition,chunk no,standard zstd compression ratio,decomposed zstd compression ratio
num_control_f64,159504736,8,19938092,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,1.05809626445131,1.06896428411543
num_control_f64,159504736,8,19938092,"( (6,2,1,5,0,3,), (4,7,), )",-1,1.05809626445131,1.09689747189076
num_control_f64,159504736,8,19938092,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,1.05809626445131,1.13236889273818
num_control_f64,159504736,8,19938092,"( (0,), (7,6,1,3,4,2,5,), )",-1,1.05809626445131,1.06102008058245
num_control_f64,159504736,8,19938092,"( (2,7,6,), (4,0,3,5,1,), )",-1,1.05809626445131,1.08768146147753
num_control_f64,159504736,8,19938092,"( (4,6,1,3,0,), (2,7,5,), )",-1,1.05809626445131,1.08034265717674
num_control_f64,159504736,8,19938092,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,1.05809626445131,1.07384596544318
num_control_f64,159504736,8,19938092,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,1.05809626445131,1.07978185967129
num_control_f64,159504736,8,19938092,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,1.05809626445131,1.08450833659583
num_control_f64,159504736,8,19938092,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,1.05809626445131,1.07602835438742
num_control_f64,159504736,8,19938092,"( (6,), (1,0,), (4,7,5,2,3,), )",-1,1.05809626445131,1.0777299184557
num_control_f64,159504736,8,19938092,"( (4,), (0,6,2,), (3,7,5,1,), )",-1,1.05809626445131,1.07147460508281
num_control_f64,159504736,8,19938092,"( (2,3,), (0,6,5,), (4,), (1,7,), )",-1,1.05809626445131,1.09616969956935
num_control_f64,159504736,8,19938092,"( (0,), (1,6,5,), (3,7,4,2,), )",-1,1.05809626445131,1.07147646207741
num_control_f64,159504736,8,19938092,"( (2,5,), (6,0,), (1,4,), (7,3,), )",-1,1.05809626445131,1.10063401813416
num_control_f64,159504736,8,19938092,"( (3,7,6,), (0,4,1,), (5,2,), )",-1,1.05809626445131,1.08735783422966
num_control_f64,159504736,8,19938092,"( (6,), (5,1,7,0,2,), (4,3,), )",-1,1.05809626445131,1.07770563377777
num_control_f64,159504736,8,19938092,"( (6,3,), (0,1,5,7,2,), (4,), )",-1,1.05809626445131,1.06899294786521
num_control_f64,159504736,8,19938092,"( (2,), (4,0,7,1,5,3,6,), )",-1,1.05809626445131,1.06130451837615
num_control_f64,159504736,8,19938092,"( (6,2,), (3,7,1,0,5,4,), )",-1,1.05809626445131,1.06660086703717
num_control_f64,159504736,8,19938092,"( (0,1,), (3,4,), (7,5,6,2,), )",-1,1.05809626445131,1.0773872307615
num_control_f64,159504736,8,19938092,"( (1,0,), (7,), (6,), (2,3,5,4,), )",-1,1.05809626445131,1.14705821205111
num_control_f64,159504736,8,19938092,"( (4,7,0,), (2,6,1,5,3,), )",-1,1.05809626445131,1.08035137212336
num_control_f64,159504736,8,19938092,"( (6,), (1,0,), (4,5,3,2,7,), )",-1,1.05809626445131,1.07776115882628
num_control_f64,159504736,8,19938092,"( (5,2,0,1,3,), (7,), (4,6,), )",-1,1.05809626445131,1.1373307251133
num_control_f64,159504736,8,19938092,"( (1,5,2,0,4,), (3,7,6,), )",-1,1.05809626445131,1.08794287807868
num_control_f64,159504736,8,19938092,"( (0,2,4,3,6,1,5,), (7,), )",-1,1.05809626445131,1.13275488040761
num_control_f64,159504736,8,19938092,"( (6,1,7,2,0,5,), (4,3,), )",-1,1.05809626445131,1.06348922855749
num_control_f64,159504736,8,19938092,"( (0,1,), (2,), (3,7,4,6,5,), )",-1,1.05809626445131,1.06944046209827
num_control_f64,159504736,8,19938092,"( (5,3,), (7,1,), (6,), (4,2,0,), )",-1,1.05809626445131,1.11034970995533
num_control_f64,159504736,8,19938092,"( (6,), (7,), (2,), (3,4,1,5,0,), )",-1,1.05809626445131,1.14748034108002
num_control_f64,159504736,8,19938092,"( (0,2,), (3,1,7,), (6,4,), (5,), )",-1,1.05809626445131,1.08437042693523
num_control_f64,159504736,8,19938092,"( (6,4,3,5,1,7,0,2,), )",-1,1.05809626445131,1.05791487481713
num_control_f64,159504736,8,19938092,"( (0,7,), (5,1,6,2,), (3,), (4,), )",-1,1.05809626445131,1.09656928788031
num_control_f64,159504736,8,19938092,"( (6,), (4,2,1,7,), (5,3,0,), )",-1,1.05809626445131,1.08501922855478
num_control_f64,159504736,8,19938092,"( (1,), (3,7,0,2,4,), (5,6,), )",-1,1.05809626445131,1.06903630820057
num_control_f64,159504736,8,19938092,"( (2,1,), (7,0,), (4,), (5,6,), (3,), )",-1,1.05809626445131,1.1009363105927
num_control_f64,159504736,8,19938092,"( (0,1,), (6,), (2,4,3,7,5,), )",-1,1.05809626445131,1.07772757368044
num_control_f64,159504736,8,19938092,"( (2,3,7,0,4,), (1,6,5,), )",-1,1.05809626445131,1.0645237969498
num_control_f64,159504736,8,19938092,"( (2,0,3,), (6,4,7,5,1,), )",-1,1.05809626445131,1.06958495676309
num_control_f64,159504736,8,19938092,"( (6,), (2,0,3,), (4,1,7,5,), )",-1,1.05809626445131,1.08501938355083
num_control_f64,159504736,8,19938092,"( (0,), (7,), (3,6,2,1,5,4,), )",-1,1.05809626445131,1.13256761160427
num_control_f64,159504736,8,19938092,"( (3,), (0,7,6,), (4,2,1,), (5,), )",-1,1.05809626445131,1.08735781940443
num_control_f64,159504736,8,19938092,"( (0,), (1,2,5,7,6,4,3,), )",-1,1.05809626445131,1.06155139472597
num_control_f64,159504736,8,19938092,"( (6,5,7,0,3,2,), (4,1,), )",-1,1.05809626445131,1.06350782793864
num_control_f64,159504736,8,19938092,"( (1,), (2,4,7,0,3,), (6,5,), )",-1,1.05809626445131,1.06902359778411
num_control_f64,159504736,8,19938092,"( (0,), (3,2,), (4,1,5,6,7,), )",-1,1.05809626445131,1.06947333910961
num_control_f64,159504736,8,19938092,"( (4,2,1,6,5,), (7,), (3,0,), )",-1,1.05809626445131,1.13211752064369
num_control_f64,159504736,8,19938092,"( (0,7,), (3,), (6,4,1,5,2,), )",-1,1.05809626445131,1.09674594139556
num_control_f64,159504736,8,19938092,"( (6,7,), (1,3,5,0,4,2,), )",-1,1.05809626445131,1.12858303418457
num_control_f64,159504736,8,19938092,"( (6,3,2,7,0,), (1,), (5,4,), )",-1,1.05809626445131,1.06941530197347
num_control_f64,159504736,8,19938092,"( (5,0,4,), (3,), (7,), (6,1,2,), )",-1,1.05809626445131,1.13193126578092
num_control_f64,159504736,8,19938092,"( (3,2,), (1,7,4,0,6,5,), )",-1,1.05809626445131,1.0651086386233
num_control_f64,159504736,8,19938092,"( (4,3,0,1,7,2,6,), (5,), )",-1,1.05809626445131,1.06153207246723
num_control_f64,159504736,8,19938092,"( (0,4,6,7,1,3,5,2,), )",-1,1.05809626445131,1.05880416419894
num_control_f64,159504736,8,19938092,"( (6,7,), (0,2,3,4,1,5,), )",-1,1.05809626445131,1.12858055074907
num_control_f64,159504736,8,19938092,"( (1,0,), (2,7,), (5,4,3,6,), )",-1,1.05809626445131,1.09632923921622
num_control_f64,159504736,8,19938092,"( (5,4,7,), (3,), (2,6,1,0,), )",-1,1.05809626445131,1.08019607543302
num_control_f64,159504736,8,19938092,"( (7,), (3,5,0,1,2,6,4,), )",-1,1.05809626445131,1.1327344316933
num_control_f64,159504736,8,19938092,"( (0,4,3,5,6,), (7,1,2,), )",-1,1.05809626445131,1.0803490451969
num_control_f64,159504736,8,19938092,"( (6,7,), (1,), (2,4,0,3,5,), )",-1,1.05809626445131,1.12842021262484
num_control_f64,159504736,8,19938092,"( (5,), (4,6,2,), (1,7,), (0,), (3,), )",-1,1.05809626445131,1.0964141475541
num_control_f64,159504736,8,19938092,"( (6,0,7,), (1,), (4,), (5,2,3,), )",-1,1.05809626445131,1.08735353493046
num_control_f64,159504736,8,19938092,"( (3,2,0,5,), (6,7,1,), (4,), )",-1,1.05809626445131,1.08752313841322
num_control_f64,159504736,8,19938092,"( (2,0,4,7,1,), (3,6,), (5,), )",-1,1.05809626445131,1.06896078811717
num_control_f64,159504736,8,19938092,"( (5,7,3,0,6,1,), (4,2,), )",-1,1.05809626445131,1.06510688187125
num_control_f64,159504736,8,19938092,"( (2,5,6,0,7,1,3,4,), )",-1,1.05809626445131,1.05788718094888
num_control_f64,159504736,8,19938092,"( (0,4,6,2,7,1,3,), (5,), )",-1,1.05809626445131,1.06154144738389
num_control_f64,159504736,8,19938092,"( (0,4,7,2,3,5,6,), (1,), )",-1,1.05809626445131,1.06132743393864
num_control_f64,159504736,8,19938092,"( (0,6,4,), (3,1,2,7,), (5,), )",-1,1.05809626445131,1.07148004652705
num_control_f64,159504736,8,19938092,"( (6,0,1,2,3,), (7,), (4,5,), )",-1,1.05809626445131,1.13209264348083
num_control_f64,159504736,8,19938092,"( (7,2,), (1,0,3,), (4,), (6,5,), )",-1,1.05809626445131,1.10110044853358
num_control_f64,159504736,8,19938092,"( (2,1,0,), (7,), (5,3,6,), (4,), )",-1,1.05809626445131,1.1319253697422
num_control_f64,159504736,8,19938092,"( (4,6,), (5,0,7,1,3,2,), )",-1,1.05809626445131,1.06495203308029
num_control_f64,159504736,8,19938092,"( (2,0,), (6,4,), (7,3,1,), (5,), )",-1,1.05809626445131,1.084645174987
num_control_f64,159504736,8,19938092,"( (6,), (7,), (4,3,2,1,5,0,), )",-1,1.05809626445131,1.14768291318893
num_control_f64,159504736,8,19938092,"( (4,1,5,7,0,3,), (6,2,), )",-1,1.05809626445131,1.06492338654543
num_control_f64,159504736,8,19938092,"( (7,), (4,0,), (1,2,5,3,6,), )",-1,1.05809626445131,1.13211754475
num_control_f64,159504736,8,19938092,"( (1,), (3,5,), (7,0,4,6,2,), )",-1,1.05809626445131,1.06940046744755
num_control_f64,159504736,8,19938092,"( (7,), (1,3,), (0,6,5,2,4,), )",-1,1.05809626445131,1.13210504978456
num_control_f64,159504736,8,19938092,"( (7,4,), (0,6,5,), (3,), (2,1,), )",-1,1.05809626445131,1.0961529157599
num_control_f64,159504736,8,19938092,"( (7,0,3,), (4,2,6,1,), (5,), )",-1,1.05809626445131,1.08017053835584
num_control_f64,159504736,8,19938092,"( (1,4,3,), (7,0,6,5,2,), )",-1,1.05809626445131,1.06956838906232
num_control_f64,159504736,8,19938092,"( (1,5,3,), (4,0,6,7,2,), )",-1,1.05809626445131,1.06958170055973
num_control_f64,159504736,8,19938092,"( (2,7,6,4,5,1,0,3,), )",-1,1.05809626445131,1.05832943869711
num_control_f64,159504736,8,19938092,"( (1,4,6,2,3,0,), (7,), (5,), )",-1,1.05809626445131,1.13256119426317
num_control_f64,159504736,8,19938092,"( (6,), (1,3,2,4,0,), (5,7,), )",-1,1.05809626445131,1.11093542833236
num_control_f64,159504736,8,19938092,"( (2,), (0,4,), (1,6,7,), (3,5,), )",-1,1.05809626445131,1.08721109168859
num_control_f64,159504736,8,19938092,"( (7,), (6,4,2,), (0,1,3,), (5,), )",-1,1.05809626445131,1.13192840611415
num_control_f64,159504736,8,19938092,"( (3,1,), (2,4,6,5,7,), (0,), )",-1,1.05809626445131,1.06947881761289
num_control_f64,159504736,8,19938092,"( (5,7,4,6,), (3,), (1,), (2,0,), )",-1,1.05809626445131,1.07761972504677
num_control_f64,159504736,8,19938092,"( (5,), (6,7,3,4,0,1,2,), )",-1,1.05809626445131,1.06167875554497
num_control_f64,159504736,8,19938092,"( (4,), (3,7,1,0,2,), (6,5,), )",-1,1.05809626445131,1.06896911980647
num_control_f64,159504736,8,19938092,"( (1,7,), (2,0,4,), (6,3,5,), )",-1,1.05809626445131,1.09634564410683
num_control_f64,159504736,8,19938092,"( (5,3,), (1,7,), (4,0,6,2,), )",-1,1.05809626445131,1.09633980399992
num_control_f64,159504736,8,19938092,"( (7,6,5,0,1,3,), (2,), (4,), )",-1,1.05809626445131,1.0646752806107
num_control_f64,159504736,8,19938092,"( (5,), (4,1,), (7,3,), (2,0,6,), )",-1,1.05809626445131,1.09614679898766
