dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,7220102,6487695,7218992,6487080,6975207,1.666660215245225,1.6101296075872613,1.7918998966505053,1.6103771828532294,1.7920697756155313,3.693217217321177,9.429035680985953,"(2.319201665715632,2.4822241922207766,7.4892188191275215,)","(3002,3,3002,)","(1.7203857104762889e-06,2.9246557078096907e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,8169529,6487911,8187446,6487289,6975207,1.666660215245225,1.4230073728852668,1.791840239485406,1.4198933342583266,1.7920120407769717,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,7884734,6488414,7879868,6486377,6975207,1.666660215245225,1.4744061118612244,1.7917013310186434,1.4753165915977273,1.792264001922799,4.018661944469156,9.429035680985953,"(0.645780129371529,5.1429558828350315,)","(5505,12,)","(4.473002847238351e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,6587179,6486945,6587520,6487289,6975207,1.666660215245225,1.7648374212997704,1.7921070704314588,1.7647460652870883,1.7920120407769717,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(12,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,7250299,6488316,7248797,6487080,6975207,1.666660215245225,1.6034235277745097,1.7917283930067525,1.6037557680260601,1.7920697756155313,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,6671079,6487432,6670573,6486920,6975207,1.666660215245225,1.7426416326354401,1.7919725401360662,1.742773821679187,1.7921139770492005,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,6601354,6488145,6601691,6488486,6975207,1.666660215245225,1.7610478092827624,1.7917756153723445,1.7609579121470544,1.791681449262586,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(13,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,7242873,6487693,7243041,6489324,6975207,1.666660215245225,1.605067491864071,1.7919004490502248,1.605030262841257,1.791450080162433,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,8143569,6486963,8160961,6487080,6975207,1.666660215245225,1.4275436236863714,1.7921020976996478,1.424501354681146,1.7920697756155313,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,6672051,6487421,6671524,6486909,6975207,1.666660215245225,1.7423877605252118,1.7919755785850802,1.742525395996477,1.7921170159778717,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
