dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,6943967,6232376,6954097,6227767,7241687,1.6053303601771245,1.6741583017315607,1.8653078697434173,1.6717195633020363,1.8666883330734756,3.693217217321177,9.429035680985953,"(2.319201665715632,2.4822241922207766,7.4892188191275215,)","(3002,3,3002,)","(1.7203857104762889e-06,2.9246557078096907e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,8071637,6234057,8080745,6221282,7241687,1.6053303601771245,1.4402654628794629,1.8648048935067485,1.4386421053999352,1.8686341496816894,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,7482113,6226342,7491773,6221641,7241687,1.6053303601771245,1.5537455796243655,1.867115555168669,1.551742157697517,1.8685263260930678,4.018661944469156,9.429035680985953,"(0.645780129371529,5.1429558828350315,)","(5505,12,)","(4.473002847238351e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,6991856,6221270,6991846,6221282,7241687,1.6053303601771245,1.6626915657301866,1.8686377540277146,1.6626939437739332,1.8686341496816894,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(12,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,7008950,6230161,7018336,6227767,7241687,1.6053303601771245,1.6586364576719765,1.8659710399137357,1.6564182735052868,1.8666883330734756,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,5597048,6236822,5597419,6237248,7241687,1.6053303601771245,2.077041326070457,1.8639781606722141,2.0769036586326663,1.863850852170701,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,6996645,6228945,6996651,6228930,7241687,1.6053303601771245,1.6615535017140357,1.8663353103936542,1.6615520768436214,1.8663398047497723,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(13,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,7002403,6232376,7011300,6232546,7241687,1.6053303601771245,1.660187224300001,1.8653078697434173,1.6580805271490309,1.8652569912841397,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,8170277,6225935,8179690,6227767,7241687,1.6053303601771245,1.4228770946199254,1.86723761170009,1.4212396802323803,1.8666883330734756,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,5590474,6225865,5590829,6226220,7241687,1.6053303601771245,2.079483779014087,1.867258605832282,2.0793517383557965,1.8671521404640377,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,), (3,), )",-1,7392786,6234426,7401675,6230706,7241687,1.6053303601771245,1.5725194804773195,1.8646945203936978,1.5706309720434901,1.8658078233830966,3.6558521659796557,9.429035680985953,"(2.319201665715632,5.829213434415731,0.645780129371529,)","(3002,9,5505,)","(1.7203857104762889e-06,4.404187418819299e-05,4.473002847238351e-06,)"
