dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-based zlib compressed size (B),standard zlib compressed size (B),standard zlib compression ratio,decomposed zlib compression ratio,decomposed row-ordered zlib compression ratio,reordered zlib compression ratio,reordered row-based zlib compression ratio,WE,entropy word,entropy list,max rep
hdr_night_f32,496979108,4,124244777,"( (1,), (0,3,), (2,), )",-1,135505248,133126100,135509005,133125846,169958555,2.92411940075626,3.66760044599896,3.73314555147338,3.66749876142918,3.73315267419972,2.77825182362437,9.00313322899195,"(2.280281367782436e-07,1.8884911511893265,7.336024764090699,)","(124244776,119,59,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,2,3,), )",-1,164106293,133126700,164108229,133124924,169958555,2.92411940075626,3.0283976251904,3.7331287262435,3.0283618989027,3.73317852936389,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321698,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (3,), (1,2,0,), )",-1,163744497,133126261,163744812,133127061,169958555,2.92411940075626,3.03508891660646,3.73314103668847,3.03508307792982,3.73311860313659,2.93488488663807,9.00313322899195,"(2.25643302297257,3.161035507859909,)","(1105,179,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,2,), (3,), )",-1,163744497,133124836,163745886,133124924,169958555,2.92411940075626,3.03508891660646,3.73318099712063,3.03506317099167,3.73317852936389,2.93488488663807,9.00313322899195,"(3.161035507859909,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (3,2,), )",-1,156239214,133124747,156239522,133125846,169958555,2.92411940075626,3.18088586902389,3.73318349292337,3.18087959844117,3.73315267419972,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,3,), (2,), )",-1,136743311,133124584,136745127,133125846,169958555,2.92411940075626,3.63439428492411,3.7331880638966,3.63434601951117,3.73315267419972,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,0,), (3,), )",-1,163744491,133124328,163745885,133124310,169958555,2.92411940075626,3.03508902781957,3.73319524287101,3.03506318952687,3.73319574764369,2.93488488663807,9.00313322899195,"(3.1610355078599093,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (2,), (1,3,), )",-1,135505248,133126100,135508158,133126244,169958555,2.92411940075626,3.66760044599896,3.73314555147338,3.66752168529957,3.73314151340437,2.77825185027378,9.00313322899195,"(2.280281367782436e-07,7.336024764090699,1.8884912044881519,)","(124244776,59,119,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,3,2,), )",-1,164709632,133128379,164710958,133125846,169958555,2.92411940075626,3.01730446462293,3.73308164444788,3.01728017391533,3.73315267419972,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321699,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (3,0,1,), (2,), )",-1,136743313,133124250,136745151,133124728,169958555,2.92411940075626,3.63439423176766,3.73319743022026,3.63434538165086,3.73318402573562,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,2,), (3,), )",-1,159682614,133125038,159684910,133124924,169958555,2.92411940075626,3.11229316423891,3.73317533250206,3.11224841470619,3.73317852936389,2.77179124609082,9.00313322899195,"(2.280281367782436e-07,4.415365866681278,2.25643302297257,)","(124244776,119,1105,)"
hdr_night_f32,496979108,4,124244777,"( (2,), (1,0,3,), )",-1,136743311,133124584,136744682,133124310,169958555,2.92411940075626,3.63439428492411,3.7331880638966,3.63435784654499,3.73319574764369,2.94310167330848,9.00313322899195,"(7.336024764090699,1.4787939763810787,)","(59,179,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (2,3,0,), )",-1,164106305,133126174,164108241,133128791,169958555,2.92411940075626,3.02839740374387,3.73314347635349,3.0283616774614,3.7330700915026,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321698,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,), (3,0,), )",-1,162063907,133124667,162065441,133127822,169958555,2.92411940075626,3.06656255053755,3.73318573634441,3.06653352456555,3.73309726347059,3.1519285089353,9.00313322899195,"(4.415365866681278,1.8884911511893265,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,0,1,), )",-1,169958538,133126168,169958538,133126168,169958555,2.92411940075626,2.92411969323954,3.73314364460637,2.92411969323954,3.73314364460637,3.56737541629414,9.00313322899195,"(3.5673754162941376,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,2,3,), )",-1,164106293,133126700,164108229,133124924,169958555,2.92411940075626,3.0283976251904,3.7331287262435,3.0283618989027,3.73317852936389,3.3039572302872,9.00313322899195,"(2.280281367782436e-07,4.405276231040225,)","(124244776,178,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,2,0,), )",-1,173181318,133127061,173181318,133127061,169958555,2.92411940075626,2.86970392499265,3.73311860313659,2.86970392499265,3.73311860313659,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (1,3,), (2,0,), )",-1,162063906,133126498,162065556,133129621,169958555,2.92411940075626,3.06656256945948,3.73313439072062,3.06653134858588,3.73304681758239,3.15192853731504,9.00313322899195,"(1.8884912044881519,4.415365870141933,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (3,0,1,2,), )",-1,170166759,133124728,170166759,133124728,169958555,2.92411940075626,2.92054165525947,3.73318402573562,2.92054165525947,3.73318402573562,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (1,2,), (3,0,), )",-1,162063914,133125358,162065448,133128791,169958555,2.92411940075626,3.06656241808402,3.73316635888408,3.06653339211452,3.7330700915026,3.1519285089353,9.00313322899195,"(4.415365866681278,1.8884911511893265,)","(119,119,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (1,), (2,), (3,), )",-1,133123949,133123949,133124924,133124924,169958555,2.92411940075626,3.73320587116898,3.73320587116898,3.73317852936389,3.73317852936389,2.39811456077989,9.00313322899195,"(2.280281367782436e-07,2.280281367782436e-07,7.336024764090699,2.25643302297257,)","(124244776,124244776,59,1105,)"
hdr_night_f32,496979108,4,124244777,"( (0,), (3,), (2,1,), )",-1,159682607,133124347,159686457,133129621,169958555,2.92411940075626,3.11229330067238,3.73319471005555,3.11221826406982,3.73304681758239,2.77179124609082,9.00313322899195,"(2.280281367782436e-07,2.25643302297257,4.415365866681278,)","(124244776,1105,119,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (3,0,2,), )",-1,164152307,133125820,164154166,133128203,169958555,2.92411940075626,3.02754872643977,3.73315340329922,3.02751444029754,3.73308657970843,3.30395723199831,9.00313322899195,"(2.280281367782436e-07,4.405276233321699,)","(124244776,177,)"
hdr_night_f32,496979108,4,124244777,"( (0,2,1,), (3,), )",-1,163744497,133126262,163745892,133126244,169958555,2.92411940075626,3.03508891660646,3.73314100864636,3.03506305978046,3.73314151340437,2.93488488663807,9.00313322899195,"(3.161035507859909,2.25643302297257,)","(179,1105,)"
hdr_night_f32,496979108,4,124244777,"( (2,1,0,3,), )",-1,172019580,133124310,172019580,133124310,169958555,2.92411940075626,2.88908453328394,3.73319574764369,2.88908453328394,3.73319574764369,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(236,)"
hdr_night_f32,496979108,4,124244777,"( (0,2,3,1,), )",-1,169958577,133128792,169958577,133128792,169958555,2.92411940075626,2.92411902224858,3.73307006346155,2.92411902224858,3.73307006346155,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,2,0,3,), )",-1,172206823,133126243,172206823,133126243,169958555,2.92411940075626,2.88594318937061,3.73314154144649,2.88594318937061,3.73314154144649,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(237,)"
hdr_night_f32,496979108,4,124244777,"( (0,1,2,3,), )",-1,169958555,133124924,169958555,133124924,169958555,2.92411940075626,2.92411940075626,3.73317852936389,2.92411940075626,3.73317852936389,3.56737541629414,9.00313322899195,"(3.567375416294137,)","(238,)"
hdr_night_f32,496979108,4,124244777,"( (1,0,), (2,3,), )",-1,156231747,133125189,156232197,133124924,169958555,2.92411940075626,3.18103789750236,3.7331710980707,3.18102873506925,3.73317852936389,2.81360683753213,9.00313322899195,"(2.3607676485055284e-07,5.627213438987496,)","(248489552,118,)"
hdr_night_f32,496979108,4,124244777,"( (3,1,0,), (2,), )",-1,136743313,133124250,136745151,133124729,169958555,2.92411940075626,3.63439423176766,3.73319743022026,3.63434538165086,3.73318399769287,2.94310167330848,9.00313322899195,"(1.4787939763810787,7.336024764090699,)","(179,59,)"
hdr_night_f32,496979108,4,124244777,"( (2,3,1,), (0,), )",-1,164106305,133126174,164107580,133126168,169958555,2.92411940075626,3.02839740374387,3.73314347635349,3.02837387523477,3.73314364460637,3.3039572302872,9.00313322899195,"(4.405276231040225,2.280281367782436e-07,)","(178,124244776,)"
hdr_night_f32,496979108,4,124244777,"( (1,), (0,2,), (3,), )",-1,159682614,133125039,159684912,133124924,169958555,2.92411940075626,3.11229316423891,3.73317530445944,3.11224837572632,3.73317852936389,2.77179124782114,9.00313322899195,"(2.280281367782436e-07,4.415365870141933,2.25643302297257,)","(124244776,119,1105,)"
