dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-based zlib compressed size (B),standard zlib compressed size (B),standard zlib compression ratio,decomposed zlib compression ratio,decomposed row-ordered zlib compression ratio,reordered zlib compression ratio,reordered row-based zlib compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,), (2,), )",-1,188640203,187547244,188642446,187550000,248659200,3.3920103820811778,4.471234522579474,4.497291295840103,4.471181358621696,4.497225209277526,2.9359018810845523,9.339189132243394,"(-0.0,1.9946190171562126,7.754369490025784,)","(210863647,39,31,)","(4.742401140391923e-09,2.1340805131763654e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,2,3,), )",-1,226188961,187548653,226188137,187549992,248659200,3.3920103820811778,3.7289821053645498,4.497257508962221,3.728995689990585,4.497225401107988,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,), (1,2,0,), )",-1,219445148,187548655,219447187,187551310,248659200,3.3920103820811778,3.843578204791295,4.497257461003919,3.8435424920712244,4.497193797260067,3.1035945246459185,9.339189132243394,"(1.9893087482133431,3.4750231167901102,)","(4367,62,)","(4.268161026352731e-08,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,2,), (3,), )",-1,219445126,187548653,219446755,187549992,248659200,3.3920103820811778,3.8435785901209765,4.497257508962221,3.843550058418499,4.497225401107988,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,), (3,2,), )",-1,218750737,187550037,218749094,187550000,248659200,3.3920103820811778,3.855779411614051,4.49722432206185,3.8558083719423313,4.497225209277526,2.9040514865355673,9.339189132243394,"(-0.0,5.808102973071135,)","(421727294,39,)","(2.3712005701959617e-09,5.785729391278147e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,1,3,), (2,), )",-1,189254871,187547521,189257438,187550000,248659200,3.3920103820811778,4.456712704636279,4.4972846535252256,4.4566522558548005,4.497225209277526,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,0,), (3,), )",-1,219445140,187546921,219446770,187547492,248659200,3.3920103820811778,3.8435783449111702,4.497299041235659,3.843549795697608,4.497285348929113,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (2,), (1,3,), )",-1,188640203,187547244,188642096,187549228,248659200,3.3920103820811778,4.471234522579474,4.497291295840103,4.471189654296462,4.497243720992549,2.9359018810845523,9.339189132243394,"(-0.0,7.754369490025784,1.9946190171562126,)","(210863647,31,39,)","(4.742401140391923e-09,1.1571458782556293e-06,2.1340805131763654e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,2,), )",-1,227153977,187550088,227155598,187550000,248659200,3.3920103820811778,3.7131403074664195,4.497223099143521,3.7131138102086307,4.497225209277526,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,59,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,0,1,), (2,), )",-1,189254871,187548135,189257437,187550151,248659200,3.3920103820811778,4.456712704636279,4.497269930196853,4.456652279402896,4.4972215884806195,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (1,2,), (3,), )",-1,212916095,187547994,212917911,187549992,248659200,3.3920103820811778,3.961441186491796,4.497273311278392,3.96140739892944,4.497225401107988,2.917147619844829,9.339189132243394,"(-0.0,4.839640865582987,1.9893087482133431,)","(210863647,41,4367,)","(4.742401140391923e-09,5.785729391278147e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,), (1,0,3,), )",-1,189254871,187547521,189255463,187547492,248659200,3.3920103820811778,4.456712704636279,4.4972846535252256,4.456698763829079,4.497285348929113,3.1246228508279854,9.339189132243394,"(7.754369490025784,1.5813739710953856,)","(31,59,)","(1.1571458782556293e-06,1.422720342117577e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (2,3,0,), )",-1,226188955,187548839,226188137,187549807,248659200,3.3920103820811778,3.7289822042813716,4.49725304884452,3.728995689990585,4.497229837191995,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,), (3,0,), )",-1,214009436,187548242,214011360,187548326,248659200,3.3920103820811778,3.941202798179422,4.497267364414965,3.941167366068792,4.4972653501583375,3.4171299413696,9.339189132243394,"(4.839640865582988,1.9946190171562126,)","(41,39,)","(5.785729391278147e-07,2.1340805131763654e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,3,0,1,), )",-1,248659219,187548829,248659219,187548829,248659200,3.3920103820811778,3.392010122898359,4.497253288635569,3.392010122898359,4.497253288635569,3.882997527622188,9.339189132243394,"(3.882997527622188,)","(78,)","(2.8928646956390734e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (1,2,3,), )",-1,226188961,187548653,226188137,187549992,248659200,3.3920103820811778,3.7289821053645498,4.497257508962221,3.728995689990585,4.497225401107988,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,1,2,0,), )",-1,251076377,187551310,251076377,187551310,248659200,3.3920103820811778,3.3593546237924246,4.497193797260067,3.3593546237924246,4.497193797260067,3.8829975276221873,9.339189132243394,"(3.8829975276221873,)","(79,)","(2.8928646956390734e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,3,), (2,0,), )",-1,214009437,187547342,214010211,187551040,248659200,3.3920103820811778,3.941202779763399,4.497288945849204,3.941188525812911,4.497200271456773,3.4171299413696,9.339189132243394,"(1.9946190171562126,4.839640865582988,)","(39,41,)","(2.1340805131763654e-08,5.785729391278147e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,0,1,2,), )",-1,248238811,187550151,248238811,187550151,248659200,3.3920103820811778,3.397754704843474,4.4972215884806195,3.397754704843474,4.4972215884806195,3.8829975276221873,9.339189132243394,"(3.8829975276221873,)","(79,)","(2.8928646956390734e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,2,), (3,0,), )",-1,214009464,187549305,214011389,187549807,248659200,3.3920103820811778,3.941202282530832,4.497241874609986,3.941166832013786,4.497229837191995,3.4171299413695997,9.339189132243394,"(4.839640865582987,1.9946190171562126,)","(41,39,)","(5.785729391278147e-07,2.1340805131763654e-08,)"
