FastLZ best ratio,decomposition,FastLZ best method,Zstd best ratio,Zstd best method
1.2932756751871468,"( (1,0,), (2,), (3,), )",decomposed fastlz compressed ratio,1.422714798597396,decomposed zstd compressed ratio
1.293271362304582,"( (0,1,), (2,), (3,), )",decomposed fastlz compressed ratio,1.422714798597396,decomposed zstd compressed ratio
1.293251489783854,"( (0,), (1,), (2,), (3,), )",decomposed fastlz compressed ratio,1.8911862088117264,decomposed zstd compressed ratio
1.289065340069101,"( (2,0,1,), (3,), )",decomposed fastlz compressed ratio,1.3129060185785777,decomposed zstd compressed ratio
1.2890643081653577,"( (3,), (1,2,0,), )",reordered fastlz compressed ratio,1.312905814687801,decomposed zstd compressed ratio
1.2890621264314537,"( (0,1,2,), (3,), )",decomposed fastlz compressed ratio,1.312926795380741,decomposed zstd compressed ratio
1.2890594434985345,"( (0,2,1,), (3,), )",decomposed fastlz compressed ratio,1.3129060695512818,decomposed zstd compressed ratio
1.2890591781541274,"( (1,0,2,), (3,), )",decomposed fastlz compressed ratio,1.3129269075242447,decomposed zstd compressed ratio
1.2890547557634244,"( (2,1,0,), (3,), )",decomposed fastlz compressed ratio,1.3129268871345152,decomposed zstd compressed ratio
1.288974725562753,"( (1,), (0,2,), (3,), )",decomposed fastlz compressed ratio,1.4967065491871743,decomposed zstd compressed ratio
1.288974086854808,"( (0,), (3,), (2,1,), )",decomposed fastlz compressed ratio,1.4934900909483604,reordered zstd compressed ratio
1.288974077028537,"( (0,), (1,2,), (3,), )",decomposed fastlz compressed ratio,1.4934639847720141,decomposed zstd compressed ratio
1.2889728290933204,"( (1,), (3,), (2,0,), )",decomposed fastlz compressed ratio,1.4967320931417498,reordered zstd compressed ratio
1.2889728290933204,"( (2,0,), (1,), (3,), )",decomposed fastlz compressed ratio,1.496706443197478,decomposed zstd compressed ratio
1.1161140763777113,"( (1,0,), (2,3,), )",reordered fastlz compressed ratio,1.3420832476554065,reordered zstd compressed ratio
1.116110864176186,"( (0,1,), (2,3,), )",reordered fastlz compressed ratio,1.3420832476554065,reordered zstd compressed ratio
1.116109876943652,"( (2,3,), (1,0,), )",reordered fastlz compressed ratio,1.34207066694658,reordered zstd compressed ratio
1.1161058469901548,"( (2,3,), (0,1,), )",reordered fastlz compressed ratio,1.34207066694658,reordered zstd compressed ratio
1.1160962032159314,"( (0,), (1,), (2,3,), )",reordered fastlz compressed ratio,1.7514353772513442,reordered zstd compressed ratio
1.1160909798814425,"( (2,3,), (1,), (0,), )",reordered fastlz compressed ratio,1.7512999747573896,decomposed zstd compressed ratio
