Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
hst_wfc3_ir_f32,Entropy,2,0.7246973375447375,0.022257198497265374,897.1676982473822,1.8290710995529793,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,Entropy,3,0.49851966950212956,0.0010111900852924035,34193757.76345915,5.831342190793297,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
hst_wfc3_ir_f32,Entropy_Mean,2,0.723536771952235,0.023264103089891845,821.1855929136849,1.8065749186226436,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,Entropy_Mean,3,0.49835323709188895,0.0011260789786889244,25296488.78275534,5.489803590520793,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
hst_wfc3_ir_f32,Entropy_Std,2,0.7271984869314989,0.020000457712442424,1110.9636945644763,1.74629950768988,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,Entropy_Std,3,0.4946172563716055,0.003667939204250417,3201512.5125067644,5.361572685807175,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
hst_wfc3_ir_f32,Entropy_Max,2,0.7269531956255054,0.020203120150069382,1088.7665387256336,1.622040712756821,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,Entropy_Max,3,0.49406913677162256,0.004042291728760053,2584586.2748391377,4.952185797034132,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
hst_wfc3_ir_f32,Entropy_Min,2,0.7146584481142881,0.03072017198402635,470.8053676689432,1.427908314792075,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,Entropy_Min,3,0.49005591486728906,0.006852665627300309,398644.34574694245,3.719762594123174,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
hst_wfc3_ir_f32,Frequency,2,0.7483221060304539,0.0014117178560291135,220859.84264033666,4.172027435743956,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,Frequency,3,0.4428668390526552,0.03802560915490506,5730457.215152334,5.310572463760724,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
hst_wfc3_ir_f32,All_Features,2,0.7250196010833633,0.021913085141162466,925.5935484783554,2.2216555647784393,"(1,2,3)|(4)",zstd,3341699,2.155966770196837,2988444,2.4108171342678664,2954166,2.438790508048634
hst_wfc3_ir_f32,All_Features,3,0.49544699230710754,0.0031089817020303182,3729065.9329996947,6.042273750108979,"(1,2)|(3)|(4)",zstd,3341699,2.155966770196837,2948971,2.4430867580589974,2953707,2.4391694910835775
hst_wfc3_ir_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,3341699,2.155966770196837,2953646,2.4392198658877877,2953646,2.4392198658877877
ts_gas_f32,Entropy,2,0.7184341755912558,0.025565785868000443,664.2547536735738,1.042074725644154,"(1,2,3)|(4)",zstd,25703377,3.588471662692416,24212513,3.809428620647514,15371420,6.000476208443982
ts_gas_f32,Entropy,3,0.4104473579546889,0.06090201000399465,7199.794403192487,1.5793442699176836,"(1,2)|(3)|(4)",zstd,25703377,3.588471662692416,17921591,5.146632349772964,15370087,6.0009966111447515
ts_gas_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
ts_gas_f32,Entropy_Mean,2,0.5169747247060095,0.1787551851285118,13.844333168236005,-0.571504434386056,"(1,2,3)|(4)",zstd,25703377,3.588471662692416,24212513,3.809428620647514,15371420,6.000476208443982
ts_gas_f32,Entropy_Mean,3,0.4604376635610794,0.03100339768692025,849.6847596239204,0.9691618820185368,"(1,2)|(3)|(4)",zstd,25703377,3.588471662692416,17921591,5.146632349772964,15370087,6.0009966111447515
ts_gas_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
ts_gas_f32,Entropy_Std,2,0.659402919724002,0.06488352330194214,91.81624666061144,0.5066200351950958,"(1,2,3)|(4)",zstd,25703377,3.588471662692416,24212513,3.809428620647514,15371420,6.000476208443982
ts_gas_f32,Entropy_Std,3,0.2647822967035675,0.15935078544905354,179.5044380053457,0.3721446609639152,"(1,3)|(2)|(4)",zstd,25703377,3.588471662692416,18480605,4.9909534888062375,15367858,6.001867013607232
ts_gas_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
ts_gas_f32,Entropy_Max,2,0.7371575178146387,0.011269150299034358,3498.948143128037,2.4442072517631757,"(1,2,3)|(4)",zstd,25703377,3.588471662692416,24212513,3.809428620647514,15371420,6.000476208443982
ts_gas_f32,Entropy_Max,3,0.4913422787947652,0.005843936741296578,3893676.9416179615,5.329519980514906,"(1,2)|(3)|(4)",zstd,25703377,3.588471662692416,17921591,5.146632349772964,15370087,6.0009966111447515
ts_gas_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
ts_gas_f32,Entropy_Min,2,0.8953382155379656,0.10354211461790495,93.40914920614013,0.09813242649511067,"(1,2)|(3,4)",zstd,25703377,3.588471662692416,18190384,5.070582347244566,15370731,6.000745182516043
ts_gas_f32,Entropy_Min,3,0.4999170994611681,7.771836881244501e-05,46226830.560918726,6.25817905560144,"(1,2)|(3)|(4)",zstd,25703377,3.588471662692416,17921591,5.146632349772964,15370087,6.0009966111447515
ts_gas_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
ts_gas_f32,Frequency,2,0.6988538393614981,0.0445357344199562,224.0775044546638,0.9235952704702468,"(1,2,3)|(4)",zstd,25703377,3.588471662692416,24212513,3.809428620647514,15371420,6.000476208443982
ts_gas_f32,Frequency,3,0.4987654232967125,0.0008629540324204306,12360704.992167955,5.6506088769448555,"(1,2)|(3)|(4)",zstd,25703377,3.588471662692416,17921591,5.146632349772964,15370087,6.0009966111447515
ts_gas_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
ts_gas_f32,All_Features,2,0.574808028056025,0.14647091118295352,20.75788645696851,0.33136565006574087,"(1,2,3)|(4)",zstd,25703377,3.588471662692416,24212513,3.809428620647514,15371420,6.000476208443982
ts_gas_f32,All_Features,3,0.4564645382001012,0.03352709601908195,1004.4549655585499,1.9498471941055113,"(1,2)|(3)|(4)",zstd,25703377,3.588471662692416,17921591,5.146632349772964,15370087,6.0009966111447515
ts_gas_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,25703377,3.588471662692416,15367448,6.002027142047267,15367448,6.002027142047267
solar_wind_f32,Entropy,2,0.4342412406203873,0.5228594675537013,7.079733907206908,-1.0804980366747996,"(1,4)|(2,3)",zstd,89268270,1.4248529740746627,93590691,1.3590471300185185,79616935,1.597576696465394
solar_wind_f32,Entropy,3,0.15794238839408864,0.2606287781471744,6.5211461862284565,-1.5685553190372667,"(1,4)|(2)|(3)",zstd,89268270,1.4248529740746627,91201455,1.3946505568359628,79587825,1.598161025257318
solar_wind_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
solar_wind_f32,Entropy_Mean,2,0.430294651934581,0.5273546573141255,7.043499252545876,-0.9600062945356762,"(1,4)|(2,3)",zstd,89268270,1.4248529740746627,93590691,1.3590471300185185,79616935,1.597576696465394
solar_wind_f32,Entropy_Mean,3,0.13945176510055615,0.273018513246032,5.815485382151429,-1.5521728033944218,"(1,4)|(2)|(3)",zstd,89268270,1.4248529740746627,91201455,1.3946505568359628,79587825,1.598161025257318
solar_wind_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
solar_wind_f32,Entropy_Std,2,0.5489185025678204,0.17451067964733002,14.505515020924381,-0.38176031328984816,"(1,2,3)|(4)",zstd,89268270,1.4248529740746627,78734290,1.615486213186148,79651569,1.5968820400763228
solar_wind_f32,Entropy_Std,3,0.4548228652579053,0.036846404297656794,680.2977953776006,1.2238631446253558,"(1,2)|(3)|(4)",zstd,89268270,1.4248529740746627,74339086,1.7109997828060464,79606321,1.5977897031568635
solar_wind_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
solar_wind_f32,Entropy_Max,2,0.44328034608726097,0.5149047853380131,7.248478078669206,-1.2647627117774514,"(1,4)|(2,3)",zstd,89268270,1.4248529740746627,93590691,1.3590471300185185,79616935,1.597576696465394
solar_wind_f32,Entropy_Max,3,0.17351164954994247,0.25070081945677414,7.05279572726922,-1.4574289051816658,"(1,4)|(2)|(3)",zstd,89268270,1.4248529740746627,91201455,1.3946505568359628,79587825,1.598161025257318
solar_wind_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
solar_wind_f32,Entropy_Min,2,0.2740606123702152,0.28318167504400477,4.319636464578205,-0.7767001523853639,"(1,2,4)|(3)",zstd,89268270,1.4248529740746627,82656419,1.538829791307557,79609033,1.5977352720764741
solar_wind_f32,Entropy_Min,3,0.11301281528425494,0.2876002279092914,6.661849850551655,-1.7030809977814922,"(1,2)|(4)|(3)",zstd,89268270,1.4248529740746627,74339086,1.7109997828060464,79606321,1.5977897031568635
solar_wind_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
solar_wind_f32,Frequency,2,0.34570013681828893,0.2893704292124316,4.872251411496907,-0.3885225302516311,"(1,2,3)|(4)",zstd,89268270,1.4248529740746627,78734290,1.615486213186148,79651569,1.5968820400763228
solar_wind_f32,Frequency,3,0.3118983841033989,0.1629159847183477,20.440015986209133,-0.7891860506141724,"(1,2)|(3)|(4)",zstd,89268270,1.4248529740746627,74339086,1.7109997828060464,79606321,1.5977897031568635
solar_wind_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
solar_wind_f32,All_Features,2,0.4153859594670659,0.5388232807810285,6.71482111409063,-0.3800385904613137,"(1,4)|(2,3)",zstd,89268270,1.4248529740746627,93590691,1.3590471300185185,79616935,1.597576696465394
solar_wind_f32,All_Features,3,0.13180206703360686,0.27662070299148817,5.849262355019343,-0.3884564237056464,"(1,4)|(2)|(3)",zstd,89268270,1.4248529740746627,91201455,1.3946505568359628,79587825,1.598161025257318
solar_wind_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,89268270,1.4248529740746627,79585879,1.5982001028096957,79585879,1.5982001028096957
acs_wht_f32,Entropy,2,0.6742491767930301,0.06531110198884546,104.1941792675985,0.7642833053686081,"(1,2,3)|(4)",zstd,48659755,1.387183309903636,44067559,1.5317390282497836,42001092,1.6071010725149717
acs_wht_f32,Entropy,3,0.49998003933673374,1.4239191990901005e-05,22210916471.86485,9.23292132106634,"(1,2)|(3)|(4)",zstd,48659755,1.387183309903636,41993839,1.6073786442816052,42001330,1.6070919658972704
acs_wht_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,48659755,1.387183309903636,42001427,1.6070882544062133,42001427,1.6070882544062133
acs_wht_f32,Entropy_Mean,2,0.6587299592632877,0.07810568586600591,72.85379516221747,0.5316406014627858,"(1,2,3)|(4)",zstd,48659755,1.387183309903636,44067559,1.5317390282497836,42001092,1.6071010725149717
acs_wht_f32,Entropy_Mean,3,0.49997591792574353,1.738740879758864e-05,10755852751.176786,8.659897085088954,"(1,2)|(3)|(4)",zstd,48659755,1.387183309903636,41993839,1.6073786442816052,42001330,1.6070919658972704
acs_wht_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),zstd,48659755,1.387183309903636,42001427,1.6070882544062133,42001427,1.6070882544062133
acs_wht_f32,Entropy_Std,2,0.6504907481962223,0.08480026862932276,61.80491466641159,0.04387470097666801,"(1,2,3)|(4)",zstd,48659755,1.387183309903636,44067559,1.5317390282497836,42001092,1.6071010725149717
