Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k,config
acs_wht_f32,All_Features,Silhouette,0.6864358690078964,1.5317390282497836,2,"(1,2,3)|(4)"
acs_wht_f32,All_Features,DaviesBouldin,0.00021892946509,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,CalinskiHarabasz,127361218.49353348,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,GapStatistic,7.651879051721466,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,Silhouette,0.6742491767930301,1.5317390282497836,2,"(1,2,3)|(4)"
acs_wht_f32,Entropy,DaviesBouldin,1.4239191990901003e-05,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,CalinskiHarabasz,22210916471.86485,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,GapStatistic,9.23292132106634,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,Silhouette,0.7356075320494263,1.5317390282497836,2,"(1,2,3)|(4)"
acs_wht_f32,Frequency,DaviesBouldin,0.0001253054045683,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,CalinskiHarabasz,6661795926.932663,1.6073786442816052,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,GapStatistic,8.90669795086579,1.6073786442816052,3,"(1,2)|(3)|(4)"
citytemp_f32,All_Features,Silhouette,0.5868407185238029,2.9116905495797254,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,DaviesBouldin,2.8294224475562698e-08,3.135009191300401,3,"(1,2)|(4)|(3)"
citytemp_f32,All_Features,CalinskiHarabasz,19.91506098637966,2.9116905495797254,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,GapStatistic,0.4700313993159897,2.9116905495797254,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,Silhouette,0.6008479110599276,2.9116905495797254,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,DaviesBouldin,0.0,3.135009191300401,3,"(1,2)|(4)|(3)"
citytemp_f32,Entropy,CalinskiHarabasz,23.891613356917688,2.9116905495797254,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,GapStatistic,0.1740802708659656,2.9116905495797254,2,"(1,2,4)|(3)"
citytemp_f32,Frequency,Silhouette,0.5,3.135009191300401,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,DaviesBouldin,0.0,3.135009191300401,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,CalinskiHarabasz,5.52179251934642,2.796524779190372,2,"(1,2,3)|(4)"
citytemp_f32,Frequency,GapStatistic,-0.7599718577243797,2.796524779190372,2,"(1,2,3)|(4)"
g24_78_usb2_f32,All_Features,Silhouette,0.7013291699169989,1.2060293014147228,2,"(1,2,3)|(4)"
g24_78_usb2_f32,All_Features,DaviesBouldin,0.0234217618626698,1.2112870672182177,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,All_Features,CalinskiHarabasz,19275.01619144669,1.2112870672182177,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,All_Features,GapStatistic,3.4316874075058736,1.2112870672182177,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Entropy,Silhouette,0.7323805661096372,1.2060293014147228,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Entropy,DaviesBouldin,0.0142509435779265,1.2060293014147228,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Entropy,CalinskiHarabasz,20442.085461974777,1.2112870672182177,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Entropy,GapStatistic,2.1048147209562296,1.2060293014147228,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Frequency,Silhouette,0.7082490769253575,1.2060293014147228,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Frequency,DaviesBouldin,0.0296333104333376,1.2060293014147228,2,"(1,2,3)|(4)"
g24_78_usb2_f32,Frequency,CalinskiHarabasz,693.4066041593095,1.2112870672182177,3,"(2,3)|(1)|(4)"
g24_78_usb2_f32,Frequency,GapStatistic,1.1944285159332058,1.2060293014147228,2,"(1,2,3)|(4)"
hdr_night_f32,All_Features,Silhouette,0.563546359592981,3.346365675016705,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,DaviesBouldin,2.877845141207572e-08,3.649787058652488,3,"(1,2)|(4)|(3)"
hdr_night_f32,All_Features,CalinskiHarabasz,19.40436849539603,3.346365675016705,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,GapStatistic,0.5592420416404491,3.346365675016705,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,Silhouette,0.5652624342407944,3.346365675016705,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,DaviesBouldin,0.0,3.649787058652488,3,"(1,2)|(4)|(3)"
hdr_night_f32,Entropy,CalinskiHarabasz,19.74856178959834,3.346365675016705,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,GapStatistic,-0.0871811030300728,3.346365675016705,2,"(1,2,4)|(3)"
hdr_night_f32,Frequency,Silhouette,0.6709813355003713,3.2174357909526607,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,DaviesBouldin,0.0,3.649787058652488,3,"(1,2)|(3)|(4)"
hdr_night_f32,Frequency,CalinskiHarabasz,11.147892195617503,3.2174357909526607,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,GapStatistic,-1.2172539461759753,3.2174357909526607,2,"(1,2)|(3,4)"
hst_wfc3_ir_f32,All_Features,Silhouette,0.7250196010833633,2.4108171342678664,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,All_Features,DaviesBouldin,0.0031089817020303,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,CalinskiHarabasz,3729065.932999695,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,GapStatistic,6.042273750108979,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,Silhouette,0.7246973375447375,2.4108171342678664,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Entropy,DaviesBouldin,0.0010111900852924,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,CalinskiHarabasz,34193757.76345915,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,GapStatistic,5.831342190793297,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Frequency,Silhouette,0.7483221060304539,2.4108171342678664,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Frequency,DaviesBouldin,0.0014117178560291,2.4108171342678664,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Frequency,CalinskiHarabasz,5730457.215152334,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Frequency,GapStatistic,5.310572463760724,2.443086758058997,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,Silhouette,0.7462709658866853,1.933953028230006,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,All_Features,DaviesBouldin,0.0032840982201852,1.933953028230006,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,All_Features,CalinskiHarabasz,50966417.54999094,1.934318674368876,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,GapStatistic,7.079281992609233,1.934318674368876,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,Silhouette,0.7461585687108204,1.933953028230006,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Entropy,DaviesBouldin,0.0026702150323388,1.934318674368876,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,CalinskiHarabasz,201638021.3468257,1.934318674368876,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,GapStatistic,6.769484711924219,1.934318674368876,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,Silhouette,0.7445252653374943,1.933953028230006,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Frequency,DaviesBouldin,0.0047962753091493,1.933953028230006,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Frequency,CalinskiHarabasz,9762225.727172663,1.934318674368876,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,GapStatistic,5.284308735782513,1.934318674368876,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,Silhouette,0.7051933940356875,1.3222943120389896,2,"(1,2,3)|(4)"
jw_mirimage_f32,All_Features,DaviesBouldin,4.99673791384335e-05,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,CalinskiHarabasz,4668811080.626112,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,GapStatistic,9.399806753108356,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,Silhouette,0.7419849219298273,1.3222943120389896,2,"(1,2,3)|(4)"
jw_mirimage_f32,Entropy,DaviesBouldin,2.8040849645690863e-06,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,CalinskiHarabasz,42720346183262.88,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Entropy,GapStatistic,12.544952207014155,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,Silhouette,0.7255469202887913,1.3222943120389896,2,"(1,2,3)|(4)"
jw_mirimage_f32,Frequency,DaviesBouldin,7.204497964371686e-05,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,CalinskiHarabasz,7176624958.793934,1.3535823209213127,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,Frequency,GapStatistic,9.153856450579518,1.3535823209213127,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,Silhouette,0.7405944243766077,6.986708599986365,2,"(1,2,3)|(4)"
rsim_f32,All_Features,DaviesBouldin,0.0027652596608728,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,CalinskiHarabasz,31841005.622345302,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,All_Features,GapStatistic,6.950175634305701,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,Silhouette,0.7412144503002324,6.986708599986365,2,"(1,2,3)|(4)"
rsim_f32,Entropy,DaviesBouldin,0.0076971759971411,6.986708599986365,2,"(1,2,3)|(4)"
rsim_f32,Entropy,CalinskiHarabasz,4587738.041824238,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,Entropy,GapStatistic,4.736291982520234,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,Silhouette,0.6955724068130449,6.986708599986365,2,"(1,2,3)|(4)"
rsim_f32,Frequency,DaviesBouldin,0.0203938477027083,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,CalinskiHarabasz,20700.40395599816,7.222996104597208,3,"(1,2)|(3)|(4)"
rsim_f32,Frequency,GapStatistic,2.57259718488678,7.222996104597208,3,"(1,2)|(3)|(4)"
solar_wind_f32,All_Features,Silhouette,0.4153859594670659,1.3590471300185183,2,"(1,4)|(2,3)"
solar_wind_f32,All_Features,DaviesBouldin,0.2766207029914881,1.3946505568359628,3,"(1,4)|(2)|(3)"
solar_wind_f32,All_Features,CalinskiHarabasz,6.71482111409063,1.3590471300185183,2,"(1,4)|(2,3)"
solar_wind_f32,All_Features,GapStatistic,-0.3800385904613137,1.3590471300185183,2,"(1,4)|(2,3)"
solar_wind_f32,Entropy,Silhouette,0.4342412406203873,1.3590471300185183,2,"(1,4)|(2,3)"
solar_wind_f32,Entropy,DaviesBouldin,0.2606287781471744,1.3946505568359628,3,"(1,4)|(2)|(3)"
solar_wind_f32,Entropy,CalinskiHarabasz,7.079733907206908,1.3590471300185183,2,"(1,4)|(2,3)"
solar_wind_f32,Entropy,GapStatistic,-1.0804980366747996,1.3590471300185183,2,"(1,4)|(2,3)"
solar_wind_f32,Frequency,Silhouette,0.3457001368182889,1.615486213186148,2,"(1,2,3)|(4)"
solar_wind_f32,Frequency,DaviesBouldin,0.1629159847183477,1.7109997828060464,3,"(1,2)|(3)|(4)"
solar_wind_f32,Frequency,CalinskiHarabasz,20.440015986209133,1.7109997828060464,3,"(1,2)|(3)|(4)"
solar_wind_f32,Frequency,GapStatistic,-0.3885225302516311,1.615486213186148,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,Silhouette,0.7472474212777623,1.6097361195437907,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,DaviesBouldin,0.0022380512640143,1.6097361195437907,2,"(1,2,3)|(4)"
spitzer_irac_f32,All_Features,CalinskiHarabasz,858080.7421641946,1.608997983488813,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,All_Features,GapStatistic,5.239143636499338,1.608997983488813,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Entropy,Silhouette,0.7472448576786617,1.6097361195437907,2,"(1,2,3)|(4)"
spitzer_irac_f32,Entropy,DaviesBouldin,0.0021995798691959,1.6097361195437907,2,"(1,2,3)|(4)"
spitzer_irac_f32,Entropy,CalinskiHarabasz,601797.3678934544,1.608997983488813,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Entropy,GapStatistic,3.967680890847596,1.608997983488813,3,"(1,2)|(3)|(4)"
spitzer_irac_f32,Frequency,Silhouette,0.7477929423414356,1.6097361195437907,2,"(1,2,3)|(4)"
spitzer_irac_f32,Frequency,DaviesBouldin,0.001908670339009,1.6097361195437907,2,"(1,2,3)|(4)"
spitzer_irac_f32,Frequency,CalinskiHarabasz,13771463.569814645,1.608873143973962,3,"(2,3)|(1)|(4)"
spitzer_irac_f32,Frequency,GapStatistic,5.740016833747198,1.608873143973962,3,"(2,3)|(1)|(4)"
