Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k
astro_pt_f64,All_Features,Silhouette,0.792057608950662,1.14196948909791,2
astro_pt_f64,All_Features,DaviesBouldin,0.0022385518249068,1.29349384020328,3
astro_pt_f64,All_Features,CalinskiHarabasz,1303208745.17807,1.37545741855668,7
astro_pt_f64,All_Features,GapStatistic,9.26511062576054,1.36832882706607,5
astro_pt_f64,Entropy,Silhouette,0.836910390131746,1.14196948909791,2
astro_pt_f64,Entropy,DaviesBouldin,4.63e-05,1.29349384020328,3
astro_pt_f64,Entropy,CalinskiHarabasz,1204339721104740.0,1.37545741855668,7
astro_pt_f64,Entropy,GapStatistic,14.8733244844764,1.37500901090764,5
astro_pt_f64,Frequency,Silhouette,0.83415881160601,1.14196948909791,2
astro_pt_f64,Frequency,DaviesBouldin,0.002054593407516,1.29349384020328,3
astro_pt_f64,Frequency,CalinskiHarabasz,18537543293.2807,1.37545741855668,7
astro_pt_f64,Frequency,GapStatistic,9.34556955765907,1.37500901090764,5
msg_bt_f64,All_Features,Silhouette,0.815559229312753,1.22629926486197,2
msg_bt_f64,All_Features,DaviesBouldin,0.0164986021078745,1.38885085878313,5
msg_bt_f64,All_Features,CalinskiHarabasz,263672234.362905,1.38612182563753,7
msg_bt_f64,All_Features,GapStatistic,8.12034090002557,1.38612182563753,7
msg_bt_f64,Entropy,Silhouette,0.847490757196739,1.22629926486197,2
msg_bt_f64,Entropy,DaviesBouldin,0.0027314416796135,1.38885085878313,5
msg_bt_f64,Entropy,CalinskiHarabasz,4822766792.30465,1.38610393886893,7
msg_bt_f64,Entropy,GapStatistic,7.98832966496669,1.38726746035192,6
msg_bt_f64,Frequency,Silhouette,0.840789910035415,1.22629926486197,2
msg_bt_f64,Frequency,DaviesBouldin,0.0057695171947868,1.38885085878313,5
msg_bt_f64,Frequency,CalinskiHarabasz,2224040872.01357,1.38612829528002,7
msg_bt_f64,Frequency,GapStatistic,7.51126164712799,1.38695794827627,6
num_brain_f64,All_Features,Silhouette,0.764043087293704,1.1438894821467,2
num_brain_f64,All_Features,DaviesBouldin,0.0001899893187775,1.26517175884028,3
num_brain_f64,All_Features,CalinskiHarabasz,5474287524.38461,1.26517120587719,7
num_brain_f64,All_Features,GapStatistic,9.74901986276611,1.26517149928612,5
num_brain_f64,Entropy,Silhouette,0.831798760190285,1.1438894821467,2
num_brain_f64,Entropy,DaviesBouldin,1.83e-05,1.26517175884028,3
num_brain_f64,Entropy,CalinskiHarabasz,126639378947565.0,1.26517120587719,7
num_brain_f64,Entropy,GapStatistic,12.705604885964,1.26517135258163,6
num_brain_f64,Frequency,Silhouette,0.853004584699137,1.1438894821467,2
num_brain_f64,Frequency,DaviesBouldin,0.0012259100117311,1.26517175884028,3
num_brain_f64,Frequency,CalinskiHarabasz,20524427929.0171,1.26517120587719,7
num_brain_f64,Frequency,GapStatistic,8.79227573639756,1.26517149928612,5
nyc_taxi2015_f64,All_Features,Silhouette,0.684416162327429,2.63742073781795,2
nyc_taxi2015_f64,All_Features,DaviesBouldin,6.4e-08,2.64660192064275,7
nyc_taxi2015_f64,All_Features,CalinskiHarabasz,266.856076612577,2.58248777833597,6
nyc_taxi2015_f64,All_Features,GapStatistic,1.74349530708575,2.58248777833597,6
nyc_taxi2015_f64,Entropy,Silhouette,0.684637803455271,2.63742073781795,2
nyc_taxi2015_f64,Entropy,DaviesBouldin,0.0,2.64660192064275,7
nyc_taxi2015_f64,Entropy,CalinskiHarabasz,268.415178876275,2.58248777833597,6
nyc_taxi2015_f64,Entropy,GapStatistic,0.128069735260997,2.75527059966697,3
nyc_taxi2015_f64,Frequency,Silhouette,0.794220397236891,2.63742073781795,2
nyc_taxi2015_f64,Frequency,DaviesBouldin,0.0,2.64660192064275,7
nyc_taxi2015_f64,Frequency,CalinskiHarabasz,2889.65954489036,2.60633874029792,6
nyc_taxi2015_f64,Frequency,GapStatistic,1.27339523186941,2.60633874029792,6
phone_gyro_f64,All_Features,Silhouette,0.665857565620102,3.13935040528669,2
phone_gyro_f64,All_Features,DaviesBouldin,0.0240806282038026,1.3599564609822,7
phone_gyro_f64,All_Features,CalinskiHarabasz,19546.2252655312,1.3599564609822,7
phone_gyro_f64,All_Features,GapStatistic,3.60031528653129,1.3599564609822,7
phone_gyro_f64,Entropy,Silhouette,0.783803883687167,3.13935040528669,2
phone_gyro_f64,Entropy,DaviesBouldin,0.0182446436589222,1.3599564609822,7
phone_gyro_f64,Entropy,CalinskiHarabasz,184119.469206873,1.3599564609822,7
phone_gyro_f64,Entropy,GapStatistic,2.58302323516801,1.3599564609822,7
phone_gyro_f64,Frequency,Silhouette,0.777629034853108,3.13935040528669,2
phone_gyro_f64,Frequency,DaviesBouldin,0.0379644263551513,1.3599564609822,7
phone_gyro_f64,Frequency,CalinskiHarabasz,36936.5213933632,1.3599564609822,7
phone_gyro_f64,Frequency,GapStatistic,1.93569301537207,1.3599564609822,7
tpch_order_f64,All_Features,Silhouette,0.749680347853026,2.09127141477178,4
tpch_order_f64,All_Features,DaviesBouldin,0.0,1.84784075419251,6
tpch_order_f64,All_Features,CalinskiHarabasz,3700246693.38702,2.09127094098514,5
tpch_order_f64,All_Features,GapStatistic,10.7053798379033,2.09127094098514,5
tpch_order_f64,Entropy,Silhouette,0.749693097988673,2.09127141477178,4
tpch_order_f64,Entropy,DaviesBouldin,0.0,1.84784075419251,6
tpch_order_f64,Entropy,CalinskiHarabasz,88240282193.4925,2.09127094098514,5
tpch_order_f64,Entropy,GapStatistic,10.8392000397655,2.09127094098514,5
tpch_order_f64,Frequency,Silhouette,0.758091920140033,1.94675773339776,3
tpch_order_f64,Frequency,DaviesBouldin,0.0,2.09127094098514,5
tpch_order_f64,Frequency,CalinskiHarabasz,7715224879680.57,2.09127094098514,5
tpch_order_f64,Frequency,GapStatistic,12.7855176643269,2.09127094098514,5
tpcxbb_store_f64,All_Features,Silhouette,0.792901283979065,2.55997863247406,3
tpcxbb_store_f64,All_Features,DaviesBouldin,1.7e-07,2.01770835344326,6
tpcxbb_store_f64,All_Features,CalinskiHarabasz,7.699999999999999e+36,2.29477725410464,5
tpcxbb_store_f64,All_Features,GapStatistic,42.1849591657826,2.29477725410464,5
tpcxbb_store_f64,Entropy,Silhouette,0.792811359187982,2.55997863247406,3
tpcxbb_store_f64,Entropy,DaviesBouldin,0.0,2.29477725410464,5
tpcxbb_store_f64,Entropy,CalinskiHarabasz,763.674467469061,2.27142395734734,4
tpcxbb_store_f64,Entropy,GapStatistic,1.47124170773532,2.27142395734734,4
tpcxbb_store_f64,Frequency,Silhouette,0.832779631120311,2.55997863247406,3
tpcxbb_store_f64,Frequency,DaviesBouldin,0.0,2.29477725410464,5
tpcxbb_store_f64,Frequency,CalinskiHarabasz,1.38e+32,2.29477725410464,5
tpcxbb_store_f64,Frequency,GapStatistic,34.9520987527081,2.29477725410464,5
tpcxbb_web_f64,All_Features,Silhouette,0.755690676027725,2.48411437864875,3
tpcxbb_web_f64,All_Features,DaviesBouldin,6.74e-08,2.26778544942726,5
tpcxbb_web_f64,All_Features,CalinskiHarabasz,2.48e+37,2.26778544942726,5
tpcxbb_web_f64,All_Features,GapStatistic,43.1549381119326,2.26778544942726,5
tpcxbb_web_f64,Entropy,Silhouette,0.755373363563861,2.48411437864875,3
tpcxbb_web_f64,Entropy,DaviesBouldin,0.0,2.26778544942726,5
tpcxbb_web_f64,Entropy,CalinskiHarabasz,600.000272750674,2.2384182179119,4
tpcxbb_web_f64,Entropy,GapStatistic,1.27502219873685,2.2384182179119,4
tpcxbb_web_f64,Frequency,Silhouette,0.802753570904301,2.48411437864875,3
tpcxbb_web_f64,Frequency,DaviesBouldin,0.0,2.26778544942726,5
tpcxbb_web_f64,Frequency,CalinskiHarabasz,4.7600000000000004e+32,2.26778544942726,5
tpcxbb_web_f64,Frequency,GapStatistic,36.4248709294072,2.26778544942726,5
wesad_chest_f64,All_Features,Silhouette,0.832223743040608,2.98558846928449,2
wesad_chest_f64,All_Features,DaviesBouldin,0.012161541566609,2.88148861901761,7
wesad_chest_f64,All_Features,CalinskiHarabasz,15757.2141525792,2.88148861901761,7
wesad_chest_f64,All_Features,GapStatistic,3.24384605797969,2.88148861901761,7
wesad_chest_f64,Entropy,Silhouette,0.858243754371127,2.98558846928449,2
wesad_chest_f64,Entropy,DaviesBouldin,0.0008206749143266,2.88148861901761,7
wesad_chest_f64,Entropy,CalinskiHarabasz,6526436.71785929,2.88148861901761,7
wesad_chest_f64,Entropy,GapStatistic,3.90984809909952,2.88148861901761,7
wesad_chest_f64,Frequency,Silhouette,0.75448326390993,2.98558846928449,2
wesad_chest_f64,Frequency,DaviesBouldin,0.0002103642433976,2.88148861901761,7
wesad_chest_f64,Frequency,CalinskiHarabasz,317609233.359419,2.88148861901761,7
wesad_chest_f64,Frequency,GapStatistic,5.37258187891806,2.88148861901761,7
