dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,3,), (2,), )",-1,168233304,150055876,168232542,150056317,166599983,1.0372358561405135,1.027165679394848,1.1515941968177241,1.0271703318850167,1.1515908124014533,6.097503764857313,17.407346762848366,"(7.26720306709632,4.6778747143579205,7.767062563617094,)","(19,15,12,)","(5.9258067239341876e-06,1.3425655858913394e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,2,3,), )",-1,171288424,150059122,171286938,150058532,166599983,1.0372358561405135,1.0088450343848105,1.1515692861377664,1.008853786620904,1.151573813876841,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,22,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,), (1,2,0,), )",-1,149958149,150056267,149958135,150055758,166599983,1.0372358561405135,1.1523446851827972,1.151591196121119,1.1523447927649941,1.1515951024018685,6.100469639298032,17.407346762848366,"(3.0430699867830926,7.119602856803012,)","(12,23,)","(5.78692062884198e-07,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,2,), (3,), )",-1,149626757,150056779,149626046,150058532,166599983,1.0372358561405135,1.1548968878607722,1.1515872668438392,1.1549023757534835,1.151573813876841,6.100469639298031,17.407346762848366,"(7.119602856803011,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,), (3,2,), )",-1,171993407,150056832,171993519,150056317,166599983,1.0372358561405135,1.0047098840247988,1.1515868601037773,1.0047092297704543,1.1515908124014533,6.346029256888285,17.407346762848366,"(6.468525325117747,6.223533188658822,)","(38,15,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,3,), (2,), )",-1,166127444,150059123,166127529,150059205,166599983,1.0372358561405135,1.040186207885074,1.1515692784636626,1.04018567566848,1.151568649187499,6.515434113720151,17.407346762848366,"(6.098224630421169,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,0,), (3,), )",-1,149267989,150052023,149270265,150052784,166599983,1.0372358561405135,1.1576727010102614,1.1516237671784004,1.157655049383077,1.1516179266623936,6.100469639298033,17.407346762848366,"(7.119602856803013,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (2,), (1,3,), )",-1,172425410,150053908,172426357,150053334,166599983,1.0372358561405135,1.0021926350646346,1.1516093003055943,1.0021871308224646,1.1516137055641829,6.067517880513595,17.407346762848366,"(4.533815154174166,7.767062563617094,5.98459690213156,)","(28,12,15,)","(2.314768251536792e-06,5.9258067239341876e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,3,2,), )",-1,171540191,150056007,171538526,150056317,166599983,1.0372358561405135,1.0073643674560209,1.1515931914675033,1.0073741452109715,1.1515908124014533,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,0,1,), (2,), )",-1,166106495,150056335,166106580,150056312,166599983,1.0372358561405135,1.0403173939706571,1.1515906742624362,1.0403168616198106,1.1515908507734083,6.515434113720151,17.407346762848366,"(6.098224630421169,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,2,), (3,), )",-1,150054621,150054621,150055617,150056463,166599983,1.0372358561405135,1.1516038283152905,1.1516038283152905,1.1515961845000444,1.1515896919414927,5.703624848170548,17.407346762848366,"(4.533815154174166,7.618807125862466,3.0430699867830926,)","(28,15,12,)","(2.314768251536792e-06,2.9629033619670938e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,), (1,0,3,), )",-1,166433421,150056235,166433854,150052784,166599983,1.0372358561405135,1.0382738933185782,1.1515914417018394,1.0382711921097496,1.1516179266623936,6.515434113720151,17.407346762848366,"(7.767062563617094,6.098224630421169,)","(12,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (2,3,0,), )",-1,171774265,150054652,171777887,150058241,166599983,1.0372358561405135,1.005991648399718,1.1516035904038484,1.005970436695382,1.1515760470629535,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,22,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,), (3,0,), )",-1,168311743,150056179,168311931,150058242,166599983,1.0372358561405135,1.02668698523311,1.151591871468352,1.0266858384507513,1.1515760393887595,6.1483409201101935,17.407346762848366,"(7.618807125862466,4.6778747143579205,)","(15,15,)","(2.9629033619670938e-06,1.3425655858913394e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,3,0,1,), )",-1,168053710,150054735,168053710,150054735,166599983,1.0372358561405135,1.0282633807965322,1.151602953415632,1.0282633807965322,1.151602953415632,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,2,3,), )",-1,171632787,150059010,171633312,150056463,166599983,1.0372358561405135,1.0068208937258591,1.1515701456380394,1.0068178140150323,1.1515896919414927,6.2589104958688,17.407346762848366,"(4.533815154174166,6.833942276433679,)","(28,22,)","(2.314768251536792e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,1,2,0,), )",-1,165576526,150055758,165576526,150055758,166599983,1.0372358561405135,1.0436471894572785,1.1515951024018685,1.0436471894572785,1.1515951024018685,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,3,), (2,0,), )",-1,172796491,150055916,172796468,150054998,166599983,1.0372358561405135,1.0000404232745674,1.1515938898403713,1.0000405563845205,1.1516009350118415,6.411776197448152,17.407346762848366,"(5.98459690213156,6.838955492764744,)","(15,17,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,0,1,2,), )",-1,166485426,150056312,166485426,150056312,166599983,1.0372358561405135,1.0379495680300568,1.1515908507734083,1.0379495680300568,1.1515908507734083,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,2,), (3,0,), )",-1,168311743,150056179,168311839,150058241,166599983,1.0372358561405135,1.02668698523311,1.151591871468352,1.0266863996417983,1.1515760470629535,6.1483409201101935,17.407346762848366,"(7.618807125862466,4.6778747143579205,)","(15,15,)","(2.9629033619670938e-06,1.3425655858913394e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,), (2,), (3,), )",-1,150054644,150054644,150056463,150056463,166599983,1.0372358561405135,1.15160365180034,1.15160365180034,1.1515896919414927,1.1515896919414927,5.652787692917667,17.407346762848366,"(4.533815154174166,7.26720306709632,7.767062563617094,3.0430699867830926,)","(28,19,12,12,)","(2.314768251536792e-06,5.9258067239341876e-06,5.9258067239341876e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (3,), (2,1,), )",-1,150054621,150054621,150055984,150055984,166599983,1.0372358561405135,1.1516038283152905,1.1516038283152905,1.151593367979247,1.151593367979247,5.703624848170548,17.407346762848366,"(4.533815154174166,3.0430699867830926,7.618807125862466,)","(28,12,15,)","(2.314768251536792e-06,5.78692062884198e-07,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (3,0,2,), )",-1,171424342,150056329,171423646,150054735,166599983,1.0372358561405135,1.008045146820514,1.1515907203087714,1.0080492396014025,1.151602953415632,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,2,1,), (3,), )",-1,149867270,150054710,149869546,150053334,166599983,1.0372358561405135,1.153043463059012,1.1516031452794784,1.153025952317224,1.1516137055641829,6.100469639298032,17.407346762848366,"(7.119602856803012,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,0,3,), )",-1,166314377,150052784,166314377,150052784,166599983,1.0372358561405135,1.0390170658547457,1.1516179266623936,1.0390170658547457,1.1516179266623936,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,2,3,1,), )",-1,168712288,150059202,168712288,150059202,166599983,1.0372358561405135,1.0242494962785402,1.1515686722097855,1.0242494962785402,1.1515686722097855,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,2,0,3,), )",-1,166785521,150058462,166785521,150058462,166599983,1.0372358561405135,1.0360819989883894,1.1515743510685856,1.0360819989883894,1.1515743510685856,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,2,3,), )",-1,166599983,150056463,166599983,150056463,166599983,1.0372358561405135,1.0372358561405135,1.1515896919414927,1.0372358561405135,1.1515896919414927,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,), (2,3,), )",-1,171993422,150055916,171993521,150058532,166599983,1.0372358561405135,1.0047097964013996,1.1515938898403713,1.0047092180873487,1.151573813876841,6.346029256888285,17.407346762848366,"(6.468525325117747,6.223533188658822,)","(38,15,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,1,0,), (2,), )",-1,166004945,150052224,166005030,150052301,166599983,1.0372358561405135,1.0409537860453495,1.1516222245396377,1.0409532530429952,1.1516216335796143,6.515434113720151,17.407346762848366,"(6.09822463042117,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,3,1,), (0,), )",-1,171985607,150054037,171985017,150053226,166599983,1.0372358561405135,1.0047554502627654,1.15160831027825,1.00475889710788,1.1516145344319355,6.2589104958688,17.407346762848366,"(6.833942276433679,4.533815154174166,)","(22,28,)","(1.9752689079780625e-06,2.314768251536792e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,2,), (3,), )",-1,150425725,150054733,150425833,150058532,166599983,1.0372358561405135,1.1487627930661461,1.1516029687647373,1.1487619682983574,1.151573813876841,5.997046009852225,17.407346762848366,"(7.26720306709632,6.838955492764744,3.0430699867830926,)","(19,17,12,)","(5.9258067239341876e-06,2.9629033619670938e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,3,0,), (2,), )",-1,168686027,150054652,168686112,150054735,166599983,1.0372358561405135,1.0244089511930943,1.1516035904038484,1.0244084349990827,1.151602953415632,6.515434113720151,17.407346762848366,"(6.09822463042117,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,), (2,), (3,), )",-1,149605081,150056652,149606969,150058532,166599983,1.0372358561405135,1.1550642187079194,1.1515882414862888,1.1550496421059102,1.151573813876841,5.93679580015892,17.407346762848366,"(6.468525325117747,7.767062563617094,3.0430699867830926,)","(38,12,12,)","(2.9629033619670938e-06,5.9258067239341876e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,0,1,3,), )",-1,166911983,150055409,166911983,150055409,166599983,1.0372358561405135,1.0352970044098033,1.1515977807904278,1.0352970044098033,1.1515977807904278,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(29,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,1,), (2,), (0,), )",-1,172403463,150054822,172404411,150055758,166599983,1.0372358561405135,1.0023202144147185,1.1516022857299448,1.0023147029573392,1.1515951024018685,6.067517880513595,17.407346762848366,"(5.98459690213156,7.767062563617094,4.533815154174166,)","(15,12,28,)","(2.9629033619670938e-06,5.9258067239341876e-06,2.314768251536792e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,2,0,1,), )",-1,165203456,150056553,165203456,150056553,166599983,1.0372358561405135,1.0460040012722251,1.1515890012480827,1.0460040012722251,1.1515890012480827,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (3,), (2,0,), )",-1,150425725,150056652,150425096,150054998,166599983,1.0372358561405135,1.1487627930661461,1.1515882414862888,1.1487675965983761,1.1516009350118415,5.997046009852225,17.407346762848366,"(7.26720306709632,3.0430699867830926,6.838955492764744,)","(19,12,17,)","(5.9258067239341876e-06,5.78692062884198e-07,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,3,0,2,), )",-1,170187873,150054735,170187873,150054735,166599983,1.0372358561405135,1.0153689152693035,1.151602953415632,1.0153689152693035,1.151602953415632,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,), (3,2,), )",-1,172442970,150054824,172443032,150059205,166599983,1.0372358561405135,1.0020905810193363,1.1516022703808575,1.0020902207286635,1.151568649187499,6.062021149647032,17.407346762848366,"(4.533815154174166,7.26720306709632,6.223533188658822,)","(28,19,15,)","(2.314768251536792e-06,5.9258067239341876e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,3,2,0,), )",-1,169685045,150054998,169685045,150054998,166599983,1.0372358561405135,1.018377759807884,1.1516009350118415,1.018377759807884,1.1516009350118415,6.7602204502296654,17.407346762848366,"(6.7602204502296654,)","(30,)","(1.4814516809835469e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,), (0,3,1,), )",-1,168197767,150056005,168197757,150056315,166599983,1.0372358561405135,1.0273827000331104,1.1515932068163484,1.0273827611149415,1.151590827750235,6.515434113720151,17.407346762848366,"(7.767062563617094,6.098224630421169,)","(12,22,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (3,1,2,), )",-1,171689932,150054799,171689992,150055982,166599983,1.0372358561405135,1.0064857850837754,1.1516024622444765,1.0064854333501279,1.151593383328097,6.2589104958688,17.407346762848366,"(4.533815154174166,6.833942276433679,)","(28,22,)","(2.314768251536792e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (2,), (0,3,), )",-1,168233304,150055876,168233628,150058462,166599983,1.0372358561405135,1.027165679394848,1.1515941968177241,1.0271637011834518,1.1515743510685856,6.097503764857313,17.407346762848366,"(7.26720306709632,7.767062563617094,4.6778747143579205,)","(19,12,15,)","(5.9258067239341876e-06,5.9258067239341876e-06,1.3425655858913394e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,1,), (2,0,), )",-1,172774544,150056830,172774533,150055758,166599983,1.0372358561405135,1.0001674552241908,1.1515868754524536,1.0001675189016428,1.1515951024018685,6.411776197448152,17.407346762848366,"(5.98459690213156,6.838955492764744,)","(15,17,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (1,3,2,), )",-1,172043432,150054039,172046588,150059205,166599983,1.0372358561405135,1.0044177449331515,1.1516082949290023,1.0043993200260386,1.151568649187499,6.2589104958688,17.407346762848366,"(4.533815154174166,6.833942276433679,)","(28,22,)","(2.314768251536792e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,), (2,), (3,), )",-1,149425842,150054733,149427729,150056463,166599983,1.0372358561405135,1.1564497391287913,1.1516029687647373,1.1564351352753277,1.1515896919414927,5.93679580015892,17.407346762848366,"(6.468525325117746,7.767062563617094,3.0430699867830926,)","(38,12,12,)","(2.9629033619670938e-06,5.9258067239341876e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,1,), (0,2,), )",-1,172774544,150054911,172774533,150052301,166599983,1.0372358561405135,1.0001674552241908,1.1516016026959623,1.0001675189016428,1.1516216335796143,6.411776197448152,17.407346762848366,"(5.98459690213156,6.838955492764744,)","(15,17,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,0,), (1,), (3,), )",-1,150425725,150056652,150424326,150055409,166599983,1.0372358561405135,1.1487627930661461,1.1515882414862888,1.1487734769707394,1.1515977807904278,5.997046009852225,17.407346762848366,"(6.838955492764744,7.26720306709632,3.0430699867830926,)","(17,19,12,)","(2.9629033619670938e-06,5.9258067239341876e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (2,), (3,1,), )",-1,172403463,150054822,172405868,150059202,166599983,1.0372358561405135,1.0023202144147185,1.1516022857299448,1.0023062324073564,1.1515686722097855,6.067517880513595,17.407346762848366,"(4.533815154174166,7.767062563617094,5.98459690213156,)","(28,12,15,)","(2.314768251536792e-06,5.9258067239341876e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,), (3,2,), )",-1,171814168,150054913,171814260,150059205,166599983,1.0372358561405135,1.0057580117607066,1.1516015873468934,1.0057574732155528,1.151568649187499,6.346029256888284,17.407346762848366,"(6.468525325117746,6.223533188658822,)","(38,15,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
