dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-based fastlz compressed size (B),standard fastlz compressed size (B),standard fastlz compression ratio,decomposed fastlz compression ratio,decomposed row-ordered fastlz compression ratio,reordered fastlz compression ratio,reordered row-based fastlz compression ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_store_f32,276515948,4,69128987,"( (1,), (0,3,), (2,), )",-1,258928411,239555643,258928197,239560002,248300992,1.1136320711920473,1.06792432291256,1.1542869311577852,1.0679252055348765,1.1542659279156293,5.726665077378435,16.143733431754548,"(6.496374715923572,4.563840808000893,7.282603977588382,)","(22,9,17,)","(3.703222209809034e-06,4.990670556187956e-07,3.703222209809034e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (0,2,3,), )",-1,257228666,239560561,257228477,239558102,248300992,1.1136320711920473,1.0749810753984939,1.1542632345062842,1.0749818652465917,1.154275082710415,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,), (1,2,0,), )",-1,226126485,239560426,226125841,239561113,248300992,1.1136320711920473,1.2228375106082774,1.1542638849707172,1.222840993214924,1.1542605748371189,5.748979459390978,16.143733431754548,"(3.2679464116927917,6.575990475290374,)","(17,16,)","(3.47177082169597e-07,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,0,2,), (3,), )",-1,224521033,239561667,224517388,239558102,248300992,1.1136320711920473,1.2315814884033605,1.1542579055437947,1.2316014829105353,1.154275082710415,5.748979459390978,16.143733431754548,"(6.575990475290374,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (1,0,), (3,2,), )",-1,260096781,239561653,260096859,239560002,248300992,1.1136320711920473,1.063127144199451,1.1542579729987086,1.063126825380079,1.1542659279156293,5.94240141669565,16.143733431754548,"(5.860843546947013,6.023959286444287,)","(44,9,)","(1.851611104904517e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,3,), (2,), )",-1,240502423,239554732,240502535,239554819,248300992,1.1136320711920473,1.149742878058239,1.1542913207825927,1.1497423426326878,1.1542909015743907,6.09007972234423,16.143733431754548,"(5.692571637262845,7.282603977588382,)","(14,17,)","(1.234407403269678e-06,3.703222209809034e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (2,1,0,), (3,), )",-1,220172280,239560321,220169379,239557867,248300992,1.1136320711920473,1.2559071832294237,1.1542643908880053,1.2559237313377716,1.1542762150240717,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(16,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (2,), (1,3,), )",-1,267174478,239557280,267175808,239559843,248300992,1.1136320711920473,1.0349639309485241,1.1542790434087413,1.034958778902617,1.1542666940218358,5.7019589358853455,16.143733431754548,"(4.264900639053485,7.282603977588382,5.630165563449759,)","(24,17,9,)","(7.23285587853327e-07,3.703222209809034e-06,1.851611104904517e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (1,), (0,3,2,), )",-1,257490951,239555693,257490623,239560002,248300992,1.1136320711920473,1.0738860799811174,1.1542866902353266,1.0738874479324243,1.1542659279156293,6.160911060848515,16.143733431754548,"(6.496374715923572,6.0490898424901625,)","(22,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (3,0,1,), (2,), )",-1,240471142,239561673,240471254,239561654,248300992,1.1136320711920473,1.1498924390686347,1.1542578766345484,1.149891903503776,1.1542579681805003,6.090079722344228,16.143733431754548,"(5.692571637262844,7.282603977588382,)","(14,17,)","(1.234407403269678e-06,3.703222209809034e-06,)"
tpcds_store_f32,276515948,4,69128987,"( (0,), (1,2,), (3,), )",-1,238097021,239561912,238093294,239558331,248300992,1.1136320711920473,1.1613582851168893,1.1542567250840776,1.1613764644711078,1.154273979309031,5.402092940662175,16.143733431754548,"(4.264900639053485,7.037762355951213,3.2679464116927917,)","(24,11,17,)","(7.23285587853327e-07,1.851611104904517e-06,3.47177082169597e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (2,), (1,0,3,), )",-1,240765507,239559915,240765183,239557867,248300992,1.1136320711920473,1.1484865562574127,1.1542663471056918,1.1484881017867106,1.1542762150240717,6.09007972234423,16.143733431754548,"(7.282603977588382,5.692571637262846,)","(17,14,)","(3.703222209809034e-06,1.234407403269678e-06,)"
