dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,), (0,3,), (2,), )",-1,70623252,56464632,70625635,56463674,71511324,1.31841670278682,1.3349955054462799,1.6697483125365982,1.3349504609763863,1.6697766425897118,6.14227576101392,18.49633411327401,"(6.751662226465114,5.550481568227612,6.7164776811353395,)","(1695665,23017,1695665,)","(1.0861065714072008e-05,5.430532857036004e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,3,), )",-1,71495486,56461533,71497851,56471031,71511324,1.31841670278682,1.3187087643547175,1.6698399598891513,1.3186651442153134,1.6695591054464722,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,), (1,2,0,), )",-1,57033419,56468127,57034034,56472490,71511324,1.31841670278682,1.653096125974843,1.6696449662656598,1.653078300581018,1.669515971404838,5.835959644252597,18.49633411327401,"(3.107139554918616,6.745566340697257,)","(11508,5086995,)","(2.757692466463596e-06,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,2,), (3,), )",-1,57006645,56471982,57005713,56471031,71511324,1.31841670278682,1.653872526615099,1.6695309897215933,1.6538995661715519,1.6695591054464722,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (3,2,), )",-1,67043574,56468021,67045287,56463674,71511324,1.31841670278682,1.4062753277443114,1.6696481004708843,1.4062393975582503,1.6697766425897118,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,3,), (2,), )",-1,70695868,56462756,70697212,56464075,71511324,1.31841670278682,1.333624250854378,1.6698037906615824,1.3335988977896327,1.6697647840684542,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,), (3,), )",-1,57032746,56469335,57031813,56468397,71511324,1.31841670278682,1.6531156329032448,1.6696092489844268,1.6531426767022117,1.669636982965888,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (2,), (1,3,), )",-1,70615780,56464632,70614413,56468195,71511324,1.31841670278682,1.3351367640490552,1.6697483125365982,1.3351626104999272,1.669642955649636,6.142296787822806,18.49633411327401,"(6.751501567256424,6.7164776811353395,5.550603951449731,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,3,2,), )",-1,71552946,56467798,71555218,56463674,71511324,1.31841670278682,1.3176497862156507,1.6696546941674617,1.317607948591534,1.6697766425897118,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,), (2,), )",-1,70769604,56469942,70770945,56471272,71511324,1.31841670278682,1.332234726083814,1.669591302218798,1.332209482295312,1.669551980341438,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,), (3,), )",-1,57103776,56467991,57101312,56471432,71511324,1.31841670278682,1.651059362519214,1.6696489875122351,1.6511306079972383,1.6695472500148394,5.834872172643815,18.49633411327401,"(6.751501567256424,6.740423784200108,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,), (1,0,3,), )",-1,70700001,56462355,70697711,56468397,71511324,1.31841670278682,1.3335462894830794,1.669815649736891,1.3335894849551777,1.669636982965888,6.248799998494674,18.49633411327401,"(6.7164776811353395,6.092907437614452,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (2,3,0,), )",-1,71587264,56464750,71586489,56461653,71511324,1.31841670278682,1.3170181221061892,1.6697448230975962,1.3170323802302975,1.6698364109176895,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,), (3,0,), )",-1,71370344,56469218,71373672,56462863,71511324,1.31841670278682,1.3210210111919876,1.669612708290028,1.3209594148385697,1.6698006262983867,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (2,3,0,1,), )",-1,71629462,56465163,71629462,56465163,71511324,1.31841670278682,1.3162422468006252,1.6697326101759415,1.3162422468006252,1.6697326101759415,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,3,), )",-1,71486890,56461533,71485454,56471432,71511324,1.31841670278682,1.318867333576828,1.6698399598891513,1.3188938269875154,1.6695472500148394,6.252722334798021,18.49633411327401,"(6.751501567256424,6.08646259064522,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,2,0,), )",-1,71633610,56472490,71633610,56472490,71511324,1.31841670278682,1.316166028767781,1.669515971404838,1.316166028767781,1.669515971404838,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
