dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-based snappy compressed size (B),standard snappy compressed size (B),standard snappy compression ratio,decomposed snappy compression ratio,decomposed row-ordered snappy compression ratio,reordered snappy compression ratio,reordered row-based snappy compression ratio,WE,entropy word,entropy list,max rep,unique ratio
spitzer_irac_f32,164989532,4,41247383,"( (1,), (0,3,), (2,), )",-1,134814836,123223806,134816267,123226478,134770358,1.224227155351179,1.223823259333268,1.3389420222907251,1.2238102691272412,1.3389129891385843,6.533038304525538,24.994043660228744,"(7.134041878424723,5.943480715205155,7.111149909267116,)","(618788,6,618788,)","(6.206454358571064e-06,3.103227179285532e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,), (0,2,3,), )",-1,134793216,123226554,134792211,123221318,134770358,1.224227155351179,1.2240195530315117,1.3389121633637504,1.2240286792239057,1.338969057286013,6.778277138262714,24.994043660228744,"(7.134041878424723,6.659688891542045,)","(618788,5,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,), (1,2,0,), )",-1,123151035,123221998,123150980,123222528,134770358,1.224227155351179,1.3397332145848388,1.338961668191746,1.3397338129180945,1.3389559091012968,6.213326325380182,24.994043660228744,"(2.9818671027866155,7.290479399578038,)","(618788,4,)","(9.94002455864897e-07,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,0,2,), (3,), )",-1,123150415,123222432,123149301,123221318,134770358,1.224227155351179,1.3397399594633927,1.3389569522536287,1.3397520786577586,1.338969057286013,6.213326325380182,24.994043660228744,"(7.290479399578038,2.9818671027866155,)","(5,618788,)","(2.068818119523688e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,0,), (3,2,), )",-1,134752061,123222261,134752736,123226478,134770358,1.224227155351179,1.2243933842318004,1.338958810372746,1.2243872510314002,1.3389129891385843,6.534527042993837,24.994043660228744,"(7.133140549288576,5.935913536699098,)","(1237576,7,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,3,), (2,), )",-1,134791229,123226624,134791278,123226673,134770358,1.224227155351179,1.2240375966896184,1.3389114027825675,1.224037151721345,1.3389108703762538,6.687051464900575,24.994043660228744,"(6.545685316778395,7.111149909267116,)","(5,618788,)","(2.068818119523688e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,1,0,), (3,), )",-1,123150202,123222068,123149088,123220954,134770358,1.224227155351179,1.3397422766712148,1.338960907554319,1.3397543959075036,1.3389730126582204,6.213326325380182,24.994043660228744,"(7.290479399578038,2.9818671027866155,)","(4,618788,)","(2.068818119523688e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,), (2,), (1,3,), )",-1,134813881,123223806,134815020,123221032,134770358,1.224227155351179,1.2238319287017634,1.3389420222907251,1.2238215890187902,1.3389721650764943,6.532899836777961,24.994043660228744,"(7.132168098358317,7.111149909267116,5.944140669743206,)","(618788,618788,5,)","(6.206454358571064e-06,6.206454358571064e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,), (0,3,2,), )",-1,134792142,123223684,134792817,123226478,134770358,1.224227155351179,1.2240293058033012,1.338943347936262,1.2240231762498146,1.3389129891385843,6.778277138262714,24.994043660228744,"(7.134041878424723,6.659688891542045,)","(618788,5,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,0,1,), (2,), )",-1,134791664,123222021,134791713,123222070,134770358,1.224227155351179,1.2240336464723813,1.3389614182679246,1.22403320150698,1.3389608858218338,6.687051464900575,24.994043660228744,"(6.545685316778395,7.111149909267116,)","(5,618788,)","(2.068818119523688e-06,6.206454358571064e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,), (1,2,), (3,), )",-1,123176444,123222679,123178335,123221513,134770358,1.224227155351179,1.3394568526430264,1.3389542683128972,1.3394362896689584,1.3389669383462286,6.179855711491638,24.994043660228744,"(7.132168098358317,7.302693822410809,2.9818671027866155,)","(618788,4,618788,)","(6.206454358571064e-06,3.103227179285532e-06,9.94002455864897e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,), (1,0,3,), )",-1,134791017,123226429,134790763,123220954,134770358,1.224227155351179,1.2240395218622024,1.338913521546583,1.2240418284448764,1.3389730126582204,6.687051464900576,24.994043660228744,"(7.111149909267116,6.545685316778396,)","(618788,5,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,), (2,3,0,), )",-1,134793401,123223125,134792636,123226450,134770358,1.224227155351179,1.2240178731004792,1.3389494220342164,1.2240248198722072,1.3389132933716748,6.778277138262714,24.994043660228744,"(7.134041878424723,6.659688891542045,)","(618788,4,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,1,), (3,0,), )",-1,134768454,123222341,134768725,123226525,134770358,1.224227155351179,1.224244451153235,1.3389579410766104,1.2242419893784704,1.338912478461922,6.623087268807982,24.994043660228744,"(7.302693822410809,5.943480715205155,)","(4,6,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (2,3,0,1,), )",-1,134768539,123223366,134768539,123223366,134770358,1.224227155351179,1.224243679008793,1.3389468033197536,1.224243679008793,1.3389468033197536,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(5,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,), (1,2,3,), )",-1,134790288,123226554,134790836,123221513,134770358,1.224227155351179,1.2240461419594266,1.3389121633637504,1.2240411655284933,1.3389669383462286,6.778286039589073,24.994043660228744,"(7.132168098358317,6.6603253533326585,)","(618788,5,)","(6.206454358571064e-06,2.068818119523688e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,1,2,0,), )",-1,134770330,123222528,134770330,123222528,134770358,1.224227155351179,1.2242274096976686,1.3389559091012968,1.2242274096976686,1.3389559091012968,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(4,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,3,), (2,0,), )",-1,134767475,123223393,134767967,123223580,134770358,1.224227155351179,1.2242533445106099,1.3389465099374434,1.2242488751054619,1.338944477996825,6.62282963579422,24.994043660228744,"(5.944140669743206,7.301518601845235,)","(5,4,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (3,0,1,2,), )",-1,134769823,123222070,134769823,123222070,134770358,1.224227155351179,1.2242320152041752,1.3389608858218338,1.2242320152041752,1.3389608858218338,6.906106176376587,24.994043660228744,"(6.906106176376587,)","(4,)","(1.551613589642766e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (1,2,), (3,0,), )",-1,134769286,123222266,134769558,123226450,134770358,1.224227155351179,1.2242368932636476,1.3389587560417044,1.2242344224353692,1.3389132933716748,6.623087268807982,24.994043660228744,"(7.302693822410809,5.943480715205155,)","(4,6,)","(3.103227179285532e-06,3.103227179285532e-06,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,), (1,), (2,), (3,), )",-1,123222972,123222972,123221513,123221513,134770358,1.224227155351179,1.338951084542905,1.338951084542905,1.3389669383462286,1.3389669383462286,6.0898067472091935,24.994043660228744,"(7.132168098358317,7.134041878424723,7.111149909267116,2.9818671027866155,)","(618788,618788,618788,618788,)","(6.206454358571064e-06,6.206454358571064e-06,6.206454358571064e-06,9.94002455864897e-07,)"
