dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,), (2,), )",-1,197691665,194601679,197697376,194629599,244425506,3.45076339128045,4.266515677330149,4.3342616175475035,4.266392427990547,4.3336398591665395,2.9359018810845523,9.339189132243394,"(-0.0,1.9946190171562126,7.754369490025784,)","(210863647,39,31,)","(4.742401140391923e-09,2.1340805131763654e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,2,3,), )",-1,228694090,195148020,228691195,195130824,244425506,3.45076339128045,3.688134608113397,4.322127316485199,3.6881812961797675,4.322508206084345,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,), (1,2,0,), )",-1,227119584,194621783,227126782,194611737,244425506,3.45076339128045,3.7137025929036573,4.333813897902682,3.713584899908457,4.334037612541324,3.1035945246459185,9.339189132243394,"(1.9893087482133431,3.4750231167901102,)","(4367,62,)","(4.268161026352731e-08,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,2,), (3,), )",-1,227114562,194611743,227360391,195130824,244425506,3.45076339128045,3.7137847109953257,4.334037478920273,3.7097692535196245,4.322508206084345,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,), (3,2,), )",-1,214315855,194622074,214317570,194629599,244425506,3.45076339128045,3.9355678468118938,4.333807417960205,3.935536353832306,4.3336398591665395,2.9040514865355673,9.339189132243394,"(-0.0,5.808102973071135,)","(421727294,39,)","(2.3712005701959617e-09,5.785729391278147e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,1,3,), (2,), )",-1,200672739,194612798,200689533,194629599,244425506,3.45076339128045,4.203134876232491,4.334013984013528,4.2027831516255505,4.3336398591665395,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,0,), (3,), )",-1,227124575,194609113,227370410,195204440,244425506,3.45076339128045,3.713620985311695,4.33409605027078,3.7096057837957015,4.320878090682774,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (2,), (1,3,), )",-1,197691665,194601679,198055815,195217110,244425506,3.45076339128045,4.266515677330149,4.3342616175475035,4.2586711629749425,4.320597656629586,2.9359018810845523,9.339189132243394,"(-0.0,7.754369490025784,1.9946190171562126,)","(210863647,31,39,)","(4.742401140391923e-09,1.1571458782556293e-06,2.1340805131763654e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,2,), )",-1,229410953,194604686,229414837,194629599,244425506,3.45076339128045,3.6766099306513933,4.334194645240968,3.6765476855361365,4.3336398591665395,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,59,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,0,1,), (2,), )",-1,200674801,194609112,200691595,194625547,244425506,3.45076339128045,4.203091687630477,4.334096072541557,4.20273997025137,4.333730083235167,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
