dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,decomposition_canonical
acs_wht_f32,224999996,4,56249999,"( (0,1,), (2,), (3,), )",-1,142435171,142479504,142434427,142478739,164407756,1.36854854949787,1.57966599415253,1.57917447550912,1.57967424546876,1.57918295444768,5.64734413961345,20.1330116816552,"(7.412622620985942,6.543164177817545,1.2209671386643668,)","(825504,412752,412752,)","((0,1),(2),(3))"
citytemp_f32,11625300,4,2906325,"( (0,1,), (2,), (3,), )",-1,3891676,4860595,3894393,4863681,4360713,2.66591724793629,2.98722195784027,2.39174422061497,2.98513786359004,2.39022666165811,3.38670437590587,9.42903568098595,"(2.7059092775622076,7.4892188191275215,0.645780129371529,)","(6004,3002,5505,)","((0,1),(2),(3))"
hdr_night_f32,496979108,4,124244777,"( (0,1,), (2,), (3,), )",-1,136301970,136301982,136295685,136295692,174896113,2.84156748526481,3.64616232619382,3.6461620051864,3.64633046159899,3.64633027432738,2.3981145648042,9.00313322899195,"(2.3607676485055284e-07,7.336024764090699,2.25643302297257,)","(248489552,59,1105,)","((0,1),(2),(3))"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,2,), (3,), )",-1,12048091,11959847,12047894,11967470,13543786,1.7731606214097,1.99328740129868,2.0079945838772,1.99331999434922,2.0067155380377,4.91621978153969,15.0417856625863,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","((0,1,2),(3))"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,), (2,), (3,), )",-1,56343911,56372859,56342572,56371510,62023430,1.7561872344048,1.93321255246197,1.93221982940408,1.93325849590253,1.93226606844486,5.04277277247618,15.610157432141,"(5.873658118792151,5.848377653907704,2.5753971984127237,)","(4222826,2111413,2111413,)","((0,1),(2),(3))"
jw_mirimage_f32,169082876,4,42270719,"( (0,1,2,), (3,), )",-1,128783171,89397638,128822160,89434280,147341410,1.1475584223064,1.31292679538074,1.89135730856782,1.31252942816671,1.89058240307855,6.65944987128527,23.1636153347968,"(7.9895721521785426,2.6690830286054634,)","(69,1023,)","((0,1,2),(3))"
rsim_f32,94281724,4,23570431,"( (0,1,2,), (3,), )",-1,52219269,49929422,52219357,49929460,63568746,1.48314588429981,1.8054968176594,1.88829992864728,1.80549377503825,1.88829849151182,5.8359596442526,18.496334113274,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","((0,1,2),(3))"
solar_wind_f32,423980532,4,105995133,"( (0,1,), (2,), (3,), )",-1,248144847,266601140,248161050,266648059,294448600,1.43991356046522,1.70860099303211,1.59031777583547,1.70848943458291,1.59003794586031,5.80188417117952,14.055260454264,"(5.902882292764738,7.910063979760233,3.4917081194283854,)","(11,4,12,)","((0,1),(2),(3))"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,2,), (3,), )",-1,113664636,113737725,113663917,113737014,123813189,1.33256830982683,1.45154674141569,1.45061396295732,1.45155592341587,1.45062303112688,6.21332632538018,24.9940436602287,"(7.290479399578038,2.9818671027866155,)","(5,618788,)","((0,1,2),(3))"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,3,), (2,), )",-1,419191632,462796290,419193495,462797019,396758093,2.41904785039886,2.28958962615933,2.07386453335657,2.2895794506544,2.07386126659558,4.90032084330601,8.87497862477732,"(4.751173172012705,5.34776385718591,)","(8,6,)","((0,1,3),(2))"
