Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k,config
acs_wht_f32,All_Features,Silhouette,0.6880880273802685,1.5359397826411745,2,"(1,2,3)|(4)"
acs_wht_f32,All_Features,DaviesBouldin,0.0002261595179677,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,CalinskiHarabasz,125167781.94853376,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,GapStatistic,7.430492364452855,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,Silhouette,0.6740516413529783,1.5359397826411745,2,"(1,2,3)|(4)"
acs_wht_f32,Entropy,DaviesBouldin,1.3668641664842917e-05,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,CalinskiHarabasz,23993192029.86124,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,GapStatistic,9.382865340709769,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,Silhouette,0.7348852208925825,1.5359397826411745,2,"(1,2,3)|(4)"
acs_wht_f32,Frequency,DaviesBouldin,0.0001165643755904,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,CalinskiHarabasz,6993816621.464493,1.6212078543240551,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,GapStatistic,8.758652655906376,1.6212078543240551,3,"(1,2)|(3)|(4)"
citytemp_f32,All_Features,Silhouette,0.5866650373030267,3.624036538061676,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,DaviesBouldin,5.215128814940711e-09,3.597492435406198,3,"(1,2)|(4)|(3)"
citytemp_f32,All_Features,CalinskiHarabasz,19.851695599225927,3.624036538061676,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,GapStatistic,0.6234734872680598,3.624036538061676,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,Silhouette,0.6079481102063932,3.624036538061676,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,DaviesBouldin,0.0,3.597492435406198,3,"(1,2)|(4)|(3)"
citytemp_f32,Entropy,CalinskiHarabasz,26.36034355886651,3.624036538061676,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,GapStatistic,-0.1417686121388171,3.624036538061676,2,"(1,2,4)|(3)"
citytemp_f32,Frequency,Silhouette,0.5,3.597492435406198,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,DaviesBouldin,0.0,3.597492435406198,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,CalinskiHarabasz,5.021221021951019,3.8165541209335054,2,"(1,2,3)|(4)"
citytemp_f32,Frequency,GapStatistic,-0.5962512601975352,3.8165541209335054,2,"(1,2,3)|(4)"
hdr_night_f32,All_Features,Silhouette,0.5585306221359434,3.81175756046528,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,DaviesBouldin,2.4484104051439586e-08,3.847245665452416,3,"(1,2)|(4)|(3)"
hdr_night_f32,All_Features,CalinskiHarabasz,18.513677749716823,3.81175756046528,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,GapStatistic,0.3989850048266526,3.81175756046528,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,Silhouette,0.5620505278625185,3.81175756046528,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,DaviesBouldin,0.0,3.847245665452416,3,"(1,2)|(4)|(3)"
hdr_night_f32,Entropy,CalinskiHarabasz,19.155855841099505,3.81175756046528,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,GapStatistic,-0.3194564654374777,3.81175756046528,2,"(1,2,4)|(3)"
hdr_night_f32,Frequency,Silhouette,0.6796382344232144,4.137195949623152,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,DaviesBouldin,0.0,3.847245665452416,3,"(1,2)|(3)|(4)"
hdr_night_f32,Frequency,CalinskiHarabasz,11.657802508924233,4.137195949623152,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,GapStatistic,-0.6715069662688897,4.137195949623152,2,"(1,2)|(3,4)"
hst_wfc3_ir_f32,All_Features,Silhouette,0.736087602239918,2.006660706784932,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,All_Features,DaviesBouldin,0.000736262785029,2.1127449518456123,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,CalinskiHarabasz,206384252.1700691,2.1127449518456123,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,GapStatistic,7.867882226882244,2.1127449518456123,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,Silhouette,0.7348385768641055,2.006660706784932,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Entropy,DaviesBouldin,0.0008120158945989,2.1127449518456123,3,"(1,2)|(3)|(4)"
