Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
hst_wfc3_ir_f32,Entropy,2,0.7348385768641055,0.01339024876622074,2478.7818891918114,2.084374925722984,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,Entropy,3,0.4987998734290173,0.0008120158945989587,143534528.90864387,6.514092368686445,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
hst_wfc3_ir_f32,Entropy_Mean,2,0.7295278388711313,0.018050434740602812,1364.0837672201803,1.8450578072907402,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,Entropy_Mean,3,0.499077568762219,0.000627274557759431,133791935.36728857,7.01210783635095,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
hst_wfc3_ir_f32,Entropy_Std,2,0.7437825421281966,0.005513849137443328,14617.84503251234,2.668821418299652,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,Entropy_Std,3,0.49567499719420505,0.002901240724526208,65137240.40154636,6.34765497519744,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
hst_wfc3_ir_f32,Entropy_Max,2,0.7411652430031557,0.007821830392229626,7264.394597784915,2.5187156360641403,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,Entropy_Max,3,0.4990142295768194,0.0006629286689316286,623143809.2508686,7.569070308004745,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
hst_wfc3_ir_f32,Entropy_Min,2,0.6903753742618666,0.0515049594447436,167.52237772109055,0.907330966145691,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,Entropy_Min,3,0.49402202329090394,0.004207500593950344,395379.72530796874,3.8834596021988883,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
hst_wfc3_ir_f32,Frequency,2,0.7488730538958412,0.0009678720401253716,472671.71310602856,4.770836762142981,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,Frequency,3,0.464639557432306,0.023569881145879754,31699383.14061313,6.298482948877067,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
hst_wfc3_ir_f32,All_Features,2,0.736087602239918,0.012300523537014742,2937.4410593610028,2.735660138539597,"(1,2,3)|(4)",bz2,13622079,1.7629696612389343,11967799,2.0066607067849316,11395944,2.1073560909039215
hst_wfc3_ir_f32,All_Features,3,0.4989105567077067,0.000736262785029061,206384252.1700691,7.867882226882244,"(1,2)|(3)|(4)",bz2,13622079,1.7629696612389343,11366877,2.1127449518456123,11377756,2.1107248213092284
hst_wfc3_ir_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),bz2,13622079,1.7629696612389343,11378147,2.11065228810983,11378147,2.11065228810983
