Dataset,FeatureScenario,Metric,BestMetricValue,DecomposedRatio,k,config
acs_wht_f32,All_Features,Silhouette,0.6880880273802685,1.4476379322933175,2,"(1,2,3)|(4)"
acs_wht_f32,All_Features,DaviesBouldin,0.0002261595179677,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,CalinskiHarabasz,125167781.94853376,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,All_Features,GapStatistic,7.474309212689567,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,Silhouette,0.6740516413529783,1.4476379322933175,2,"(1,2,3)|(4)"
acs_wht_f32,Entropy,DaviesBouldin,1.3668641664842917e-05,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,CalinskiHarabasz,23993192029.86124,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,Entropy,GapStatistic,9.0840333334631,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,Silhouette,0.7348852208925825,1.4476379322933175,2,"(1,2,3)|(4)"
acs_wht_f32,Frequency,DaviesBouldin,0.0001165643755904,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,CalinskiHarabasz,6993816621.464493,1.4471729765338008,3,"(1,2)|(3)|(4)"
acs_wht_f32,Frequency,GapStatistic,8.795284887196,1.4471729765338008,3,"(1,2)|(3)|(4)"
citytemp_f32,All_Features,Silhouette,0.5866650373030267,1.7424089909250218,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,DaviesBouldin,5.215128814940711e-09,2.0120170960732517,3,"(1,2)|(4)|(3)"
citytemp_f32,All_Features,CalinskiHarabasz,19.851695599225927,1.7424089909250218,2,"(1,2,4)|(3)"
citytemp_f32,All_Features,GapStatistic,0.4285773836146129,1.7424089909250218,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,Silhouette,0.6079481102063932,1.7424089909250218,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,DaviesBouldin,0.0,2.0120170960732517,3,"(1,2)|(4)|(3)"
citytemp_f32,Entropy,CalinskiHarabasz,26.36034355886651,1.7424089909250218,2,"(1,2,4)|(3)"
citytemp_f32,Entropy,GapStatistic,-0.1883118865682478,1.7424089909250218,2,"(1,2,4)|(3)"
citytemp_f32,Frequency,Silhouette,0.5,2.0120170960732517,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,DaviesBouldin,0.0,2.0120170960732517,3,"(1,2)|(3)|(4)"
citytemp_f32,Frequency,CalinskiHarabasz,5.021221021951019,1.7665229780260925,2,"(1,2,3)|(4)"
citytemp_f32,Frequency,GapStatistic,-0.5914161754022906,1.7665229780260925,2,"(1,2,3)|(4)"
hdr_night_f32,All_Features,Silhouette,0.5585306221359434,2.4176811941165623,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,DaviesBouldin,2.4484104051439586e-08,2.9663928009962484,3,"(1,2)|(4)|(3)"
hdr_night_f32,All_Features,CalinskiHarabasz,18.513677749716823,2.4176811941165623,2,"(1,2,4)|(3)"
hdr_night_f32,All_Features,GapStatistic,0.4834309277890171,2.4176811941165623,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,Silhouette,0.5620505278625185,2.4176811941165623,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,DaviesBouldin,0.0,2.9663928009962484,3,"(1,2)|(4)|(3)"
hdr_night_f32,Entropy,CalinskiHarabasz,19.155855841099505,2.4176811941165623,2,"(1,2,4)|(3)"
hdr_night_f32,Entropy,GapStatistic,-0.2039321555846008,2.4176811941165623,2,"(1,2,4)|(3)"
hdr_night_f32,Frequency,Silhouette,0.6796382344232144,2.1820371977899646,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,DaviesBouldin,0.0,2.9663928009962484,3,"(1,2)|(3)|(4)"
hdr_night_f32,Frequency,CalinskiHarabasz,11.657802508924233,2.1820371977899646,2,"(1,2)|(3,4)"
hdr_night_f32,Frequency,GapStatistic,-1.1924118780618258,2.1820371977899646,2,"(1,2)|(3,4)"
hdr_palermo_f32,All_Features,Silhouette,0.6075893269414269,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,All_Features,DaviesBouldin,1.4571707693494694e-08,3.65472850506715,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,All_Features,CalinskiHarabasz,31.47090996616987,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,All_Features,GapStatistic,0.5226197455168218,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,Entropy,Silhouette,0.5995991772990421,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,Entropy,DaviesBouldin,0.0,3.65472850506715,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,Entropy,CalinskiHarabasz,28.590763686124514,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,Entropy,GapStatistic,0.1306337355447124,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,Frequency,Silhouette,0.5,3.65472850506715,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,Frequency,DaviesBouldin,0.0,3.65472850506715,3,"(1,2)|(4)|(3)"
hdr_palermo_f32,Frequency,CalinskiHarabasz,6.725982702332835,3.423581563936068,2,"(1,2,4)|(3)"
hdr_palermo_f32,Frequency,GapStatistic,-0.6317688622499888,3.423581563936068,2,"(1,2,4)|(3)"
hst_wfc3_ir_f32,All_Features,Silhouette,0.736087602239918,1.9362939742250087,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,All_Features,DaviesBouldin,0.000736262785029,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,CalinskiHarabasz,206384252.1700691,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,All_Features,GapStatistic,7.880017214392822,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,Silhouette,0.7348385768641055,1.9362939742250087,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Entropy,DaviesBouldin,0.0008120158945989,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,CalinskiHarabasz,143534528.90864387,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Entropy,GapStatistic,7.05309011985037,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Frequency,Silhouette,0.7488730538958412,1.9362939742250087,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Frequency,DaviesBouldin,0.0009678720401253,1.9362939742250087,2,"(1,2,3)|(4)"
hst_wfc3_ir_f32,Frequency,CalinskiHarabasz,31699383.14061313,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_ir_f32,Frequency,GapStatistic,6.315636606906921,1.9332812109565185,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,Silhouette,0.7463030977042612,1.8055794808141528,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,All_Features,DaviesBouldin,0.00186364452213,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,CalinskiHarabasz,445708740.8614673,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,All_Features,GapStatistic,8.286455119859465,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,Silhouette,0.7461443879264001,1.8055794808141528,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Entropy,DaviesBouldin,0.0015529044536189,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,CalinskiHarabasz,589873072.0644331,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Entropy,GapStatistic,8.077346622043024,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,Silhouette,0.7442968317379707,1.8055794808141528,2,"(1,2,3)|(4)"
hst_wfc3_uvis_f32,Frequency,DaviesBouldin,0.0047441867804294,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,CalinskiHarabasz,29301214.4328358,1.8044620182396764,3,"(1,2)|(3)|(4)"
hst_wfc3_uvis_f32,Frequency,GapStatistic,5.799214852533314,1.8044620182396764,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,Silhouette,0.6809902308644162,1.2890625303762775,2,"(1,2,3)|(4)"
jw_mirimage_f32,All_Features,DaviesBouldin,0.0120485770887172,1.2932701959807915,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,CalinskiHarabasz,37215.18206688351,1.2932701959807915,3,"(1,2)|(3)|(4)"
jw_mirimage_f32,All_Features,GapStatistic,3.769500228916869,1.2932701959807915,3,"(1,2)|(3)|(4)"
