Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
hst_wfc3_ir_f32,Entropy,2,0.7348385768641055,0.01339024876622074,2478.7818891918114,2.334285669878504,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,Entropy,3,0.4987998734290173,0.0008120158945989587,143534528.90864387,7.05309011985037,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
hst_wfc3_ir_f32,Entropy_Mean,2,0.7295278388711313,0.018050434740602812,1364.0837672201803,1.7532048059015164,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,Entropy_Mean,3,0.499077568762219,0.000627274557759431,133791935.36728857,6.751041201953361,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
hst_wfc3_ir_f32,Entropy_Std,2,0.7437825421281966,0.005513849137443328,14617.84503251234,3.0926754842289492,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,Entropy_Std,3,0.49567499719420505,0.002901240724526208,65137240.40154636,6.765233320379914,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
hst_wfc3_ir_f32,Entropy_Max,2,0.7411652430031557,0.007821830392229626,7264.394597784915,2.498243898775625,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,Entropy_Max,3,0.4990142295768194,0.0006629286689316286,623143809.2508686,7.349022011235969,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
hst_wfc3_ir_f32,Entropy_Min,2,0.6903753742618666,0.0515049594447436,167.52237772109055,1.1303917102413066,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,Entropy_Min,3,0.49402202329090394,0.004207500593950344,395379.72530796874,4.115737184804556,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
hst_wfc3_ir_f32,Frequency,2,0.7488730538958412,0.0009678720401253716,472671.71310602856,4.540627527568199,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,Frequency,3,0.464639557432306,0.023569881145879754,31699383.14061313,6.315636606906921,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
hst_wfc3_ir_f32,All_Features,2,0.736087602239918,0.012300523537014742,2937.4410593610028,2.6881883668524686,"(1,2,3)|(4)",fastlz,15760762,1.5237405399561266,12402720,1.9362939742250087,12442452,1.9301108816815207
hst_wfc3_ir_f32,All_Features,3,0.4989105567077067,0.000736262785029061,206384252.1700691,7.880017214392822,"(1,2)|(3)|(4)",fastlz,15760762,1.5237405399561266,12422048,1.9332812109565185,12442434,1.9301136739001388
hst_wfc3_ir_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,15760762,1.5237405399561266,12442423,1.930115380259938,12442423,1.930115380259938
ts_gas_f32,Entropy,2,0.7463136098307395,0.002785929833448649,52356.07805454476,3.8547975892649613,"(1,2,3)|(4)",fastlz,180721828,1.7012488386294986,165667454,1.8558430915465147,184582466,1.6656663369098124
