dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),standard blosc compression ratio,decomposed blosc compression ratio,decomposed row-ordered blosc compression ratio,reordered blosc compression ratio,reordered row-based blosc compression ratio,decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),standard blosc_bit compression ratio,decomposed blosc_bit compression ratio,decomposed row-ordered blosc_bit compression ratio,reordered blosc_bit compression ratio,reordered row-based blosc_bit compression ratio,WE,entropy word,entropy list,max rep
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,), (2,), )",-1,153059452,142208196,153053689,142202842,164492669,1.36784208905991,1.4700169970555,1.5821872601492,1.47007234827251,1.58224683020048,154567145,143290986,154553990,143291618,171892948,1.30895419863298,1.45567802264834,1.57023133332337,1.45580192397492,1.57022440768308,6.05719981653611,20.1330116816552,"(7.412636992582531,5.136499047872188,6.543164177817545,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,3,), )",-1,158602085,142205245,158601408,142208130,164492669,1.36784208905991,1.41864462878909,1.58222009321808,1.41865068436215,1.58218799445573,177264753,143291174,177265829,143290761,171892948,1.30895419863298,1.26928784313935,1.57022927315816,1.26928013858779,1.57023379895372,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,), (1,2,0,), )",-1,148930711,142205227,148930349,142208257,164492669,1.36784208905991,1.51076963568649,1.58222029349174,1.51077330786353,1.58218658147255,148015888,143290325,148015201,143289869,171892948,1.30895419863298,1.5201070576964,1.57023857681947,1.52011411314437,1.57024357388449,5.78782335247649,20.1330116816552,"(1.2209671386643668,7.310108757080525,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,2,), (3,), )",-1,148930526,142207803,148930853,142208130,164492669,1.36784208905991,1.51077151234932,1.58219163262089,1.51076819522413,1.58218799445573,148015559,143290151,148016169,143290761,171892948,1.30895419863298,1.5201104364981,1.57024048359053,1.52010417186247,1.57023379895372,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (3,2,), )",-1,149290832,142205306,149289855,142202842,164492669,1.36784208905991,1.50712534042278,1.58221941451327,1.50713520352739,1.58224683020048,152605522,143290631,152604540,143291618,171892948,1.30895419863298,1.47438960957127,1.57023522354368,1.47439909716972,1.57022440768308,6.05632765229652,20.1330116816552,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,3,), (2,), )",-1,157643951,142208622,157638326,142202997,164492669,1.36784208905991,1.42726691746009,1.58218252055069,1.42731784654958,1.58224510556553,178347707,143291229,178347335,143290857,171892948,1.30895419863298,1.26158053716945,1.57022867045128,1.26158316859627,1.57023274695049,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,), (3,), )",-1,148930809,142208604,148931136,142208931,164492669,1.36784208905991,1.51076864156429,1.58218272081484,1.5107653244517,1.58217908269066,148014881,143290380,148015491,143290990,171892948,1.30895419863298,1.52011739954714,1.57023797410545,1.52011113485412,1.57023128949001,5.78782335247649,20.1330116816552,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (2,), (1,3,), )",-1,153060549,142208196,153055641,142205474,164492669,1.36784208905991,1.47000646129918,1.5821872601492,1.47005359965792,1.58221754529646,154566531,143290986,154561711,143291193,171892948,1.30895419863298,1.4556838051829,1.57023133332337,1.45572920061683,1.57022906495028,6.05723204176302,20.1330116816552,"(7.412603678883616,6.543164177817545,5.136580155175457,)","(412752,412752,825504,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,2,), )",-1,158649845,142207640,158651719,142202842,164492669,1.36784208905991,1.41821755955702,1.58219344614678,1.41820080751851,1.58224683020048,177266315,143289680,177266999,143291618,171892948,1.30895419863298,1.2692766586816,1.57024564504576,1.26927176106817,1.57022440768308,6.31432908472876,20.1330116816552,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,), (2,), )",-1,157667377,142208369,157661752,142202744,164492669,1.36784208905991,1.42705485612284,1.58218533537924,1.42710577007923,1.58224792061678,178349303,143291399,178348931,143291027,171892948,1.30895419863298,1.26156924762414,1.57022680754202,1.26157187900386,1.57023088403156,6.20732932291605,20.1330116816552,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (1,2,), (3,), )",-1,146058189,142205137,146059103,142208285,164492669,1.36784208905991,1.54048189656795,1.58222129486082,1.54047225663162,1.58218626994904,147062364,143290641,147061958,143290000,171892948,1.30895419863298,1.52996313863144,1.57023511395975,1.52996736246365,1.57024213832089,5.75477707492077,20.1330116816552,"(7.412603678883616,7.1927687410675505,1.2209671386643668,)","(412752,825504,412752,)"
acs_wht_f32,224999996,4,56249999,"( (2,), (1,0,3,), )",-1,157644039,142208467,157644241,142208931,164492669,1.36784208905991,1.42726612073166,1.58218424504921,1.42726429188111,1.58217908269066,178347595,143291990,178347194,143290990,171892948,1.30895419863298,1.26158132942583,1.57022033122717,1.26158416599478,1.57023128949001,6.20732932291605,20.1330116816552,"(6.543164177817545,6.095384371282217,)","(412752,1238256,)"
