dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),standard zstd compression ratio,decomposed zstd compression ratio,decomposed row-ordered zstd compression ratio,reordered zstd compression ratio,reordered row-based zstd compression ratio,WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,), (0,3,), (2,), )",-1,58710546,49928414,58710671,49928794,63568746,1.4831458842998098,1.6058737385954476,1.8883380513548857,1.605870319554004,1.888323679518476,6.14227576101392,18.49633411327401,"(6.751662226465114,5.550481568227612,6.7164776811353395,)","(1695665,23017,1695665,)","(1.0861065714072008e-05,5.430532857036004e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,3,), )",-1,62711381,49929358,62711577,49929236,63568746,1.4831458842998098,1.5034228635468896,1.8883023490908897,1.5034181647194105,1.888306963078706,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,), (1,2,0,), )",-1,52295211,49929253,52295885,49928926,63568746,1.4831458842998098,1.8028749133453157,1.8883063201446255,1.8028516775268264,1.8883186872475486,5.835959644252597,18.49633411327401,"(3.107139554918616,6.745566340697257,)","(11508,5086995,)","(2.757692466463596e-06,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,2,), (3,), )",-1,52216605,49929198,52216696,49929236,63568746,1.4831458842998098,1.8055889309540518,1.8883084002270576,1.8055857842863132,1.888306963078706,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (3,2,), )",-1,55012659,49929066,55012543,49928794,63568746,1.4831458842998098,1.713818704891178,1.888313392443592,1.7138223186664903,1.888323679518476,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,3,), (2,), )",-1,60319217,49928693,60319607,49929019,63568746,1.4831458842998098,1.5630462179242148,1.8883274993799657,1.5630361119561007,1.8883151699816092,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,), (3,), )",-1,52236992,49928606,52237092,49928643,63568746,1.4831458842998098,1.8048842475462599,1.888330789768094,1.8048807923687635,1.8883293904062244,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (2,), (1,3,), )",-1,58700327,49928414,58700912,49928612,63568746,1.4831458842998098,1.6061533013265838,1.8883380513548857,1.6061372947663914,1.8883305628444067,6.142296787822806,18.49633411327401,"(6.751501567256424,6.7164776811353395,5.550603951449731,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,3,2,), )",-1,62773634,49929249,62771467,49928794,63568746,1.4831458842998098,1.5019319098206103,1.8883064714231932,1.5019837595957413,1.888323679518476,6.252732705914422,18.49633411327401,"(6.751662226465114,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,), (2,), )",-1,60316917,49927674,60317295,49928006,63568746,1.4831458842998098,1.5631058198813443,1.8883660392430859,1.5630960241171292,1.8883534824122559,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
