dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-based zstd compressed size (B),standard zstd compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
num_control_f64,159504736,8,19938092,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,149214280,139225310,149161872,139161243,150746904,7.718280619731715,24.13166514517753,"(7.9983463414183005,7.554998763262708,7.9864524000609425,)","(1024,1905,762,)","(1.283974414402341e-05,2.567948828804682e-06,6.419872072011705e-06,)"
num_control_f64,159504736,8,19938092,"( (6,2,1,5,0,3,), (4,7,), )",-1,145414444,139199072,145413471,139208500,150746904,7.561592555891497,24.13166514517753,"(7.996792137336922,6.25599381155522,)","(2286,762,)","(2.139957357337235e-06,6.419872072011705e-06,)"
num_control_f64,159504736,8,19938092,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,140859341,139113635,140850573,139139580,150746904,7.33691935549491,24.13166514517753,"(7.998376723736168,2.717886877813584,7.996148980198245,7.9983463414183005,)","(1024,27136,1905,1024,)","(1.283974414402341e-05,6.520182573136888e-07,2.567948828804682e-06,1.283974414402341e-05,)"
num_control_f64,159504736,8,19938092,"( (0,), (7,6,1,3,4,2,5,), )",-1,150331496,139138941,150326734,139097470,150746904,7.7688557276066845,24.13166514517753,"(7.9983965882242565,7.736064176089888,)","(1024,2667,)","(1.283974414402341e-05,1.8342491634319157e-06,)"
num_control_f64,159504736,8,19938092,"( (2,7,6,), (4,0,3,5,1,), )",-1,146646552,139154752,146628144,139096559,150746904,7.642181055559641,24.13166514517753,"(7.048543395809578,7.998363651409679,)","(1143,1905,)","(4.27991471467447e-06,2.567948828804682e-06,)"
num_control_f64,159504736,8,19938092,"( (4,6,1,3,0,), (2,7,5,), )",-1,147642727,139158376,147618852,139135877,150746904,7.638999046075729,24.13166514517753,"(7.996237269598955,7.043602006870351,)","(1905,1143,)","(2.567948828804682e-06,4.27991471467447e-06,)"
num_control_f64,159504736,8,19938092,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,148535955,139175807,148567101,139203368,150746904,7.741012856125032,24.13166514517753,"(7.952263834269836,7.998339106315672,7.662916651402457,)","(3072,512,2286,)","(1.283974414402341e-05,1.283974414402341e-05,2.139957357337235e-06,)"
num_control_f64,159504736,8,19938092,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,147719407,139192117,147664568,139203572,150746904,7.638294750657897,24.13166514517753,"(7.043934768363404,7.9983463933251,7.992620304507587,)","(1143,1024,1143,)","(4.27991471467447e-06,6.419872072011705e-06,4.27991471467447e-06,)"
num_control_f64,159504736,8,19938092,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,147075620,139216656,147027678,139161959,150746904,7.637464576615102,24.13166514517753,"(7.998314997663334,7.98640647114771,7.043986225878465,)","(1143,1024,1143,)","(4.27991471467447e-06,6.419872072011705e-06,4.27991471467447e-06,)"
num_control_f64,159504736,8,19938092,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,148234696,139201390,148218211,139161278,150746904,7.684775166957547,24.13166514517753,"(7.998339106315672,7.9983463414183005,7.377420685564749,7.985916572833701,)","(512,1024,1524,1025,)","(1.283974414402341e-05,1.283974414402341e-05,3.2099360360058524e-06,6.419872072011705e-06,)"
num_control_f64,159504736,8,19938092,"( (6,), (1,0,), (4,7,5,2,3,), )",-1,148000657,139182684,147969808,139189498,150746904,7.715520559608782,24.13166514517753,"(7.952263834269836,7.998401390523438,7.555019572310709,)","(3072,762,1905,)","(1.283974414402341e-05,6.419872072011705e-06,2.567948828804682e-06,)"
num_control_f64,159504736,8,19938092,"( (4,), (0,6,2,), (3,7,5,1,), )",-1,148864691,139135370,148827889,139133372,150746904,7.685762101638826,24.13166514517753,"(7.998313512615503,7.992884512127436,7.377282441028199,)","(1024,1143,1524,)","(1.283974414402341e-05,4.27991471467447e-06,3.2099360360058524e-06,)"
