"Group Name","Backend","Compressed Size (Level 3)","Compression Ratio (Level 3)","Compression Time (Level 3)"
"group1","loky",1280183,2.81209795787009,0.0345990657806396
"group2","loky",1290613,2.78937218205612,0.0180418491363525
"group3","loky",1469494,2.44982286419679,0.0185365676879883
"group","Sequence",4031987,2.67858006486628,0.0421147346496582
"group1","multiprocessing",1280183,2.81209795787009,0.0193054676055908
"group2","multiprocessing",1290613,2.78937218205612,0.0163476467132568
"group3","multiprocessing",1469494,2.44982286419679,0.0177512168884277
"group","Sequence",4031987,2.67858006486628,0.0409171581268311
"group1","threading",1280183,2.81209795787009,0.0212736129760742
"group2","threading",1290613,2.78937218205612,0.0190482139587402
"group3","threading",1469494,2.44982286419679,0.0171315670013428
"group","Sequence",4031987,2.67858006486628,0.0409007072448731
