Group Name,Backend,Compressed Size (Level 3),Compression Ratio (Level 3),Compression Time (Level 3),Run
group1,loky,1280183,2.8120979578700855,0.014819860458374023,1
group2,loky,1290613,2.7893721820561237,0.016684770584106445,1
group3,loky,1469494,2.4498228641967916,0.016772985458374023,1
group,default,4031987,2.6785800648662805,0.04119277000427246,1
group1,loky,1280183,2.8120979578700855,0.015116691589355469,2
group2,loky,1290613,2.7893721820561237,0.016709327697753906,2
group3,loky,1469494,2.4498228641967916,0.016478300094604492,2
group,default,4031987,2.6785800648662805,0.041818857192993164,2
group1,loky,1280183,2.8120979578700855,0.013589143753051758,3
group2,loky,1290613,2.7893721820561237,0.013984203338623047,3
group3,loky,1469494,2.4498228641967916,0.014938116073608398,3
group,default,4031987,2.6785800648662805,0.04055595397949219,3
group1,loky,1280183,2.8120979578700855,0.019351482391357422,4
group2,loky,1290613,2.7893721820561237,0.013497352600097656,4
group3,loky,1469494,2.4498228641967916,0.01543116569519043,4
group,default,4031987,2.6785800648662805,0.040363311767578125,4
group1,loky,1280183,2.8120979578700855,0.01323080062866211,5
group2,loky,1290613,2.7893721820561237,0.013401985168457031,5
group3,loky,1469494,2.4498228641967916,0.01590108871459961,5
group,default,4031987,2.6785800648662805,0.039788007736206055,5
group1,loky,1280183,2.8120979578700855,0.01643848419189453,6
group2,loky,1290613,2.7893721820561237,0.016581058502197266,6
group3,loky,1469494,2.4498228641967916,0.015328168869018555,6
group,default,4031987,2.6785800648662805,0.04166364669799805,6
group1,loky,1280183,2.8120979578700855,0.015518903732299805,7
group2,loky,1290613,2.7893721820561237,0.013486146926879883,7
group3,loky,1469494,2.4498228641967916,0.016231298446655273,7
group,default,4031987,2.6785800648662805,0.03995037078857422,7
group1,loky,1280183,2.8120979578700855,0.014468669891357422,8
group2,loky,1290613,2.7893721820561237,0.013538122177124023,8
group3,loky,1469494,2.4498228641967916,0.015374898910522461,8
group,default,4031987,2.6785800648662805,0.040738821029663086,8
group1,loky,1280183,2.8120979578700855,0.01528310775756836,9
group2,loky,1290613,2.7893721820561237,0.013335704803466797,9
group3,loky,1469494,2.4498228641967916,0.01660466194152832,9
group,default,4031987,2.6785800648662805,0.04080772399902344,9
group1,loky,1280183,2.8120979578700855,0.013667583465576172,10
group2,loky,1290613,2.7893721820561237,0.015741825103759766,10
group3,loky,1469494,2.4498228641967916,0.014744758605957031,10
group,default,4031987,2.6785800648662805,0.0404353141784668,10
group1,loky,1280183,2.8120979578700855,0.014207601547241211,11
group2,loky,1290613,2.7893721820561237,0.015222787857055664,11
group3,loky,1469494,2.4498228641967916,0.014669179916381836,11
group,default,4031987,2.6785800648662805,0.040364742279052734,11
group1,loky,1280183,2.8120979578700855,0.013149261474609375,12
group2,loky,1290613,2.7893721820561237,0.013906240463256836,12
group3,loky,1469494,2.4498228641967916,0.014819145202636719,12
group,default,4031987,2.6785800648662805,0.04269146919250488,12
group1,loky,1280183,2.8120979578700855,0.01320648193359375,13
group2,loky,1290613,2.7893721820561237,0.013325929641723633,13
group3,loky,1469494,2.4498228641967916,0.015511512756347656,13
group,default,4031987,2.6785800648662805,0.04062294960021973,13
group1,loky,1280183,2.8120979578700855,0.013251543045043945,14
