Name,tool,joint entropy,mmi,clustering,reordered cr,decomposed cr,original cr,entropy,cross entropy,relative entropy,k2 entropy,k2 entropy reorder,el_entropy_val,cross_entropy_val
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,10.0,15.721566844991504,"[[0, 1, 2, 3]]",1.16961736150771,1.16961736150771,1.16961736150771,[6.7952807642191315],[[0.]],[[0.]],[np.float64(4.808776530550451)],4.808776530550451,,
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,16.911717702341775,8.809849142649725,"[[0], [1, 2, 3]]",1.16961736150771,1.1896601800755155,1.16961736150771,"[6.911717702341777, 6.616130070842729]","[[0.         5.22728806]
 [5.22728806 0.        ]]","[[0.         0.43645042]
 [0.43645042 0.        ]]","[np.float64(3.023014263619024), np.float64(4.574877552398322)]",4.808776530550451,0.43645042192410927,5.227288060128575
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,19.760244360347336,5.961322484644166,"[[0, 1], [2, 3]]",1.16961736150771,1.1749856569133676,1.16961736150771,"[6.781516181494104, 6.760882473047652]","[[0.        4.7697284]
 [4.7697284 0.       ]]","[[0.         0.06913958]
 [0.06913958 0.        ]]","[np.float64(3.9942779210677726), np.float64(4.02988247205593)]",4.808776530550451,0.06913957842263349,4.7697283995469215
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,15.953037553293893,9.768529291697607,"[[1], [0, 2, 3]]",1.16961736150771,1.1938210434275722,1.16961736150771,"[5.954990678293896, 6.893856516269246]","[[0.         4.58823902]
 [4.58823902 0.        ]]","[[0.         0.46055402]
 [0.46055402 0.        ]]","[np.float64(3.777779568539619), np.float64(4.449472309468218)]",4.809264811800451,0.4605540239893284,4.588239022909496
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,22.77100525563567,2.9505615893558303,"[[0], [1], [2, 3]]",1.16961736150771,1.2054149499705709,1.16961736150771,"[6.911717702341777, 5.954990678293896, 6.760882473047652]","[[0.00000000e+00 1.00000000e-12 5.07260616e+00]
 [1.00000000e-12 0.00000000e+00 4.46685064e+00]
 [5.07260616e+00 4.46685064e+00 0.00000000e+00]]","[[0.00000000e+00 1.00000000e-12 2.81768525e-01]
 [1.00000000e-12 0.00000000e+00 3.39165637e-01]
 [2.81768525e-01 3.39165637e-01 0.00000000e+00]]","[np.float64(3.023014263619024), np.float64(3.777779568539619), np.float64(4.02988247205593)]",4.808776530550451,0.20697805399006963,3.1798189330316142
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,16.89145167302767,8.830115171963833,"[[0, 1, 2], [3]]",1.16961736150771,1.1875906059727457,1.16961736150771,"[6.63519174305787, 6.895357923027668]","[[0.         4.93202129]
 [4.93202129 0.        ]]","[[0.         0.33285685]
 [0.33285685 0.        ]]","[np.float64(4.551892950980538), np.float64(3.0317367820191503)]",4.808776530550451,0.3328568458018908,4.93202129497708
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,19.641065551736684,6.080501293254818,"[[1, 2], [0, 3]]",1.16961736150771,1.2307692307692308,1.16961736150771,"[5.97868259551227, 6.951915713182382]","[[0.         4.90947105]
 [4.90947105 0.        ]]","[[0.         0.76536407]
 [0.76536407 0.        ]]","[np.float64(4.571386194403558), np.float64(3.920927943519509)]",4.808288249300451,0.7653640697584101,4.909471054300557
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,23.530430886585126,2.191135958406374,"[[0], [1, 2], [3]]",1.16961736150771,1.2355957767722474,1.16961736150771,"[6.911717702341777, 5.97868259551227, 6.895357923027668]","[[0.00000000e+00 1.00000000e-12 4.93227975e+00]
 [1.00000000e-12 0.00000000e+00 4.93189207e+00]
 [4.93227975e+00 4.93189207e+00 0.00000000e+00]]","[[0.00000000e+00 1.00000000e-12 1.41442116e-01]
 [1.00000000e-12 0.00000000e+00 7.87785081e-01]
 [1.41442116e-01 7.87785081e-01 0.00000000e+00]]","[np.float64(3.023014263619024), np.float64(4.571386194403558), np.float64(3.0317367820191503)]",4.808776530550451,0.309742398919876,3.2880572731687465
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,19.74557683104201,5.97599001394949,"[[0, 2], [1, 3]]",1.16961736150771,1.1749856569133676,1.16961736150771,"[6.784208739266806, 6.760434423271444]","[[0.         4.76966429]
 [4.76966429 0.        ]]","[[0.         0.06720913]
 [0.06720913 0.        ]]","[np.float64(3.9989091294934527), np.float64(4.013344675444673)]",4.809264811800451,0.06720913053673742,4.769664290489667
Synthetic[7 6 6 7],CompressionTool.HUFFMAN,15.95364116632816,9.767925678663342,"[[2], [0, 1, 3]]",1.16961736150771,1.1938210434275722,1.16961736150771,"[5.959500541328158, 6.893199285961523]","[[0.         4.58948478]
 [4.58948478 0.        ]]","[[0.         0.45867378]
 [0.45867378 0.        ]]","[np.float64(3.8031829043188496), np.float64(4.4419152517269165)]",4.808776530550451,0.4586737800967007,4.589484777863781
