Dataset,FeatureMode,k,ClusterConfig,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD
synthetic,entropy,1,"(0,1,2,3)",5.4483,9.5961,5.44825,9.59607,0.0,0.9998250306196416,0.9998250306196416,1.3913914610306037,0.9998250306196416,1.3913914610306037,5.448252655133267,0.0,9.596072521820377,2.629591678949435,0.0
synthetic,entropy,2,"(1,2,3)|(0)","6.405,-0.0","11.7524,-0.0",4.80374,8.81428,2.5111479031525206,0.9998250306196416,1.331026221216558,1.3770690462419786,1.3302383121936294,1.3762919941094702,3.1937588257399523,3.211223422296652,5.876187915326347,0.8553086536450423,2.5111479031525206
synthetic,entropy,3,"(2,3)|(1)|(0)","4.5503,7.9963,-0.0","8.8249,14.9593,-0.0",4.27421,8.15229,2.930736703757445,0.9998250306196416,1.3308579375694543,1.3964822611840773,1.3302383121936294,1.395800037686601,5.985544694126918,6.5610245416241435,7.928072999126015,0.3547860856979663,2.930736703757445
synthetic,entropy,4,(0)|(1)|(2)|(3),"-0.0,7.9963,2.9999,4.9995","-0.0,14.9593,5.9992,9.9856",3.99894,7.73602,2.6302318203379587,0.9998250306196416,1.4540801488978072,1.4540801488978072,1.3913914610306037,1.3913914610306037,14.951752040487756,1.0440274133595633,7.736017993848494,0.03355400514645281,2.6302318203379587
synthetic,frequency,1,"(0,1,2,3)",5.4483,9.5961,5.44825,9.59607,0.0,0.9998250306196416,0.9998250306196416,1.3913914610306037,0.9998250306196416,1.3913914610306037,5.448252655133267,0.0,9.596072521820377,2.629591678949435,0.0
synthetic,frequency,2,"(1,2,3)|(0)","6.405,-0.0","11.7524,-0.0",4.80374,8.81428,2.5111479031525206,0.9998250306196416,1.331026221216558,1.3770690462419786,1.3302383121936294,1.3762919941094702,3.1937588257399523,3.211223422296652,5.876187915326347,0.8553086536450423,2.5111479031525206
synthetic,frequency,3,"(1,3)|(2)|(0)","7.2142,2.9999,-0.0","13.4212,5.9992,-0.0",4.35706,8.2104,2.466395695537614,0.9998250306196416,1.4542810398109434,1.4542810398109434,1.3936213948756542,1.3936213948756542,5.985544694126918,4.228529337675895,6.4734688539792264,0.38036264093041566,2.466395695537614
synthetic,frequency,4,(0)|(1)|(2)|(3),"-0.0,7.9963,2.9999,4.9995","-0.0,14.9593,5.9992,9.9856",3.99894,7.73602,2.6302318203379587,0.9998250306196416,1.4540801488978072,1.4540801488978072,1.3913914610306037,1.3913914610306037,14.951752040487756,1.0440274133595633,7.736017993848494,0.03355400514645281,2.6302318203379587
synthetic,all,1,"(0,1,2,3)",5.4483,9.5961,5.44825,9.59607,0.0,0.9998250306196416,0.9998250306196416,1.3913914610306037,0.9998250306196416,1.3913914610306037,5.448252655133267,0.0,9.596072521820377,2.629591678949435,0.0
synthetic,all,2,"(1,2,3)|(0)","6.405,-0.0","11.7524,-0.0",4.80374,8.81428,2.5111479031525206,0.9998250306196416,1.331026221216558,1.3770690462419786,1.3302383121936294,1.3762919941094702,3.1937588257399523,3.211223422296652,5.876187915326347,0.8553086536450423,2.5111479031525206
synthetic,all,3,"(2,3)|(1)|(0)","4.5503,7.9963,-0.0","8.8249,14.9593,-0.0",4.27421,8.15229,2.930736703757445,0.9998250306196416,1.3308579375694543,1.3964822611840773,1.3302383121936294,1.395800037686601,5.985544694126918,6.5610245416241435,7.928072999126015,0.3547860856979663,2.930736703757445
synthetic,all,4,(0)|(1)|(2)|(3),"-0.0,7.9963,2.9999,4.9995","-0.0,14.9593,5.9992,9.9856",3.99894,7.73602,2.6302318203379587,0.9998250306196416,1.4540801488978072,1.4540801488978072,1.3913914610306037,1.3913914610306037,14.951752040487756,1.0440274133595633,7.736017993848494,0.03355400514645281,2.6302318203379587
