Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD_H2,WithinSTD_H2,BetweenSTD,DaviesBouldin,Dunn,AvgCrossEntropy,AvgJSDivergence,DeltaMatchEntropy,DeltaH0,SeparationScore_final
synthetic,FastLZ,frequency,"(0,1,2,3)",HClust,5.1586,9.9381,5.15856,9.93814,0.0,0.9998664993458468,0.9998664993458468,1.119985644277151,0.9998664993458468,1.119985644277151,5.158556654248499,0.0,9.938143643353369,0.0653532646216239,0.0,0.048069550341404525,0.0,,inf,,,0.0,0.0,0.0
synthetic,FastLZ,frequency,"(0)|(1,2,3)",Non-HClust,"5.9993,4.4076","11.9537,8.4966",4.80555,9.36087,0.7456231931597426,0.9998664993458468,0.9997940424882719,1.1201100727693813,0.9998664993458468,1.119985644277151,10.387217252049453,0.019738199949603796,10.225147220895224,0.04540360652384594,0.7456231931597426,0.04197860212887436,0.3512189813069786,0.6736904039003355,0.17258642365801957,22.762050574603137,0.4023782483762286,0.5772712053540285,0.35301125603713057,0.5772712053540285
synthetic,FastLZ,frequency,"(0,1)|(2,3)",Non-HClust,"4.8283,4.8125","8.9347,9.4979",4.82038,9.21627,0.04626788298783158,0.9998664993458468,0.9997940424882719,1.1198851645206216,0.9998664993458468,1.119985644277151,9.352817245111785,0.28793697950861485,9.21627010512254,0.04812575141052919,0.04626788298783158,0.05069206194811597,0.06410989223536889,2.358465342872962,0.14718439526155877,13.507062564834458,0.33817954193829924,0.721873538230831,0.3381795419382989,0.721873538230831
synthetic,FastLZ,frequency,"(1)|(0,2,3)",HClust,"1.9999,5.5529","3.9998,10.9111",4.66464,9.1833,1.6832726132259714,0.9998664993458468,1.0826921091216983,1.0826921091216983,1.1202010187685891,1.1202010187685891,7.553674184532527,0.0,7.455465274852717,0.033264111529689916,1.6832726132259714,0.0256255788824127,1.9405586462861568,0.14427337888986053,1.898926267084818,4.787123202041117,0.686380678285857,0.754842342189157,0.49391970318643175,0.754842342189157
synthetic,FastLZ,frequency,"(0)|(1)|(2,3)",Non-HClust,"5.9993,1.9999,4.8125","11.9537,3.9998,9.4979",4.40607,8.73731,1.6053677107777409,0.9998664993458468,1.0826071514120281,1.0826071514120281,1.119985644277151,1.119985644277151,12.717966154437773,0.09381579509645199,8.48378878023229,0.02680924600932726,1.6053677107777409,0.028293021807699475,1.8103774862207902,0.3116261837975418,0.7442165992907732,21.503962190126487,0.6008300874221706,1.200832975234114,0.7524878436318359,1.200832975234114
synthetic,FastLZ,frequency,"(0,1,2)|(3)",Non-HClust,"4.9401,4.9997","9.3341,9.9892",4.95505,9.49784,0.08340173640376758,0.9998664993458468,0.9997940424882719,1.1198947332444718,0.9998664993458468,1.119985644277151,3.835854916994086,6.104032425140561,9.661623653808581,0.046411785523798745,0.08340173640376758,0.04804339191641217,0.16136891111760088,1.2213421941760423,0.14718439526155877,10.831357032715243,0.2717115448247952,0.4403014044785376,0.20351057711065934,0.4403014044785376
synthetic,FastLZ,frequency,"(1,2)|(0,3)",Non-HClust,"3.5517,5.8122","6.752,11.4848",4.68193,9.11838,1.0545427443313293,0.9998664993458468,1.051479731410097,1.1201100727693813,1.0515598737178227,1.1202010187685891,9.154569341337037,0.20928692914243285,9.118380690764209,0.05013811315631952,1.0545427443313293,0.045462633187637436,0.7522398685120573,0.6697683844620885,0.30191972190232746,5.419387880353121,0.4766285190087639,0.8197629525891621,0.4766285190087638,0.8197629525891621
synthetic,FastLZ,frequency,"(0)|(1,2)|(3)",Non-HClust,"5.9993,3.5517,4.9997","11.9537,6.752,9.9892",4.5256,8.86172,0.945436749369889,0.9998664993458468,1.0513996013171774,1.1200191415362792,1.0520114296721996,1.119985644277151,14.147875040633949,0.40287536218861675,9.56495876658729,0.03530370122130651,0.945436749369889,0.04251152746661263,0.6863047983271645,0.5780152919161176,0.22469366869296611,19.51005820507775,0.428642205677444,1.0764263110632015,0.632951762962751,1.0764263110632015
synthetic,FastLZ,frequency,"(0,2)|(1,3)",Non-HClust,"5.5498,4.2173","10.7416,7.8742",4.88354,9.30793,0.6141904352766101,0.9998664993458468,1.0014211274277593,1.1201100727693813,1.0020910665203813,1.1201483640217247,9.324595788825276,0.4424839208557678,9.307933271053141,0.05458027249809773,0.6141904352766101,0.04785161049395939,0.37250755752391074,1.4930534542969363,0.17258642365801957,14.002467540291978,0.2750167994079761,0.6302103723002279,0.2750167994079771,0.6302103723002279
synthetic,FastLZ,frequency,"(2)|(0,1,3)",Non-HClust,"3.9999,5.211","7.9972,9.9885",4.90821,9.49066,0.5292145108355313,0.9998664993458468,1.0171743432540452,1.1417470992020629,0.9998664993458468,1.1204021097082482,9.20512636540794,0.005726893647185705,8.992856776141007,0.04018604747222411,0.5292145108355313,0.05108193946595623,0.22922542752143782,10.997392961010583,0.19777091158921098,5.346025068992269,0.3530229629004477,0.44747970893270406,0.2503509249672611,0.44747970893270406
