Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD,DaviesBouldin,Dunn,AvgCrossEntropy,AvgJSDivergence,DeltaMatchEntropy,DeltaH0,SeparationScore_final
synthetic,lzma,frequency,"(0,1,2,3)",HClust,4.839,9.1576,4.83897,9.15755,0.0,0.9998665034194195,0.9998665034194195,1.1950237733801963,0.9998665034194195,1.1950237733801963,4.83896731094331,0.0,9.157553494966885,0.06728672823993848,0.0,,inf,,,0.0,0.0,0.0
synthetic,lzma,frequency,"(0)|(1,2,3)",Non-HClust,"2.9998,4.9716","5.9991,9.4275",4.47869,8.57039,0.8988749390294699,0.9998665034194195,1.0692074265017784,1.234002090060913,1.039804211670349,1.1950237733801963,7.964687715495442,0.006772877450664794,7.713276270245457,0.03535658390519449,0.8988749390294699,11.460185580520315,0.30641300673174254,5.113253283146337,0.4878754901974187,0.5871679894306396,0.3602781241220896,0.3602781241220896
synthetic,lzma,frequency,"(0,1)|(2,3)",Non-HClust,"2.5462,5.8112","4.7475,11.4836",4.17869,8.11556,1.5453629062781784,0.9998665034194195,1.2703729549507636,1.1949202760481716,1.2704899361711408,1.1950237733801963,8.212423760999869,0.14495721513974047,8.11556064898882,0.04765134114967494,1.5453629062781784,0.5309094365214612,0.5125509555177324,5.416635943013511,0.6602768228735016,1.041992845978065,0.660276822873505,0.660276822873505
synthetic,lzma,frequency,"(1)|(0,2,3)",HClust,"1.0,5.4059","2.0,10.4893",4.30443,8.36693,2.1076500945734455,0.9998665034194195,1.1102856779822536,1.1597495963014577,1.1425532934966898,1.1949965355019876,6.403873983231462,0.002024678940312441,6.244608455989463,0.03286368047679524,2.1076500945734455,0.18880325685675553,1.4864463750430403,4.115747201582735,0.7324337457298536,0.7906225102060649,0.5345375498571867,0.5345375498571867
synthetic,lzma,frequency,"(0)|(1)|(2,3)",HClust,"2.9998,1.0,5.8112","5.9991,2.0,11.4836",3.90553,7.74155,1.8932970961770657,0.9998665034194195,1.1964473167748355,1.1964473167748355,1.1950237733801963,1.1950237733801963,9.797201146251616,0.013766892715819878,6.4942040448392575,0.020719311940044016,1.8932970961770657,0.10686488865284287,3.1995546010661275,13.632342027323638,0.6784936962971712,1.4160027272356572,0.9334335381751262,0.9334335381751262
synthetic,lzma,frequency,"(0,1,2)|(3)",Non-HClust,"4.4036,4.9997","8.105,9.9879",4.55265,8.57577,0.3556417906323621,0.9998665034194195,1.0251372616496426,1.1949202760481716,1.0252134362155207,1.1950237733801963,3.6554464702599376,5.747868778280749,9.046485824424046,0.04444033185108029,0.3556417906323621,0.9554523969751582,0.09576739419594286,10.814511059056452,0.3796587345490492,0.5817882285604394,0.2863138079339693,0.2863138079339693
synthetic,lzma,frequency,"(1,2)|(0,3)",Non-HClust,"4.3988,4.5503","7.9673,8.7491",4.47451,8.3582,0.13285253608808167,0.9998665034194195,1.0047373020375,1.1948984894204735,1.0048104749529494,1.1950019829782967,8.457637054517152,0.4913754329485247,8.358200620249944,0.05183585531428394,0.13285253608808167,2.6021457411056303,0.09576739419594286,13.158207879002628,0.36446106721046934,0.7993528747169414,0.36446106721047133,0.36446106721047133
synthetic,lzma,frequency,"(0)|(1,2)|(3)",Non-HClust,"2.9998,4.3988,4.9997","5.9991,7.9673,9.9879",4.19924,7.98042,0.7985337969595491,0.9998665034194195,1.0747791148192944,1.2338917313476392,1.0451145805093531,1.1950237733801963,12.191412856330114,0.20681561031174667,7.9847745468971025,0.028418057477046146,0.7985337969595491,3.8199372709913715,0.09576739419594286,8.15191234769886,0.5018592450510129,1.1771378596520137,0.6397226732646466,0.6397226732646466
synthetic,lzma,frequency,"(0,2)|(1,3)",Non-HClust,"5.2167,3.8279","9.8695,6.9366",4.5223,8.40305,0.6390154235526082,0.9998665034194195,1.0752375913142276,1.1948984894204735,1.075334626854651,1.1950019829782967,8.4565860128458,0.5880222438624791,8.40304678908215,0.05233147772248686,0.6390154235526082,1.8835604176713039,0.10591013150956337,13.896053855020213,0.31666318258916704,0.7545067058847348,0.3166631825891697,0.3166631825891697
synthetic,lzma,frequency,"(2)|(0,1,3)",Non-HClust,"5.9993,3.9371","11.9548,7.3361",4.45261,8.49076,0.9799548366068218,0.9998665034194195,1.0842208444832306,1.1949202760481716,1.0843060530604478,1.1950237733801963,9.916823569219824,0.019527359975755942,9.645424891207437,0.048212757604736076,0.9799548366068218,0.6684933479284592,0.10591013150956337,22.87724298258495,0.45569710413646364,0.6667913737979756,0.3863523540660747,0.3863523540660747
synthetic,lzma,frequency,"(0)|(2)|(1,3)",Non-HClust,"2.9998,5.9993,3.8279","5.9991,11.9548,6.9366",4.16371,7.95674,1.1947654302214599,0.9998665034194195,1.1558479351669768,1.2338917313476392,1.1216540015061272,1.1950019829782967,12.626351020974164,0.20062533788470382,8.296792179196606,0.030449143095757098,1.1947654302214599,2.343730271031152,0.10591013150956337,11.26481030079406,0.5319865292291435,1.2008172839090694,0.67525638046778,0.67525638046778
