Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H1_weighted,HC_H2_weighted,BetweenClusterEntropySTD,StandardRatio,DecomposedRatio_Row_C,DecomposedRatio_Row_F,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,WithinSTD,BetweenSTD,DaviesBouldin,Dunn,AvgCrossEntropy,AvgJSDivergence,DeltaMatchEntropy,DeltaH0,SeparationScore_final
synthetic,snappy,frequency,"(0,1,2,3)",HClust,4.837,9.1552,4.83701,9.1552,0.0,1.0194800396678787,1.0194800396678787,1.2691920365636378,1.0194800396678787,1.2691920365636378,4.837014827709251,0.0,9.155202375765366,0.0671076878905004,0.0,,inf,,,0.0,0.0,0.0
synthetic,snappy,frequency,"(0)|(1,2,3)",Non-HClust,"2.9999,4.9713","5.9992,9.428",4.47849,8.57079,0.8984310914085711,1.0194800396678787,1.083566530399666,1.2691736021341389,1.083579967262446,1.2691920365636378,7.9669231554978195,0.004345757207476986,7.71358435408174,0.03578564863886761,0.8984310914085711,11.475327698406222,0.30638330152044246,5.099110122705042,0.48592702724523207,0.5844156873029966,0.35852290381223906,0.5844156873029966
synthetic,snappy,frequency,"(0,1)|(2,3)",Non-HClust,"2.5452,5.8092","4.7467,11.4809",4.17716,8.11381,1.5450577184670653,1.0194800396678787,1.3258009862182325,1.2691736021341389,1.3258211023558328,1.2691920365636378,8.210803689204871,0.14350923245728353,8.11380908011362,0.04842262048683944,1.5450577184670653,0.530944247122791,0.5124520395680241,5.419635360855523,0.659858366878174,1.041393295651746,0.6598583668781739,1.041393295651746
synthetic,snappy,frequency,"(1)|(0,2,3)",HClust,"1.0,5.4034","1.9999,10.4872",4.30251,8.36535,2.106690423429197,1.0194800396678787,1.1757919901682432,1.2691736021341389,1.17580781168703,1.2691920365636378,6.399966273155306,0.0033583753648089854,6.2435438306656845,0.03320535203050762,2.106690423429197,0.1887736163133434,1.4868014645176213,4.11541341295222,0.7323975382690768,0.7898520015891126,0.534504032403345,0.7898520015891126
synthetic,snappy,frequency,"(0)|(1)|(2,3)",HClust,"2.9999,1.0,5.8092","5.9992,1.9999,11.4809",3.90455,7.74022,1.8926441260286049,1.0194800396678787,1.2692289070292149,1.2691551682401356,1.269265779637054,1.2691920365636378,9.799190500199682,0.009855034596032652,6.493333372970067,0.021432361514270682,1.8926441260286049,0.10684478772431351,3.2001707801370936,13.62207809802957,0.6780136442056276,1.4149799235515221,0.9324632861694644,1.4149799235515221
synthetic,snappy,frequency,"(0,1,2)|(3)",Non-HClust,"4.403,4.9997","8.1067,9.9895",4.55216,8.57737,0.35268598506351667,1.0194800396678787,1.0855947820685372,1.2691736021341389,1.0856082692817386,1.2691920365636378,3.655877310604727,5.7468295059998065,9.04808862865747,0.04417002823263237,0.35268598506351667,0.9554646784304875,0.09573967221440512,10.784695256560532,0.3780055592474719,0.5778305603111864,0.2848581068255571,0.5778305603111864
synthetic,snappy,frequency,"(1,2)|(0,3)",Non-HClust,"4.4003,4.5485","7.968,8.7473",4.47441,8.35767,0.12814495942008408,1.0194800396678787,1.0603415498369912,1.2691736021341389,1.0603544168625088,1.2691920365636378,8.455872082136972,0.4929530184713524,8.357673056095466,0.052426881113105055,0.12814495942008408,2.601645328677172,0.09573967221440512,13.114612146026019,0.3626022774050881,0.7975293196699003,0.362602277405089,0.7975293196699003
synthetic,snappy,frequency,"(0)|(1,2)|(3)",Non-HClust,"2.9999,4.4003,4.9997","5.9992,7.968,9.9895",4.20006,7.98119,0.7967742729635354,1.0194800396678787,1.1249608411114687,1.2691551682401356,1.1249898076980847,1.2691920365636378,12.200832213259288,0.19912065008699287,7.985574181306684,0.027901002070597324,0.7967742729635354,3.8179096434620328,0.09573967221440512,8.129892484982062,0.5002021211081811,1.174016588901475,0.6369549721369436,1.174016588901475
synthetic,snappy,frequency,"(0,2)|(1,3)",Non-HClust,"5.2161,3.8284","9.8691,6.937",4.52225,8.40304,0.6414058346122231,1.0194800396678787,1.1266627412720858,1.2691736021341389,1.1266772682339794,1.2691920365636378,8.45550884488984,0.5889863806529245,8.403040963827435,0.053992337949080024,0.6414058346122231,1.8834369247224,0.10587622753378773,13.848191929307081,0.31476721493786936,0.7521614119379318,0.3147672149378691,0.7521614119379318
synthetic,snappy,frequency,"(2)|(0,1,3)",Non-HClust,"5.9992,3.9354","11.9548,7.3333",4.45137,8.48868,0.9832895124071921,1.0194800396678787,1.151264157821002,1.2691736021341389,1.151279326124955,1.2691920365636378,9.911696913707894,0.022962372483789295,9.644050658165854,0.04901256949408697,0.9832895124071921,0.6685692479271738,0.10587622753378773,22.79615109395353,0.4552880096259616,0.6665251707650448,0.385641496620881,0.6665251707650448
synthetic,snappy,frequency,"(0)|(2)|(1,3)",Non-HClust,"2.9999,5.9992,3.8284","5.9992,11.9548,6.937",4.164,7.95698,1.1961639770164343,1.0194800396678787,1.213045570651168,1.2691551682401356,1.2130792510805284,1.2691920365636378,12.625654144563313,0.2019303338191527,8.296980398371867,0.030738890493966515,1.1961639770164343,2.343190707536151,0.10587622753378773,11.2311889283841,0.5309359258387323,1.1982260906619153,0.6730130356116941,1.1982260906619153
synthetic,snappy,frequency,"(0,1)|(2)|(3)",Non-HClust,"2.5452,5.9992,4.9997","4.7467,11.9548,9.9895",4.02232,7.85944,1.3851265247930207,1.0194800396678787,1.3257004146859512,1.2691551682401356,1.3257406414678305,1.2691920365636378,7.175367178492139,6.368774162056776,8.897016096614346,0.033592415827907805,1.3851265247930207,0.47136983853460546,0.16013271627524545,11.122766283558654,0.547124908818978,1.2957581857340905,0.8146914199973425,1.2957581857340905
synthetic,snappy,frequency,"(1)|(0,2)|(3)",Non-HClust,"1.0,5.2161,4.9997","1.9999,9.8691,9.9895",4.10796,7.93192,1.8711709775436476,1.0194800396678787,1.1748908668800029,1.2691551682401356,1.1749224618584055,1.2691920365636378,11.172268033608706,0.043516667234065665,7.286190327021757,0.027999031823039016,1.8711709775436476,1.3565671551248448,0.23808555707521967,7.498283773051568,0.6060615554255179,1.2232801349098832,0.729050518614808,1.2232801349098832
synthetic,snappy,frequency,"(1)|(2)|(0,3)",Non-HClust,"1.0,5.9992,4.5485","1.9999,11.9548,8.7473",4.02407,7.86234,2.027138131729956,1.0194800396678787,1.1874937713472915,1.2691551682401356,1.1875260478011125,1.2691920365636378,11.499273274271108,0.04847291667341125,7.567351272265626,0.029793282355758233,2.027138131729956,0.4782531324925316,0.3124833231422607,10.75350762780092,0.6493933433877422,1.2928575444022918,0.8129436445567775,1.2928575444022918
synthetic,snappy,frequency,(0)|(1)|(2)|(3),HClust,"2.9999,1.0,5.9992,4.9997","5.9992,1.9999,11.9548,9.9895",3.74972,7.48586,1.8533925188494542,1.0194800396678787,1.2691367348816043,1.2691367348816043,1.2691920365636378,1.2691920365636378,14.585952823494665,0.41292113018780974,7.4858575621315,0.01705727276321414,1.8533925188494542,,inf,12.40158847665802,0.641553719548256,1.6693448136338667,1.0872963392886326,1.6693448136338667
