Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H3,HC_H4,WithinSTD,WithinSTD_global,Global_H1,Global_H2,Delta_H2,Delta_H1,StandardRatio,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,BetweenSTD,DaviesBouldin,Dunn,WithinSTD_H2,WithinMean_H2
synthetic,Huffman,frequency,"(0,1,2,3)",HClust,4.3084,7.9366,10.5394,11.8576,0.06019615834934496,0.06019615834934496,4.3084,7.9366,0.0,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.308423157419091,0.0,7.9366,0.0,,inf,0.05389430300164425,7.004968437635598
synthetic,Huffman,frequency,"(0)|(1,2,3)",Non-HClust,4.3084,7.5458,9.462,10.8835,1.2171760847304223,0.06019615834934496,4.3084,7.9366,0.3908000000000005,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.3084231574190905,0.0,7.5458,0.0,0.4277110062637516,0.2879612109481128,1.063440048440716,6.108841550621891
synthetic,Huffman,frequency,"(0,1)|(2,3)",Non-HClust,4.3084,7.9825,10.2732,11.5423,0.7507499814180987,0.06019615834934496,4.3084,7.9366,-0.04589999999999961,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.3084231574190905,0.0,7.9825,0.0,2.4730892334164403,0.2879612109481128,0.9306000679339742,6.563847062772023
synthetic,Huffman,frequency,"(1)|(0,2,3)",Non-HClust,4.3084,7.9052,10.583,11.3646,1.0804147208881003,0.06019615834934496,4.3084,7.9366,0.03140000000000054,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.308423157419091,0.0,7.9052,0.0,1.6457723086705154,0.35227710715652283,1.3675908069921678,6.337438033123427
synthetic,Huffman,frequency,"(0)|(1)|(2,3)",Non-HClust,4.3084,7.5044,9.3785,10.9066,1.4058925454180495,0.06019615834934496,4.3084,7.9366,0.4321999999999999,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.3084231574190905,0.0,7.5044,0.0,7.413934831854188,0.2879612109481128,1.4161641287376305,5.79667779314344
synthetic,Huffman,frequency,"(0,1,2)|(3)",Non-HClust,4.3084,7.9115,10.0231,10.4778,1.6041910746211283,0.06019615834934496,4.3084,7.9366,0.025100000000000122,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.308423157419091,0.0,7.9115,0.0,0.3356877243250687,0.5438700886578837,2.3519872038712313,6.064364565301972
synthetic,Huffman,frequency,"(1,2)|(0,3)",Non-HClust,4.3084,7.9026,10.4369,11.8198,0.3749059755771402,0.06019615834934496,4.3084,7.9366,0.034000000000000696,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.308423157419091,0.0,7.9026,0.0,11.06577983909413,0.22357910199495418,0.3911430000599141,6.73680984388052
synthetic,Huffman,frequency,"(0)|(1,2)|(3)",Non-HClust,4.3084,7.5582,9.3284,10.3464,1.70318380147838,0.06019615834934496,4.3084,7.9366,0.37840000000000007,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.3084231574190905,0.0,7.5582,0.0,0.4497892156239712,0.527130437410558,2.2158571883403044,5.65917897560708
synthetic,Huffman,frequency,"(0,2)|(1,3)",HClust,4.3084,7.6945,9.0442,9.8609,1.7688319136991004,0.06019615834934496,4.3084,7.9366,0.24210000000000065,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.3084231574190905,0.0,7.6945,0.0,0.40435257510646083,1.2040061140279223,2.1839894794566828,5.645809280937451
synthetic,Huffman,frequency,"(2)|(0,1,3)",Non-HClust,4.3084,8.0181,10.7677,11.6494,0.09549524246788153,0.06019615834934496,4.3084,7.9366,-0.08150000000000013,0.0,1.8425551057130005,1.8425551057130005,1.8425551057130005,4.308423157419091,0.0,8.0181,0.0,1.1243583767641459,0.22357910199495418,0.3052696306917006,6.625864797380027
