Dataset,CompressionTool,FeatureMode,ClusterConfig,ConfigType,HC_H1,HC_H2,HC_H3,HC_H4,WithinSTD,WithinSTD_global,Global_H1,Global_H2,Delta_H2,Delta_H1,StandardRatio,ReorderedRatio_Row_C,ReorderedRatio_Row_F,JointEntropy,MutualInfo,KthEntropy,BetweenSTD,DaviesBouldin,Dunn,WithinSTD_H2,WithinMean_H2
synthetic,Zstd,frequency,"(0,1,2,3)",HClust,4.3259,7.9581,10.5455,11.8617,0.0646832595030197,0.0646832595030197,4.3259,7.9581,0.0,0.0,1.755679382768967,1.755679382768967,1.9284369114877589,4.325862347412748,0.0,7.9581,0.0,,inf,0.0719541376738714,7.0061093339475775
synthetic,Zstd,frequency,"(0)|(1,2,3)",Non-HClust,4.3259,7.5644,9.51,10.9303,1.1991349214225495,0.0646832595030197,4.3259,7.9581,0.39369999999999994,0.0,1.755679382768967,1.7941305300043802,1.9284369114877589,4.325862347412751,0.0,7.5644,0.0,0.430592513606078,0.28312395695400755,1.0262416095546443,6.149735302495224
synthetic,Zstd,frequency,"(0,1)|(2,3)",Non-HClust,4.3259,7.9869,10.2805,11.552,0.7207252177859346,0.0646832595030197,4.3259,7.9581,-0.02880000000000038,0.0,1.755679382768967,1.795703638754932,1.9284369114877589,4.32586234741275,0.0,7.9869,0.0,2.4967559259411884,0.28312395695400755,0.8955512695203339,6.594503287685194
synthetic,Zstd,frequency,"(1)|(0,2,3)",Non-HClust,4.3259,7.9085,10.5593,11.3656,1.0936126706307527,0.0646832595030197,4.3259,7.9581,0.049599999999999866,0.0,1.755679382768967,1.7739281074058033,1.9458432304038005,4.325862347412748,0.0,7.9085,0.0,1.6352166246596658,0.3513066377116889,1.3739255866735924,6.333182040665106
synthetic,Zstd,frequency,"(0)|(1)|(2,3)",Non-HClust,4.3259,7.5269,9.4327,10.9406,1.398994936482369,0.0646832595030197,4.3259,7.9581,0.4311999999999996,0.0,1.755679382768967,1.824498886414254,1.9284369114877589,4.325862347412751,0.0,7.5269,0.0,6.98375689471543,0.28312395695400755,1.4086774589327054,5.819609205588565
synthetic,Zstd,frequency,"(0,1,2)|(3)",Non-HClust,4.3259,7.9384,10.0451,10.4799,1.6078137181176624,0.0646832595030197,4.3259,7.9581,0.019700000000000273,0.0,1.755679382768967,1.8626648476580263,1.9284369114877589,4.325862347412748,0.0,7.9384,0.0,0.33690261855873804,0.5415604014698567,2.3461370206982055,6.050298339169912
synthetic,Zstd,frequency,"(1,2)|(0,3)",Non-HClust,4.3259,7.9194,10.4662,11.816,0.3487563931503806,0.0646832595030197,4.3259,7.9581,0.03869999999999951,0.0,1.755679382768967,1.77009507346586,1.9348134152102032,4.325862347412748,0.0,7.9194,0.0,10.929899471862749,0.22065206983284144,0.38207012339179347,6.759363136995171
synthetic,Zstd,frequency,"(0)|(1,2)|(3)",Non-HClust,4.3259,7.5893,9.3882,10.3633,1.70130095217682,0.0646832595030197,4.3259,7.9581,0.36880000000000024,0.0,1.755679382768967,1.8686131386861313,1.9284369114877589,4.325862347412751,0.0,7.5893,0.0,0.45444072566023613,0.5154924857063796,2.2172170680652554,5.66846635902161
synthetic,Zstd,frequency,"(0,2)|(1,3)",HClust,4.3259,7.7103,9.0621,9.8705,1.7561201735217953,0.0646832595030197,4.3259,7.9581,0.2477999999999998,0.0,1.755679382768967,1.9077782952957616,1.9449192782526117,4.325862347412748,0.0,7.7103,0.0,0.4005197262616028,1.2184264300942569,2.168068974326705,5.6578421197524
synthetic,Zstd,frequency,"(2)|(0,1,3)",Non-HClust,4.3259,8.0239,10.7795,11.6573,0.08319673331658355,0.0646832595030197,4.3259,7.9581,-0.06579999999999941,0.0,1.755679382768967,1.7762359063313096,1.9439962031324158,4.325862347412749,0.0,8.0239,0.0,1.1139024258736558,0.22065206983284144,0.32944737990178047,6.6029081951169895
synthetic,Zstd,frequency,"(0)|(2)|(1,3)",Non-HClust,4.3259,7.4971,9.0117,9.8663,1.6652355138730819,0.0646832595030197,4.3259,7.9581,0.4610000000000003,0.0,1.755679382768967,1.9077782952957616,1.9449192782526117,4.325862347412751,0.0,7.4971,0.0,0.26500319616718215,0.6280896690996389,2.0453848647557624,5.51750552746527
synthetic,Zstd,frequency,"(0,1)|(2)|(3)",Non-HClust,4.3259,8.0182,9.9121,10.4859,1.492686879496584,0.0646832595030197,4.3259,7.9581,-0.060100000000000264,0.0,1.755679382768967,1.8849516797054764,1.9284369114877589,4.32586234741275,0.0,8.0182,0.0,2.2452849607042467,0.34014849335666997,2.3397010981281734,6.03294463788322
synthetic,Zstd,frequency,"(1)|(0,2)|(3)",HClust,4.3259,7.726,9.0952,9.8903,1.9513515950002236,0.0646832595030197,4.3259,7.9581,0.23209999999999997,0.0,1.755679382768967,1.9439962031324158,1.9458432304038005,4.325862347412748,0.0,7.726,0.0,0.1779537965439872,1.5921293554047644,2.5250762903732507,5.39838714807372
synthetic,Zstd,frequency,"(1)|(2)|(0,3)",Non-HClust,4.3259,8.0137,10.2402,11.3981,0.9201556961470738,0.0646832595030197,4.3259,7.9581,-0.055600000000000094,0.0,1.755679382768967,1.7909925666812418,1.9348134152102032,4.325862347412748,0.0,8.0137,0.0,2.8383774560128843,0.22065206983284144,1.3826181662375623,6.348947333760151
synthetic,Zstd,frequency,(0)|(1)|(2)|(3),HClust,4.3259,7.5101,9.0361,9.8832,1.850259145389184,0.0646832595030197,4.3259,7.9581,0.4479999999999995,0.0,1.755679382768967,1.9284369114877589,1.9284369114877589,4.325862347412751,0.0,7.5101,0.0,,inf,2.405465523881886,5.258050555786591
