dataset name,original size,type width,Dimension,decomposition,chunk no,standard rle compressed size (B),decomposed rle col-order (B),decomposed rle row-order (B),reordered rle col-order (B),reordered rle row-order (B),standard rle ratio,decomposed rle col-order ratio,decomposed rle row-order ratio,reordered rle col-order ratio,reordered rle row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
tpcds_store_f32,276515948,4,69128987,"( (0,1,2,), (3,), )",-1,476873340,452648820,478748324,452648820,478748324,0.5798519749499941,0.6108840579767777,0.5775810256413556,0.6108840579767777,0.5775810256413556,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,), (2,), (3,), )",-1,134198596,118552330,118562890,118552326,118562886,0.811668372447056,0.9187905121729788,0.9187086785755644,0.9187905431733158,0.9187087095703794,5.042772772476182,15.610157432140957,"(5.873658118792151,5.848377653907704,2.5753971984127237,)","(4222826,2111413,2111413,)","(4.700492512464293e-06,9.400985024928585e-06,1.2118457258697003e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,), (3,), )",-1,140199412,111259730,110497106,111259730,110497106,0.6724830201142356,0.8474020564313791,0.8532506181655111,0.8474020564313791,0.8532506181655111,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,435898368,36501538,37021574,36501538,37021574,1.258225752292791,15.025628563925167,14.81456601494037,15.025628563925167,14.81456601494037,0.4315108357640763,0.9739236092928496,"(0.5091312211111184,0.32119139338557945,0.07610796606032028,)","(6138,1025,12314,)","(6.223502798682467e-07,3.2527526346238833e-06,2.9172669368824065e-08,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,824337092,816751498,814810538,816751496,814810536,0.5143290725537315,0.519105912922366,0.5203424750012253,0.5191059141935138,0.5203424762784363,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
spitzer_irac_f32,164989532,4,41247383,"( (0,1,), (2,), (3,), )",-1,312937210,245429700,245434428,245429700,245434428,0.5272288712486444,0.6722476212129176,0.6722346711684638,0.6722476212129176,0.6722346711684638,6.089824527657722,24.994043660228744,"(7.133140549288577,7.111149909267116,2.9818671027866155,)","(1237576,618788,618788,)","(3.103227179285532e-06,6.206454358571064e-06,9.94002455864897e-07,)"
hdr_night_f32,496979108,4,124244777,"( (0,3,), (1,), (2,), )",-1,668688912,671482086,289057846,671482086,289057846,0.7432142197686089,0.7401226605470455,1.7193067577207366,0.7401226605470455,1.7193067577207366,2.7782518236243723,9.003133228991947,"(1.8884911511893265,2.280281367782436e-07,7.336024764090699,)","(119,124244776,59,)","(9.255922283155613e-08,1.609725614461846e-08,2.044351530366544e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,1,2,), (3,), )",-1,161094588,147877642,149868154,147877642,149868154,0.53605038550395,0.5839612725228605,0.5762052423759086,0.5839612725228605,0.5762052423759086,6.10062400335439,17.32971012097464,"(7.127900687388179,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
jw_mirimage_f32,169082876,4,42270719,"( (0,1,2,), (3,), )",-1,336597932,256936110,249612900,256936110,249612900,0.5023289210226045,0.6580736199361,0.6773803597490354,0.6580736199361,0.6773803597490354,6.659449871285273,23.163615334796823,"(7.9895721521785426,2.6690830286054634,)","(69,1023,)","(2.018733897886462e-06,7.333681738415663e-07,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,), (2,), (3,), )",-1,31237514,23751782,23744908,23751782,23744908,0.7687970303910868,1.0110949991036462,1.0113877046817783,1.0110949991036462,1.0113877046817783,4.889876994383939,15.0417856625863,"(6.1252633873909055,5.982073298937283,1.3269079038166607,)","(48130,24065,24065,)","(2.131973489575899e-05,4.263946979151798e-05,2.1652855753505223e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,2,), (3,), )",-1,322110188,295692008,299487372,295692008,299487372,0.5364731773091262,0.584403606877329,0.5769975369779531,0.584403606877329,0.5769975369779531,6.100469639298032,17.407346762848366,"(7.119602856803012,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
