dataset name,original size,type width,Dimension,decomposition,chunk no,standard zstd compressed size (B),decomposed zstd col-order (B),decomposed zstd row-order (B),reordered zstd col-order (B),reordered zstd row-order (B),standard zstd ratio,decomposed zstd col-order ratio,decomposed zstd row-order ratio,reordered zstd col-order ratio,reordered zstd row-order ratio,WE,entropy word,entropy list,max rep,unique ratio
nyc_taxi2015_f64,713943208,8,89242901,"( (6,3,5,), (4,), (2,1,0,7,), )",-1,244549141,259451487,289681780,259455899,289683234,2.9194263577478687,2.751740667418106,2.4645775374619694,2.7516938745724957,2.4645651670679705,4.324239815248457,13.17162510588812,"(5.481604227553649,6.636237867126102,2.878216993050152,)","(36,16,51,)","(9.561918357330555e-07,2.8685755071991664e-06,1.372658201687101e-07,)"
tpcds_store_f32,276515948,4,69128987,"( (0,1,2,), (3,), )",-1,198662549,180751537,177867887,180754254,177870779,1.391887647631059,1.5298124297554383,1.554614228930487,1.5297894344439606,1.554588952466442,5.748979459390979,16.143733431754548,"(6.575990475290375,3.2679464116927917,)","(17,17,)","(1.234407403269678e-06,3.47177082169597e-07,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,), (2,), (3,), )",-1,62023430,56343911,56372859,56342572,56371510,1.7561872344048048,1.9332125524619688,1.932219829404076,1.93325849590253,1.932266068444858,5.042772772476182,15.610157432140957,"(5.873658118792151,5.848377653907704,2.5753971984127237,)","(4222826,2111413,2111413,)","(4.700492512464293e-06,9.400985024928585e-06,1.2118457258697003e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,1,), (2,), (3,), )",-1,114959253,147611809,163384891,147604523,163377441,2.6744501897554955,2.082846881173308,1.8817700591421271,2.0829496938925103,1.8818558677265609,6.530262737580598,13.946521816014164,"(7.842292208536222,7.745672343345188,2.6907941899047594,)","(17572,33940,3843160,)","(1.6652962882796486e-06,3.3305925765592972e-06,1.8214178153058656e-07,)"
rsim_f32,94281724,4,23570431,"( (0,1,2,), (3,), )",-1,63568746,52219269,49929422,52219357,49929460,1.4831458842998098,1.8054968176593968,1.8882999286472812,1.8054937750382487,1.8882984915118248,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,1,2,3,4,5,), (6,), (7,), )",-1,18361175,16248974,16582950,16248100,16582139,29.8705585018388,33.75342664712246,33.07364202388598,33.755242274481326,33.07525959105758,0.4315108357640763,0.9739236092928496,"(0.5091312211111184,0.32119139338557945,0.07610796606032028,)","(6138,1025,12314,)","(6.223502798682467e-07,3.2527526346238833e-06,2.9172669368824065e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,2,), (3,), )",-1,396758093,373405191,462796863,373405466,462797466,2.419047850398857,2.570336018708428,2.0738619656546806,2.570334125746301,2.073859263525008,4.644267738880147,8.874978624777324,"(5.289953752143372,2.707209699090472,)","(12,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
num_brain_f64,141839992,8,17729999,"( (2,1,3,4,0,5,), (6,), (7,), )",-1,133224981,112111822,112111822,112112001,112112001,1.0646651321346408,1.2651653453638458,1.2651653453638458,1.2651633253785204,1.2651633253785204,6.842672078654806,23.97113850512074,"(7.999992807990483,6.736902658160885,0.004517123134661802,)","(6,131,2251777,)","(2.406467516815239e-06,1.426960035361536e-05,2.2560632970142864e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (3,1,2,), (0,), (4,), (6,), (5,), (7,), )",-1,338524987,391582639,485406695,391601401,485426570,2.333419837041453,2.0172521489135784,1.6273383291509813,2.017155500421716,1.6272717004345272,4.869332253026488,16.737580058802433,"(4.511941708795059,4.511938173731601,5.0850299249148065,7.339509627507235,7.667878585054632,0.8144765866184515,)","(63,21,16,5,12,50,)","(8.43966338638894e-08,2.531899015916682e-07,2.592664592298682e-06,2.592664592298682e-06,2.592664592298682e-06,5.0637980318333636e-08,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (1,2,), (3,), )",-1,294448600,274450146,266628981,274462805,266648059,1.439913560465222,1.5448362414061168,1.5901517172283683,1.5447649891940731,1.5900379458603149,5.721930374013265,14.055260454263976,"(4.713662798439065,7.3411752890928055,3.4917081194283854,)","(6,8,12,)","(7.736204265152439e-07,1.2076026169994051e-06,2.2642549068738846e-07,)"
