dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),reordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),reordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),reordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),reordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),reordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),reordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),reordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,5514869,7052810,7052810,4982742,4431126,4363764,4681941,4330936,4429315,4099080,2942629,2958398,6943967,7138417,7241687,7220102,6794196,6975207,21565568,19634326,19613524,3.693217217321177,9.429035680985953,"(2.319201665715632,2.4822241922207766,7.4892188191275215,)","(3002,3,3002,)","(1.7203857104762889e-06,2.9246557078096907e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,6411175,7052810,7052810,5318860,4362212,4363764,5072197,4429314,4429315,3842358,2958489,2958398,8071637,7240394,7241687,8169529,6977347,6975207,21928136,19622230,19613524,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,6047611,7052810,7052810,4774448,4846643,4363764,4594985,4837606,4429315,3056553,2932171,2958398,7482113,7364179,7241687,7884734,7309911,6975207,16879508,23163792,19613524,4.018661944469156,9.429035680985953,"(0.645780129371529,5.1429558828350315,)","(5505,12,)","(4.473002847238351e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,6047611,7052810,7052810,4371502,4362212,4363764,4187977,4429314,4429315,3046115,2958489,2958398,6991856,7240394,7241687,6587179,6977347,6975207,14150934,19622230,19613524,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(12,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,5755889,7052810,7052810,4120050,4431126,4363764,4069690,4330936,4429315,3122446,2942629,2958398,7008950,7138417,7241687,7250299,6794196,6975207,18822210,19634326,19613524,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,5991217,7052810,7052810,4205443,4431636,4363764,3804904,4330936,4429315,3207632,2943568,2958398,5597048,7130917,7241687,6671079,6780044,6975207,19259662,19635798,19613524,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,6047611,7052810,7052810,4353252,4407998,4363764,4186947,4291780,4429315,3008293,2919931,2958398,6996645,6904538,7241687,6601354,6787314,6975207,14143056,19613958,19613524,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(13,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,5514869,7052810,7052810,4981882,4848982,4363764,4681941,4834827,4429315,4099380,2959243,2958398,7002403,7338663,7241687,7242873,7299864,6975207,21565568,23163784,19613524,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,6411175,7052810,7052810,5353572,4431126,4363764,5124304,4330936,4429315,3827036,2942629,2958398,8170277,7138417,7241687,8143569,6794196,6975207,21941704,19634326,19613524,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,5991217,7052810,7052810,4205756,4404521,4363764,3806656,4430115,4429315,3208221,2932895,2958398,5590474,7280132,7241687,6672051,7037955,6975207,19259670,19613900,19613524,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
