DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio,compressmethod
astro_mhd_f64,1.86703356618499,0.509849047407247,3.66193400905519,24.5305,28.0493,0.87454945399707,fastlz
astro_pt_f64,7.35564322780817,7.99999167638246,0.919456360126406,0.977665,1.22479,0.798230717102524,fastlz
jane_street_f64,7.40225374439544,7.95763867116192,0.930207320322401,1.01527,1.07234,0.946779939198388,fastlz
msg_bt_f64,7.49125179627472,7.81926214991296,0.958050983922838,1.05261,1.26994,0.82886593067389,fastlz
num_brain_f64,7.2178111468223,7.99996469732756,0.902230374745711,0.980522,1.16926,0.838583377520825,fastlz
num_control_f64,7.789779193443,7.99829232450246,0.973930293792753,0.988413,1.06877,0.924813570740197,fastlz
nyc_taxi2015_f64,6.21605393149595,6.63657791635643,0.93663541810847,1.73918,1.75957,0.988411941553902,fastlz
phone_gyro_f64,6.90181957463157,5.23825228820112,1.31758059652406,1.73219,1.65403,1.04725428196587,fastlz
tpch_order_f64,7.07231149296515,7.8554310951242,0.900308513603394,1.37696,1.45278,0.947810404878922,fastlz
tpcxbb_store_f64,6.71102499148405,4.4988912839621,1.49170641562464,1.61791,1.8139,0.891951044710293,fastlz
tpcxbb_web_f64,6.79888054566838,4.5752657022978,1.48600780546009,1.57021,1.77766,0.883301643733897,fastlz
wesad_chest_f64,6.7876440781629,3.54370795351252,1.91540729857126,2.23378,2.30032,0.971073589761424,fastlz
acs_wht_f32,6.44260130394359,7.41259708328581,0.869142249545791,1.15168,1.42623,0.807499491666842,fastlz
citytemp_f32,4.81012450262278,2.3192002101749,2.07404452686732,1.79381,2.01449,0.890453663210043,fastlz
g24_78_usb2_f32,7.36403617092632,7.8301996171917,0.940465956290324,0.97198,1.09654,0.886406332646324,fastlz
hst_wfc3_ir_f32,5.41083271802038,6.12493611586909,0.883410474111142,1.49407,1.89559,0.788182043585374,fastlz
hst_wfc3_uvis_f32,5.46716609544466,5.87369495817898,0.930788223489842,1.57092,1.77006,0.887495339141046,fastlz
jw_mirimage_f32,7.36873406345358,7.99765396028928,0.921361951897585,0.981489,1.25583,0.781546069133561,fastlz
rsim_f32,6.31840620325326,6.75149322010431,0.935853150890913,1.3117,1.59132,0.82428424201292,fastlz
solar_wind_f32,6.77188867758311,4.66984601308276,1.45013104470927,1.13184,1.22522,0.923785116142407,fastlz
spitzer_irac_f32,6.90610610138057,7.13216250196335,0.968304648061433,0.97154,1.07543,0.903396780822555,fastlz
tpcds_catalog_f32,6.76022046270766,4.53381357368637,1.49106714531516,1.07194,1.15224,0.930309657710199,fastlz
tpcds_store_f32,6.34553546804537,4.24146006432526,1.49607337374632,1.16353,1.22174,0.95235483818161,fastlz
tpcds_web_f32,6.76217061413825,4.53947592975861,1.48963684768295,1.07204,1.15248,0.930202693322227,fastlz
tpch_lineitem_f32,5.31237619364111,3.50894908837986,1.51395077552804,1.60914,1.47417,1.09155660473351,fastlz
ts_gas_f32,7.26500109980205,7.75690510298577,0.93658501726489,1.84017,1.81937,1.0114325288424,fastlz
turbulence_f32,7.27129843224274,7.99997864266439,0.908914730529959,0.972216,1.14284,0.850701760526408,fastlz
wave_f32,7.55178876404903,7.99999248808574,0.943974481888051,1.06185,1.48378,0.715638436965049,fastlz
acs_wht_f32,6.56999710719202,5.60889298493984,1.17135362090751,1.16632,1.47417,0.791170624826173,lz4
citytemp_f32,4.20202424598584,2.3192002101749,1.81184195635656,1.97365,1.98893,0.992317477236504,lz4
g24_78_usb2_f32,7.59139064784991,7.99999805376552,0.94892406183483,0.996261,1.13566,0.877252874980188,lz4
hdr_night_f32,5.53313014184413,4.96790359078644,1.11377566829316,2.1782,3.11889,0.698389491133063,lz4
hdr_palermo_f32,4.46430951944684,2.55282386728801,1.74877302608013,2.39076,3.84444,0.621874707369604,lz4
hst_wfc3_ir_f32,5.79417444756258,6.12523590967079,0.945951230778636,1.52645,1.95616,0.780329829870767,lz4
hst_wfc3_uvis_f32,5.60870921951795,5.87371046267436,0.954883502542318,1.61038,1.82314,0.883300240244852,lz4
jw_mirimage_f32,7.6024766366462,7.99912471115211,0.950413565380108,0.998813,1.31677,0.758532621490465,lz4
rsim_f32,6.45935930741339,6.75155517018537,0.956721695164055,1.35789,1.72923,0.785257021911487,lz4
solar_wind_f32,6.03544227102422,4.54209584851231,1.32877915224996,1.34268,1.24367,1.079611150868,lz4
spitzer_irac_f32,6.99236158396916,7.13425922827767,0.980110388511525,0.996218,1.10105,0.904789064983425,lz4
tpcds_catalog_f32,6.06359858237344,4.51296870978944,1.34359419980476,1.11292,1.18991,0.935297627551663,lz4
tpcds_store_f32,5.68625738055737,4.24060102170153,1.34090836451192,1.25281,1.30548,0.959654686398872,lz4
tpcds_web_f32,6.06769008373736,4.51874242934817,1.34278290444906,1.11312,1.19052,0.934986392500756,lz4
