0,1,2
"1.220868272416055,0.9481487032035711,0.7576062018982026,0.4704313429296183,0.14075813447961458","4.558326310126596,2.561632813071842,0.9654370617101117,0.3612788475255759,0.13354425976598752","6.129618645854111,3.6505575232794265,1.2992899216437888,0.3090803483132277,0.18231026389126825"
"1.2238722917403713,0.9443908967006873,0.7526215532187258,0.4704907687361258,0.14731878834735385","4.546314337227703,2.4953010314098885,0.987063898623237,0.35675773467128646,0.14460983318140636","6.046966308727013,3.582197691366924,1.3456810880317323,0.3331057857974823,0.16116599170930287"
"1.223245961419319,0.9494203750800447,0.7498447723266636,0.4657515080988747,0.1516115013930506","4.5571392190044016,2.4955804683215606,0.9847305815939802,0.37208212094633863,0.1590323850186753","6.129275736154213,3.630027948649121,1.2632542400260973,0.33069262299081226,0.22350852825453035"
"1.2327884896662256,0.9537783612555628,0.7482591302147715,0.4634119522645011,0.13735213756072845","4.59625139254354,2.52533276195611,0.9002861734810989,0.361311383251557,0.1504682357141356","6.175740465784462,3.6330290050830447,1.0971782252744176,0.3166213147155678,0.21510597581731994"
"1.2139700482581932,0.9509193522224446,0.7445756568610686,0.4849946707200007,0.14603155253492972","4.602435312057397,2.535463537661206,0.8714114163441855,0.36978595911435497,0.16271781909952332","6.177181400436043,3.6534137010305283,1.0448634526808782,0.28161354706941605,0.20434631970643213"
"1.2352092722296932,0.9427705415864815,0.7559213769953772,0.47072818665890165,0.13648750369119608","4.634074101332035,2.544277164786037,0.9782413513759933,0.3874580546063976,0.14916268476318487","6.165465344515991,3.631010095355698,1.1659973136201072,0.34230100816343806,0.24868401760317793"
"1.2295126733153432,0.9400543721627672,0.7569432351270137,0.46286388965142866,0.14581411192844554","4.5544744312418475,2.482708621810037,1.0011701851372492,0.350549228222428,0.11221555904947311","6.0036970305951405,3.4812573041746044,1.2854357560645204,0.36721242269470755,0.22440906569552718"
"1.2218097841343418,0.9536466977821956,0.7499957759254895,0.47405418454278725,0.13947713802050676","4.553874246749675,2.5170694162160427,1.0224688665136634,0.3657110773452234,0.1441667593817684","6.071149745656334,3.709154826569638,1.3310069700739129,0.32003268678804647,0.2047396193080361"
"1.231619172504757,0.9506459781879023,0.745490459396393,0.46328029020903005,0.14502421814661448","4.627021993313363,2.571076783511002,0.966933894466341,0.37577867754399524,0.16170260538647604","6.188654135100747,3.7176667379436728,1.3339883003008335,0.30745395244827994,0.18900255204473135"
"1.2270860589595636,0.9612145350623242,0.7414791099112807,0.4691526215373979,0.13633965541628695","4.542592361082241,2.5287207833789096,1.0561700378925891,0.3740216915847485,0.14957871484586413","6.106489928636248,3.641862876219972,1.3992563324362661,0.3443890693537132,0.19982277573017532"
"1.2203929456326743,0.9543959810868082,0.7379764561525037,0.476601770868029,0.14513283253300757","4.571313744046764,2.578282776378219,1.0101242060930273,0.357709848985898,0.13655368863964218","6.149351833212465,3.7364622771667366,1.3241683896386025,0.2853131760124796,0.16209053851176128"
"1.2187902554336054,0.9547719871388816,0.7467289974785936,0.4689324572539695,0.14760999727731672","4.551152484252756,2.530373917070426,0.9402700383924965,0.3689654392108163,0.1512586213955865","6.096301405198124,3.6546803730368036,1.3021781412089792,0.29645526325754135,0.19965502845209024"
"1.2255792472181637,0.9564507399212515,0.7437606319939222,0.4664421834615095,0.142943092698741","4.5935241756473095,2.568216732137604,0.9748749977049959,0.37783140001272814,0.15704539835830297","6.124611565618986,3.7677374539420074,1.31370373996253,0.323523226484478,0.21973016093791775"
"1.230113872127493,0.9501836472846512,0.7444192332951632,0.46716936497627926,0.14751096767822347","4.601848873207686,2.5644180643071723,1.000676030505255,0.38698116857350057,0.17288666674952285","6.150112807212432,3.726114226934514,1.3405315840657501,0.3442443974652107,0.24032027958293586"
"1.210948545593231,0.9510721777239319,0.7473943118270291,0.4717354456575306,0.15113413598041742","4.627626688348361,2.5633173746886557,0.9203704292523669,0.3901014888311915,0.17813026942803858","6.214319878614099,3.735678551328061,1.1460452178280303,0.3356773459633894,0.2533673415519734"
"1.2229203432631768,0.9551326132869787,0.7501854994740303,0.46785710153703214,0.14222506294311552","4.603550089938694,2.544934879746056,0.9570536145160187,0.3721186239550003,0.15592600887112198","6.088335317212863,3.7079600599337006,1.3356433337922606,0.34817496596729297,0.24895997819584323"
