DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio
astro_mhd_f64,1.4811828892632861,0.5098904646406489,2.9049040764219165,29.8708,33.1147,0.902040483531483
astro_pt_f64,7.6511603632762775,7.999990712070593,0.9563961557770322,1.04672,1.31397,0.7966087505803024
jane_street_f64,7.6659965461792945,7.938957265852331,0.9656175602749348,1.13773,1.17903,0.9649712051432109
msg_bt_f64,7.565735872645673,7.827801037137352,0.9665212282161535,1.12607,1.33977,0.8404950103375952
num_brain_f64,7.502112859353023,7.999966675789587,0.9377680137164539,1.06467,1.228,0.8669951140065146
num_control_f64,7.785477574542744,7.998377109713435,0.9733821583740856,1.05807,1.14723,0.9222823670929108
nyc_taxi2015_f64,4.908484420023466,2.4037171195229186,2.042039131874921,2.92776,2.69072,1.0880953796753288
phone_gyro_f64,7.46021053573337,7.714094713650337,0.9670882731751126,3.62839,2.51904,1.4403860200711383
tpch_order_f64,6.7061982260038695,4.6438518357549,1.444102538838584,1.83593,2.08383,0.881036360931554
tpcxbb_store_f64,6.025990953367246,4.497986955176681,1.3397084103216446,2.33342,2.5225,0.9250426164519325
tpcxbb_web_f64,6.110776173270358,4.552178859226498,1.342384902316579,2.22359,2.44126,0.9108370267812523
wesad_chest_f64,4.645564788079865,1.1361839542932082,4.088743526544304,3.34949,3.31358,1.0108372213738614
