DatasetName,FullEntropy,ConditionalEntropy,EntropyRatio,CompRatioFull,CompRatioChunk,CompRatioRatio
acs_wht_f32,6.442601303943592,7.412597083285805,0.8691422495457908,1.36209,1.583,0.8604485154769426
citytemp_f32,4.810124502622784,2.319200210174902,2.074044526867316,2.52974,3.07994,0.8213601563666824
g24_78_usb2_f32,7.3640361709263225,7.830199051497678,0.9404660242344424,1.0818,1.21007,0.8939978678919402
hdr_night_f32,3.567375417482256,2.1193087902809238e-07,16832730.71787422,2.7155,3.63893,0.7462358440530595
hdr_palermo_f32,3.8829975273601316,0.0,,3.19558,4.31136,0.7411999925777482
hst_wfc3_ir_f32,5.410832718020376,6.124936115869094,0.8834104741111425,1.76092,2.00758,0.8771356558642744
hst_wfc3_uvis_f32,5.467166095444656,5.873701331784689,0.9307872134832382,1.74917,1.92688,0.9077731877439176
jw_mirimage_f32,7.368734063453583,7.99763226651808,0.9213644511141921,1.14465,1.37562,0.83209752693331
rsim_f32,6.3184062032532555,6.751485557087945,0.9358542130953642,1.4507,1.77808,0.8158800503914335
solar_wind_f32,6.771888677583109,4.669846013082759,1.4501310447092677,1.58197,1.58144,1.000335137596115
spitzer_irac_f32,6.906106101380569,7.132157993444677,0.9683052601650332,1.07414,1.17487,0.9142628546137019
tpcds_catalog_f32,6.760220462707656,4.533811371452384,1.4910678695796848,1.30091,1.41673,0.9182483606615234
tpcds_store_f32,6.3455354680453695,4.201564565459694,1.5102791755744693,1.44952,1.52033,0.9534245854518426
tpcds_web_f32,6.762170614138251,4.539472311374567,1.489638035062856,1.30122,1.41727,0.9181172253699013
tpch_lineitem_f32,5.312376193641109,3.508949088379861,1.5139507755280426,2.66923,2.58655,1.031965359262338
ts_gas_f32,7.265001099802047,7.756905102985773,0.9365850172648904,2.76821,2.14348,1.29145595013716
turbulence_f32,7.271298432242735,7.999966653008036,0.9089160927325469,1.0917,1.26279,0.8645142897869003
wave_f32,7.551788764049033,7.99999248808574,0.9439744818880507,1.15436,1.65772,0.6963540284245832
