dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,), (2,), )",-1,153059452,142208196,153053689,142202842,164492669,154567145,143290986,154553990,143291618,171892948,6.057199816536112,20.13301168165521,"(7.412636992582531,5.136499047872188,6.543164177817545,)","(412752,825504,412752,)","(4.551111192019755e-06,2.2755555960098774e-06,4.551111192019755e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,2,3,), )",-1,158602085,142205245,158601408,142208130,164492669,177264753,143291174,177265829,143290761,171892948,6.314329084728758,20.13301168165521,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (3,), (1,2,0,), )",-1,148930711,142205227,148930349,142208257,164492669,148015888,143290325,148015201,143289869,171892948,5.787823352476486,20.13301168165521,"(1.2209671386643668,7.310108757080525,)","(412752,1238256,)","(3.022222275950618e-07,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,2,), (3,), )",-1,148930526,142207803,148930853,142208130,164492669,148015559,143290151,148016169,143290761,171892948,5.787823352476486,20.13301168165521,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)","(1.5170370640065849e-06,3.022222275950618e-07,)"
acs_wht_f32,224999996,4,56249999,"( (1,0,), (3,2,), )",-1,149290832,142205306,149289855,142202842,164492669,152605522,143290631,152604540,143291618,171892948,6.056327652296524,20.13301168165521,"(7.4126226209859425,4.7000326836071045,)","(825504,825504,)","(2.2755555960098774e-06,2.2755555960098774e-06,)"
acs_wht_f32,224999996,4,56249999,"( (0,1,3,), (2,), )",-1,157643951,142208622,157638326,142202997,164492669,178347707,143291229,178347335,143290857,171892948,6.207329322916049,20.13301168165521,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)","(1.5170370640065849e-06,4.551111192019755e-06,)"
acs_wht_f32,224999996,4,56249999,"( (2,1,0,), (3,), )",-1,148930809,142208604,148931136,142208931,164492669,148014881,143290380,148015491,143290990,171892948,5.787823352476486,20.13301168165521,"(7.310108757080525,1.2209671386643668,)","(1238256,412752,)","(1.5170370640065849e-06,3.022222275950618e-07,)"
acs_wht_f32,224999996,4,56249999,"( (0,), (2,), (1,3,), )",-1,153060549,142208196,153055641,142205474,164492669,154566531,143290986,154561711,143291193,171892948,6.057232041763019,20.13301168165521,"(7.412603678883616,6.543164177817545,5.136580155175457,)","(412752,412752,825504,)","(4.551111192019755e-06,4.551111192019755e-06,2.2755555960098774e-06,)"
acs_wht_f32,224999996,4,56249999,"( (1,), (0,3,2,), )",-1,158649845,142207640,158651719,142202842,164492669,177266315,143289680,177266999,143291618,171892948,6.314329084728758,20.13301168165521,"(7.412636992582531,5.9482264487775005,)","(412752,1238256,)","(4.551111192019755e-06,1.5170370640065849e-06,)"
acs_wht_f32,224999996,4,56249999,"( (3,0,1,), (2,), )",-1,157667377,142208369,157661752,142202744,164492669,178349303,143291399,178348931,143291027,171892948,6.207329322916049,20.13301168165521,"(6.095384371282217,6.543164177817545,)","(1238256,412752,)","(1.5170370640065849e-06,4.551111192019755e-06,)"
