dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
astro_mhd_f64,548458552,8,68557319,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,103716487,103716487,114797588,114797588,114797588,18371769,16575815,18372198,16589038,18361175,20157005,19255612,20158082,19257774,19608448,19221772,16165505,19220951,16231337,18685168,45705501,43794540,45703999,43795838,44542185,23909222,23163096,23909063,23162594,22046014,568736064,37021574,568736064,37021574,435898368,1.126913787155921,0.9739236092928497,"(0.5098941791878416,1.1421100179033516,1.3974330142713836,)","(1023,4,5,)","(3.7341016792094804e-06,7.468203358418961e-07,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (6,2,1,5,0,3,), (4,7,), )",-1,103964346,103964346,114797588,114797588,114797588,18149415,16578612,18145296,16576917,18361175,19685805,19257213,19685653,19255876,19608448,18314086,16210678,18315940,16202164,18685168,45255581,43794999,45251785,43791699,44542185,22992612,23161473,22992014,23165124,22046014,568059104,37021574,568059104,37021574,435898368,1.159536099753195,0.9739236092928497,"(1.1155846117276773,1.2913905638297483,)","(6,5,)","(6.223502798682467e-07,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,94781721,94781721,114797588,114797588,114797588,17705446,16577417,17712066,16589253,18361175,19240406,19255497,19244024,19257410,19608448,18039709,16208444,18133827,16135741,18685168,43813263,43795915,43814096,43795844,44542185,22235409,23163708,22233917,23162292,22046014,301311636,37021574,301311636,37021574,435898368,0.8744064162959883,0.9739236092928497,"(0.5099219101399022,0.07610796606032028,1.1798654549959684,0.5098941791878416,)","(1023,12314,4,1023,)","(3.7341016792094804e-06,2.9172669368824065e-08,7.468203358418961e-07,3.7341016792094804e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,), (7,6,1,3,4,2,5,), )",-1,114175254,114175254,114797588,114797588,114797588,18543182,16577511,18543656,16593582,18361175,19997937,19254671,19998372,19256988,19608448,18502877,16120218,18503573,16153225,18685168,45071246,43795820,45066766,43796052,44542185,22942305,23164460,22941821,23163192,22046014,436577560,37021574,436577560,37021574,435898368,1.4260872740555095,0.9739236092928497,"(0.5098989631296635,1.5569713184734877,)","(1023,5,)","(3.7341016792094804e-06,5.334430970299258e-07,)"
astro_mhd_f64,548458552,8,68557319,"( (2,7,6,), (4,0,3,5,1,), )",-1,110755096,110755096,114797588,114797588,114797588,17784684,16588231,17784714,16587478,18361175,19158203,19256929,19158664,19257032,19608448,17097727,16134502,17085633,16093539,18685168,44826669,43793849,44823765,43796800,44542185,22487898,23160631,22487919,23163079,22046014,438750306,37021574,438750306,37021574,435898368,1.0209177948037218,0.9739236092928497,"(1.8741794043248636,0.5089608290910368,)","(4,5115,)","(1.2447005597364934e-06,7.468203358418961e-07,)"
astro_mhd_f64,548458552,8,68557319,"( (4,6,1,3,0,), (2,7,5,), )",-1,104230803,104230803,114797588,114797588,114797588,18205654,16583117,18206435,16584647,18361175,19807703,19257863,19807698,19258045,19608448,18730134,16192043,18740867,16195462,18685168,45493642,43794576,45493669,43792781,44542185,23397134,23160533,23397423,23167253,22046014,568824048,37021574,568824048,37021574,435898368,1.2180444965413435,0.9739236092928497,"(1.1807898373360781,1.2801355952167859,)","(4,6,)","(7.468203358418961e-07,1.2447005597364934e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,94993342,94993342,114797588,114797588,114797588,17841784,16583554,17839977,16575618,18361175,19368229,19257480,19368553,19257794,19608448,18191216,16120750,18201648,16159011,18685168,44751114,43789574,44746932,43792751,44542185,22305364,23165227,22305715,23166674,22046014,302713032,37021574,302713032,37021574,435898368,0.9175123792770484,0.9739236092928497,"(0.32119139338557934,0.5099568023064694,1.0848251397540565,)","(1025,1023,5,)","(3.2527526346238833e-06,3.7341016792094804e-06,6.223502798682467e-07,)"
astro_mhd_f64,548458552,8,68557319,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,103540566,103540566,114797588,114797588,114797588,17378120,16580360,17377764,16577771,18361175,20029787,19255974,20029919,19255274,19608448,18489872,16205404,18764487,16246343,18685168,46032914,43793706,46032208,43795557,44542185,24414633,23162848,24415099,23165067,22046014,569737596,37021574,569737596,37021574,435898368,1.1133300474970569,0.9739236092928497,"(1.2817690628185034,0.5098403516056771,1.3472174961031973,)","(4,2046,5,)","(1.2447005597364934e-06,1.8670508396047402e-06,1.2447005597364934e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,103068353,103068353,114797588,114797588,114797588,17168848,16588613,17169075,16586168,18361175,19875933,19256671,19876246,19255918,19608448,18036554,16137992,18044935,16160372,18685168,45929669,43792263,45928468,43792395,44542185,24191152,23164366,24192775,23163484,22046014,569880836,37021574,569880836,37021574,435898368,1.0206428425423744,0.9739236092928497,"(0.5083180762667159,1.3974585183743562,1.2817571582633782,)","(3069,5,5,)","(1.2447005597364934e-06,1.8670508396047402e-06,1.2447005597364934e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,103392394,103392394,114797588,114797588,114797588,17974351,16582408,17973104,16584968,18361175,19688554,19254446,19689247,19258213,19608448,18533539,16149473,18544189,16296090,18685168,45373920,43793970,45376510,43793254,44542185,23927407,23163351,23923302,23166704,22046014,569412988,37021574,569412988,37021574,435898368,1.0815929093285295,0.9739236092928497,"(0.5099568023064694,0.5098941791878416,1.2107445474723662,1.3949570516222298,)","(1023,1023,3,21,)","(3.7341016792094804e-06,3.7341016792094804e-06,9.335254198023701e-07,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (6,), (1,0,), (4,7,5,2,3,), )",-1,94674364,94674364,114797588,114797588,114797588,17508106,16586424,17507776,16588627,18361175,19370153,19257693,19369982,19256802,19608448,17952691,16146142,18093771,16134441,18685168,44472230,43794318,44468663,43791309,44542185,22522111,23160110,22520999,23167244,22046014,303354820,37021574,303354820,37021574,435898368,0.8814414496057015,0.9739236092928497,"(0.32119139338557934,0.5099123803510902,1.1421030885515706,)","(1025,2046,4,)","(3.2527526346238833e-06,1.8670508396047402e-06,7.468203358418961e-07,)"
astro_mhd_f64,548458552,8,68557319,"( (4,), (0,6,2,), (3,7,5,1,), )",-1,103873582,103873582,114797588,114797588,114797588,18517091,16589199,18516276,16593405,18361175,20118529,19258195,20119314,19256563,19608448,19485049,16232349,19492670,16126276,18685168,46138014,43794738,46139539,43790077,44542185,24415935,23160158,24416288,23167833,22046014,569521884,37021574,569521884,37021574,435898368,1.1743260309492505,0.9739236092928497,"(0.509716938700212,1.3488298903723916,1.2096004094441544,)","(1023,4,3,)","(3.7341016792094804e-06,1.2447005597364934e-06,9.335254198023701e-07,)"
astro_mhd_f64,548458552,8,68557319,"( (2,3,), (0,6,5,), (4,), (1,7,), )",-1,102944744,102944744,114797588,114797588,114797588,17659482,16585744,17653161,16589636,18361175,20451319,19256844,20451188,19255183,19608448,18035160,16118087,18141354,16138461,18685168,46428382,43794596,46426273,43792432,44542185,24825464,23159561,24826939,23164766,22046014,570409036,37021574,570409036,37021574,435898368,1.0192776503578131,0.9739236092928497,"(0.5099276784917496,1.3472170569581097,0.509716938700212,1.2914988681522328,)","(2046,5,1023,5,)","(1.8670508396047402e-06,1.2447005597364934e-06,3.7341016792094804e-06,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (0,), (1,6,5,), (3,7,4,2,), )",-1,103870652,103870652,114797588,114797588,114797588,18400532,16583948,18399573,16585196,18361175,20108958,19257403,20109497,19257765,19608448,19384457,16219429,19398380,16176662,18685168,46049743,43795112,46051292,43789831,44542185,24291784,23160062,24292176,23167868,22046014,569504412,37021574,569504412,37021574,435898368,1.1743149512646889,0.9739236092928497,"(0.5098989631296635,1.3472317389265178,1.2107313575520735,)","(1023,4,4,)","(3.7341016792094804e-06,1.2447005597364934e-06,9.335254198023701e-07,)"
astro_mhd_f64,548458552,8,68557319,"( (2,5,), (6,0,), (1,4,), (7,3,), )",-1,102472305,102472305,114797588,114797588,114797588,17535486,16579603,17529683,16584288,18361175,20384829,19255276,20385400,19258024,19608448,17411927,16126764,17620859,16213086,18685168,46405374,43794583,46400911,43792163,44542185,24720015,23162593,24719321,23167505,22046014,570642434,37021574,570642434,37021574,435898368,0.9265781403996838,0.9739236092928497,"(0.5075772839631127,1.3974330142713836,0.5098224660427269,1.2914797973215115,)","(2046,5,2046,5,)","(1.8670508396047402e-06,1.8670508396047402e-06,1.8670508396047402e-06,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (3,7,6,), (0,4,1,), (5,2,), )",-1,110755642,110755642,114797588,114797588,114797588,17095313,16584533,17093581,16585894,18361175,19733570,19256966,19734387,19256963,19608448,16699687,16103534,17173996,16109994,18685168,45527723,43794619,45526423,43795977,44542185,23445290,23160444,23446447,23162608,22046014,439009894,37021574,439009894,37021574,435898368,1.0209072914980657,0.9739236092928497,"(1.8741850688539274,0.5098495191655059,0.5075772839631127,)","(4,3069,2046,)","(1.2447005597364934e-06,1.2447005597364934e-06,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (6,), (5,1,7,0,2,), (4,3,), )",-1,94674795,94674795,114797588,114797588,114797588,17499732,16586230,17499715,16577993,18361175,19376991,19256542,19377957,19257268,19608448,17969715,16080750,18162164,16126573,18685168,44465340,43792645,44464647,43792960,44542185,22518785,23164547,22518330,23161651,22046014,303337848,37021574,303337848,37021574,435898368,0.8814444327870121,0.9739236092928497,"(0.32119139338557934,1.142149485224725,0.5098083213934463,)","(1025,4,2046,)","(3.2527526346238833e-06,7.468203358418961e-07,1.8670508396047402e-06,)"
astro_mhd_f64,548458552,8,68557319,"( (6,3,), (0,1,5,7,2,), (4,), )",-1,103717073,103717073,114797588,114797588,114797588,18542805,16589940,18543860,16588331,18361175,20222683,19257078,20222566,19256657,19608448,19254406,16085320,19348666,16135323,18685168,45900480,43791613,45901241,43790014,44542185,24046037,23159851,24046951,23167233,22046014,569125354,37021574,569125354,37021574,435898368,1.1269178035955956,0.9739236092928497,"(1.3974390319704633,1.1421494852247251,0.509716938700212,)","(5,4,1023,)","(1.8670508396047402e-06,7.468203358418961e-07,3.7341016792094804e-06,)"
