dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
astro_pt_f64,671088632,8,83886079,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,635966505,635966505,645975344,645975344,645975344,629710165,487927239,629712102,487930189,641165312,624787530,501884866,624787914,501886738,640365184,605489500,468790084,605537048,468776688,648097566,671017059,524532939,671016955,524523344,671120758,671021571,520289691,671021533,520266040,671129611,1336934618,1053105992,1336934618,1053105992,1337540182,7.53058344280996,26.32192147349563,"(7.999997918943155,7.354909292694348,7.735061580032398,)","(4,4,7,)","(3.0517578488797887e-06,6.103515697759577e-07,1.5258789244398943e-06,)"
astro_pt_f64,671088632,8,83886079,"( (6,2,1,5,0,3,), (4,7,), )",-1,622210310,622210310,645975344,645975344,645975344,599497191,487976950,599497665,487995089,641165312,613933104,501883483,613933291,501884046,640365184,584323932,468810386,584323376,468817780,648097566,665492755,524532408,665513858,524536062,671120758,667775980,520305458,667738060,520318798,671129611,1336934374,1053105992,1336934374,1053105992,1337540182,7.39059766663989,26.32192147349563,"(7.963113494826219,5.673050182080898,)","(4,7,)","(5.086263081466314e-07,1.5258789244398943e-06,)"
astro_pt_f64,671088632,8,83886079,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,603214014,603214014,645975344,645975344,645975344,586701385,487940231,586659097,487890561,641165312,583609997,501882897,583611714,501884931,640365184,588065761,468791677,588074706,468724663,648097566,591862280,524548335,591867319,524524139,671120758,589427070,520257674,589427267,520266883,671129611,1171289174,1053105992,1171289174,1053105992,1337540182,7.148100083371617,26.32192147349563,"(7.999997529727685,1.4424191912143047,7.948477205417558,7.999997918943155,)","(4,458,4,4,)","(3.0517578488797887e-06,9.53674327774934e-08,6.103515697759577e-07,3.0517578488797887e-06,)"
astro_pt_f64,671088632,8,83886079,"( (0,), (7,6,1,3,4,2,5,), )",-1,643809477,643809477,645975344,645975344,645975344,639152239,487895879,639152362,487907733,641165312,638211805,501883537,638211392,501884456,640365184,639867435,468795041,639865269,468843784,648097566,671121090,524523197,671121032,524525259,671120758,671129630,520285789,671129611,520265071,671129611,1337552130,1053105992,1337552130,1053105992,1337540182,7.627559352958195,26.32192147349563,"(7.999997780457752,7.574353863315401,)","(4,5,)","(3.0517578488797887e-06,4.359654069828269e-07,)"
astro_pt_f64,671088632,8,83886079,"( (2,7,6,), (4,0,3,5,1,), )",-1,625757250,625757250,645975344,645975344,645975344,594780777,488018997,594780768,487909027,641165312,596150164,501884676,596150211,501885320,640365184,536629270,468812198,536701048,468814460,648097566,658124509,524533983,658124501,524539869,671120758,659252683,520306486,659252664,520251437,671129611,1337542602,1053105992,1337542602,1053105992,1337540182,7.443310664680042,26.32192147349563,"(6.515510091528047,7.9999910085712385,)","(5,4,)","(1.0172526162932628e-06,6.103515697759577e-07,)"
astro_pt_f64,671088632,8,83886079,"( (4,6,1,3,0,), (2,7,5,), )",-1,630330977,630330977,645975344,645975344,645975344,629115894,487980007,629115312,488023740,641165312,626280450,501886106,626279090,501885083,640365184,607323433,468732941,607353838,468737893,648097566,671136365,524550002,671137109,524543645,671120758,671129630,520296513,671129611,520308986,671129611,1336938688,1053105992,1336938688,1053105992,1337540182,7.471982077056655,26.32192147349563,"(7.9487112661262405,6.677433428607346,)","(4,5,)","(6.103515697759577e-07,1.0172526162932628e-06,)"
astro_pt_f64,671088632,8,83886079,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,634506397,634506397,645975344,645975344,645975344,572637109,487903001,572636968,487937727,641165312,572216629,501884995,572216679,501885726,640365184,584383670,468747054,584398455,468741761,648097566,610971238,524550086,610971214,524545823,671120758,610705755,520331877,610705717,520314407,671129611,1220646692,1053105992,1220646692,1053105992,1337540182,7.511555737596156,26.32192147349563,"(7.076691987091616,7.999997679476581,7.502626039033509,)","(317,4,5,)","(3.0517578488797887e-06,3.0517578488797887e-06,5.086263081466314e-07,)"
astro_pt_f64,671088632,8,83886079,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,628981691,628981691,645975344,645975344,645975344,622531597,487944220,622617107,487887909,641165312,622082075,501885269,622081694,501885479,640365184,601123883,468735704,601219616,468794805,648097566,670678121,524527380,670729903,524522392,671120758,670530688,520294206,670539049,520296929,671129611,1336923412,1053105992,1336923412,1053105992,1337540182,7.4555059518374005,26.32192147349563,"(6.6774857633137215,7.999998633472584,7.870531019270955,)","(5,4,5,)","(1.0172526162932628e-06,1.5258789244398943e-06,1.0172526162932628e-06,)"
astro_pt_f64,671088632,8,83886079,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,626798878,626798878,645975344,645975344,645975344,621101755,488014574,621102606,488025927,641165312,616119776,501883382,616120372,501884327,640365184,560560775,468779431,560639753,468807088,648097566,671136361,524545010,671135552,524549896,671120758,671129649,520322177,671129611,520331037,671129611,1336941454,1053105992,1336941454,1053105992,1337540182,7.437795588940055,26.32192147349563,"(7.999975265815288,7.735011889864924,6.677471711448243,)","(5,7,5,)","(1.0172526162932628e-06,1.5258789244398943e-06,1.0172526162932628e-06,)"
astro_pt_f64,671088632,8,83886079,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,632163955,632163955,645975344,645975344,645975344,569258413,487902769,569263404,487927607,641165312,598389044,501884964,598388357,501885137,640365184,554207903,468744782,554263802,468758388,648097566,650897785,524546934,650934359,524536087,671120758,650006972,520308521,649998141,520300916,671129611,1336923618,1053105992,1336923618,1053105992,1337540182,7.491426202759408,26.32192147349563,"(7.999997679476581,7.999997918943155,7.115886578417454,7.733933854992855,)","(4,4,5,29,)","(3.0517578488797887e-06,3.0517578488797887e-06,7.629394622199472e-07,1.5258789244398943e-06,)"
