dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,), (2,), )",-1,4946925,4680411,4957866,4688991,4579600,7109409,6224520,7136732,6235406,7265755,3.693217217321177,9.429035680985953,"(2.319201665715632,2.4822241922207766,7.4892188191275215,)","(3002,3,3002,)","(1.7203857104762889e-06,2.9246557078096907e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,3,), )",-1,5205022,4688685,5218881,4684187,4579600,8708544,6223473,8705920,6231470,7265755,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,), (1,2,0,), )",-1,4701926,4688497,4717090,4684718,4579600,7821598,6201911,7826238,6193623,7265755,4.018661944469156,9.429035680985953,"(0.645780129371529,5.1429558828350315,)","(5505,12,)","(4.473002847238351e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,2,), (3,), )",-1,4300510,4683429,4301684,4684187,4579600,7661857,6234156,7685020,6231470,7265755,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(12,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (3,2,), )",-1,4187877,4690911,4195615,4688991,4579600,6208424,6215552,6222678,6235406,7265755,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,3,), (2,), )",-1,4040902,4683855,4046610,4688976,4579600,7127507,6226784,7155040,6230742,7265755,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,), (3,), )",-1,4296410,4683364,4297596,4684431,4579600,7531102,6201193,7553184,6225928,7265755,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(13,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (1,3,), )",-1,4946452,4680416,4958916,4689553,4579600,7527353,6219102,7525982,6225765,7265755,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,3,2,), )",-1,5203203,4680391,5217677,4688991,4579600,8704232,6225571,8713672,6235406,7265755,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,), (2,), )",-1,4043866,4683539,4049583,4689031,4579600,7125145,6224316,7152580,6236269,7265755,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,), (3,), )",-1,4935682,4687912,4949982,4684174,4579600,7739120,6219829,7775199,6225684,7265755,3.6558521659796557,9.429035680985953,"(2.319201665715632,5.829213434415731,0.645780129371529,)","(3002,9,5505,)","(1.7203857104762889e-06,4.404187418819299e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,), (1,0,3,), )",-1,4041024,4683870,4045638,4684431,4579600,7122869,6231448,7112767,6225928,7265755,4.07528335122948,9.429035680985953,"(7.4892188191275215,2.9373048619301323,)","(3002,5,)","(8.808374837638598e-05,2.179155233269966e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,3,0,), )",-1,5216137,4681515,5230066,4689993,4579600,8707977,6199070,8704005,6193423,7265755,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,4,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,), (3,0,), )",-1,5199717,4687464,5204585,4685658,4579600,8631004,6209969,8630489,6193774,7265755,4.155718813318254,9.429035680985953,"(5.829213434415732,2.4822241922207766,)","(9,3,)","(4.404187418819299e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,3,0,1,), )",-1,4443281,4681648,4443281,4681648,4579600,7263770,6215820,7263770,6215820,7265755,4.810124645121105,9.429035680985953,"(4.810124645121105,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,2,3,), )",-1,5204206,4688688,5218169,4684174,4579600,9315158,6218121,9327109,6225684,7265755,4.32476808517422,9.429035680985953,"(2.319201665715632,4.99329022499375,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,2,0,), )",-1,5169355,4684718,5169355,4684718,4579600,7269929,6193623,7269929,6193623,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,3,), (2,0,), )",-1,5199269,4684433,5209511,4681016,4579600,8384256,6214243,8387149,6192705,7265755,4.157509979207839,9.429035680985953,"(2.4822241922207766,5.832795766194901,)","(3,9,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,0,1,2,), )",-1,4629415,4689031,4629415,4689031,4579600,7266640,6236269,7266640,6236269,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,2,), (3,0,), )",-1,5205731,4692108,5210599,4689993,4579600,8631045,6216044,8632090,6193423,7265755,4.155718813318254,9.429035680985953,"(5.829213434415731,2.4822241922207766,)","(9,3,)","(4.404187418819299e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (2,), (3,), )",-1,4679260,4679260,4684174,4684174,4579600,6217327,6217327,6225684,6225684,7265755,3.1933505699825786,9.429035680985953,"(2.319201665715632,2.319201665715632,7.4892188191275215,0.645780129371529,)","(3002,3002,3002,5505,)","(1.7203857104762889e-06,1.7203857104762889e-06,8.808374837638598e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,), (2,1,), )",-1,4929668,4683268,4940259,4680986,4579600,7739079,6213754,7733914,6215971,7265755,3.655852165979656,9.429035680985953,"(2.319201665715632,0.645780129371529,5.829213434415732,)","(3002,5505,9,)","(1.7203857104762889e-06,4.473002847238351e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,0,2,), )",-1,5213642,4684098,5227427,4687041,4579600,8703062,6232243,8703429,6232328,7265755,4.326559251063804,9.429035680985953,"(2.319201665715632,4.995678446179861,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,2,1,), (3,), )",-1,4702330,4688483,4703569,4689553,4579600,7822027,6218081,7843399,6225765,7265755,4.018661944469156,9.429035680985953,"(5.1429558828350315,0.645780129371529,)","(12,5505,)","(2.9361249458795328e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,1,0,3,), )",-1,4485707,4684431,4485707,4684431,4579600,7264128,6225928,7264128,6225928,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,2,3,1,), )",-1,5156296,4689975,5156296,4689975,4579600,7269591,6216414,7269591,6216414,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,2,0,3,), )",-1,5144776,4689564,5144776,4689564,4579600,7269541,6226646,7269541,6226646,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,2,3,), )",-1,4579600,4684174,4579600,4684174,4579600,7265755,6225684,7265755,6225684,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (2,3,), )",-1,4177022,4683907,4184669,4684187,4579600,6208448,6214020,6222451,6231470,7265755,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,0,), (2,), )",-1,4043982,4683548,4049699,4689038,4579600,7116460,6202206,7143864,6232254,7265755,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,3,1,), (0,), )",-1,5215179,4681515,5216735,4681672,4579600,9322601,6211219,9320087,6193248,7265755,4.324768085174219,9.429035680985953,"(4.993290224993748,2.319201665715632,)","(4,3002,)","(2.9361249458795328e-05,1.7203857104762889e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,), (0,2,), (3,), )",-1,4937929,4687909,4952024,4684187,4579600,7074262,6225181,7088853,6231470,7265755,3.657643331869241,9.429035680985953,"(2.319201665715632,5.832795766194902,0.645780129371529,)","(3002,8,5505,)","(1.7203857104762889e-06,4.404187418819299e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (1,3,0,), (2,), )",-1,4071052,4681551,4076769,4687041,4579600,7247099,6202280,7275172,6232328,7265755,4.07528335122948,9.429035680985953,"(2.9373048619301323,7.4892188191275215,)","(5,3002,)","(2.179155233269966e-06,8.808374837638598e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,0,), (2,), (3,), )",-1,3915496,4682787,3917424,4684187,4579600,5684101,6215455,5697482,6231470,7265755,3.3867043759058664,9.429035680985953,"(2.7059092775622076,7.4892188191275215,0.645780129371529,)","(6004,3002,5505,)","(1.204269997333402e-06,8.808374837638598e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (2,0,1,3,), )",-1,4486074,4684430,4486074,4684430,4579600,7264136,6230926,7264136,6230926,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (2,), (0,), )",-1,4948739,4683452,4950268,4684718,4579600,7527366,6214767,7515372,6193623,7265755,3.693217217321177,9.429035680985953,"(2.4822241922207766,7.4892188191275215,2.319201665715632,)","(3,3002,3002,)","(2.9246557078096907e-06,8.808374837638598e-05,1.7203857104762889e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,2,0,1,), )",-1,4545941,4688102,4545941,4688102,4579600,7265157,6216256,7265157,6216256,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (3,), (2,0,), )",-1,4932077,4683277,4942625,4681016,4579600,7074230,6212468,7064218,6192705,7265755,3.6576433318692407,9.429035680985953,"(2.319201665715632,0.645780129371529,5.832795766194901,)","(3002,5505,9,)","(1.7203857104762889e-06,4.473002847238351e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,3,0,2,), )",-1,4654666,4687041,4654666,4687041,4579600,7266338,6232328,7266338,6232328,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,), (3,2,), )",-1,4951641,4687384,4962258,4688976,4579600,6741650,6217424,6752524,6230742,7265755,3.6736059114549064,9.429035680985953,"(2.319201665715632,2.319201665715632,5.02801015719418,)","(3002,3002,9,)","(1.7203857104762889e-06,1.7203857104762889e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,3,2,0,), )",-1,5128627,4681016,5128627,4681016,4579600,7269998,6192705,7269998,6192705,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,), (0,3,1,), )",-1,4070578,4681546,4075330,4685650,4579600,7233975,6219847,7231209,6221402,7265755,4.07528335122948,9.429035680985953,"(7.4892188191275215,2.9373048619301323,)","(3002,5,)","(8.808374837638598e-05,2.179155233269966e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (3,1,2,), )",-1,5212835,4684098,5226626,4687038,4579600,9320593,6221071,9322727,6231800,7265755,4.324768085174219,9.429035680985953,"(2.319201665715632,4.993290224993748,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,), (2,), (0,3,), )",-1,4946925,4680411,4959381,4689564,4579600,7109409,6224520,7099899,6226646,7265755,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (2,0,), )",-1,5201556,4687469,5211817,4684718,4579600,8384269,6209908,8384116,6193623,7265755,4.157509979207839,9.429035680985953,"(2.4822241922207766,5.832795766194901,)","(3,9,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,), (1,3,2,), )",-1,5201768,4680396,5216110,4688976,4579600,9329035,6220153,9334770,6230742,7265755,4.324768085174219,9.429035680985953,"(2.319201665715632,4.993290224993748,)","(3002,5,)","(1.7203857104762889e-06,2.9361249458795328e-05,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (2,), (3,), )",-1,3915498,4682770,3917426,4684174,4579600,5684114,6222066,5697500,6225684,7265755,3.3867043759058664,9.429035680985953,"(2.7059092775622076,7.4892188191275215,0.645780129371529,)","(6004,3002,5505,)","(1.204269997333402e-06,8.808374837638598e-05,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,1,), (0,2,), )",-1,5207408,4692101,5217407,4689038,4579600,8384301,6222621,8387309,6232254,7265755,4.157509979207839,9.429035680985953,"(2.4822241922207766,5.832795766194902,)","(3,8,)","(2.9246557078096907e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,0,), (1,), (3,), )",-1,4932077,4683277,4934321,4684430,4579600,7074230,6212468,7088070,6230926,7265755,3.6576433318692407,9.429035680985953,"(5.832795766194901,2.319201665715632,0.645780129371529,)","(9,3002,5505,)","(4.404187418819299e-05,1.7203857104762889e-06,4.473002847238351e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,), (2,), (3,1,), )",-1,4948739,4683452,4961065,4689975,4579600,7527366,6214767,7526070,6216414,7265755,3.693217217321177,9.429035680985953,"(2.319201665715632,7.4892188191275215,2.4822241922207766,)","(3002,3002,3,)","(1.7203857104762889e-06,8.808374837638598e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (0,1,), (3,2,), )",-1,4187879,4690894,4195617,4688976,4579600,6208437,6222163,6222594,6230742,7265755,3.8669597173781938,9.429035680985953,"(2.7059092775622076,5.02801015719418,)","(6004,9,)","(1.204269997333402e-06,4.404187418819299e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,1,3,0,), )",-1,4485200,4685658,4485200,4685658,4579600,7264140,6193774,7264140,6193774,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (1,2,3,0,), )",-1,5158550,4689993,5158550,4689993,4579600,7269554,6193423,7269554,6193423,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(6,)","(2.2020937094096496e-05,)"
citytemp_f32,11625300,4,2906325,"( (2,0,), (1,3,), )",-1,5199269,4684433,5204305,4684430,4579600,8384256,6214243,8387830,6230926,7265755,4.157509979207839,9.429035680985953,"(5.832795766194901,2.4822241922207766,)","(9,3,)","(4.404187418819299e-05,2.9246557078096907e-06,)"
citytemp_f32,11625300,4,2906325,"( (3,2,1,0,), )",-1,4545153,4688115,4545153,4688115,4579600,7265180,6192353,7265180,6192353,7265755,4.810124645121107,9.429035680985953,"(4.810124645121107,)","(7,)","(2.2020937094096496e-05,)"
