dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,), (2,), )",-1,340067773,340067773,411313244,411313244,411313244,197691665,194601679,197697376,194629599,244425506,188640203,187547244,188642446,187550000,248659200,148009430,146884223,148016794,146891487,144531710,252992373,247082364,252964438,247056529,433788144,238537456,230803975,238513733,230784744,379554201,1215353338,395938926,1215353336,395938924,1260112028,2.9359018810845523,9.339189132243394,"(-0.0,1.9946190171562124,7.754369490025784,)","(210863647,39,31,)","(4.742401140391923e-09,2.1340805131763654e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,2,3,), )",-1,406801780,406801780,411313244,411313244,411313244,228694090,195148020,228691195,195130824,244425506,226188961,187548653,226188137,187549992,248659200,143344058,146894574,143348813,146893037,144531710,391138328,247062296,391123601,247088907,433788144,371311676,230806060,371306915,230802427,379554201,1261765862,395938926,1261765860,395938924,1260112028,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,58,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,), (1,2,0,), )",-1,338089796,338089796,411313244,411313244,411313244,227119584,194621783,227126782,194611737,244425506,219445148,187548655,219447187,187551310,248659200,149352422,146889106,149352895,146891800,144531710,385124348,247062718,385120987,247088711,433788144,382024152,230806314,382017434,230803625,379554201,858137296,395938926,858137296,395938926,1260112028,3.1035945246459185,9.339189132243394,"(1.9893087482133431,3.4750231167901102,)","(4367,62,)","(4.268161026352731e-08,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,2,), (3,), )",-1,338089796,338089796,411313244,411313244,411313244,227114562,194611743,227360391,195130824,244425506,219445126,187548653,219446755,187549992,248659200,149352364,146891260,149355110,146893037,144531710,385120915,247088716,385121104,247088907,433788144,382022849,230803654,382021641,230802427,379554201,858137294,395938924,858137294,395938924,1260112028,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,0,), (3,2,), )",-1,360844802,360844802,411313244,411313244,411313244,214315855,194622074,214317570,194629599,244425506,218750737,187550037,218749094,187550000,248659200,139245695,146899838,139243286,146891487,144531710,343889946,247062693,343887068,247056529,433788144,346849567,230806323,346849855,230784744,379554201,844325884,395938924,844325884,395938924,1260112028,2.9040514865355673,9.339189132243394,"(-0.0,5.808102973071135,)","(421727294,39,)","(2.3712005701959617e-09,5.785729391278147e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,1,3,), (2,), )",-1,340067773,340067773,411313244,411313244,411313244,200672739,194612798,200689533,194629599,244425506,189254871,187547521,189257438,187550000,248659200,148002030,146885570,148009915,146891487,144531710,252857783,247081479,252832841,247056529,433788144,246386249,230804420,246366573,230784744,379554201,1213699504,395938924,1213699504,395938924,1260112028,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
hdr_palermo_f32,843454588,4,210863647,"( (2,1,0,), (3,), )",-1,338089796,338089796,411313244,411313244,411313244,227124575,194609113,227370410,195204440,244425506,219445140,187546921,219446770,187547492,248659200,149352058,146884994,149356017,146884498,144531710,385123718,247081903,385123905,247082096,433788144,382021632,230804687,382020423,230803478,379554201,858137294,395938924,858137294,395938924,1260112028,3.1035945246459185,9.339189132243394,"(3.4750231167901102,1.9893087482133431,)","(62,4367,)","(3.8571529275187643e-07,4.268161026352731e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (0,), (2,), (1,3,), )",-1,340067773,340067773,411313244,411313244,411313244,197691665,194601679,198055815,195217110,244425506,188640203,187547244,188642096,187549228,248659200,148009430,146884223,148013138,146888809,144531710,252992373,247082364,252972977,247062911,433788144,238537456,230803975,238539669,230805105,379554201,1215353338,395938926,1215353338,395938926,1260112028,2.9359018810845523,9.339189132243394,"(-0.0,7.754369490025784,1.9946190171562124,)","(210863647,31,39,)","(4.742401140391923e-09,1.1571458782556293e-06,2.1340805131763654e-08,)"
hdr_palermo_f32,843454588,4,210863647,"( (1,), (0,3,2,), )",-1,406801780,406801780,411313244,411313244,411313244,229410953,194604686,229414837,194629599,244425506,227153977,187550088,227155598,187550000,248659200,140327356,146897349,140327220,146891487,144531710,386446848,247089173,386452945,247056529,433788144,373231669,230802926,373238210,230784744,379554201,1261765862,395938926,1261765860,395938924,1260112028,3.5739952737754646,9.339189132243394,"(-0.0,4.765327031700619,)","(210863647,59,)","(4.742401140391923e-09,3.8571529275187643e-07,)"
hdr_palermo_f32,843454588,4,210863647,"( (3,0,1,), (2,), )",-1,340067773,340067773,411313244,411313244,411313244,200674801,194609112,200691595,194625547,244425506,189254871,187548135,189257437,187550151,248659200,148002075,146885151,148009630,146887725,144531710,252857960,247081895,252833018,247056953,433788144,246386582,230804674,246366906,230784998,379554201,1213699504,395938924,1213699504,395938924,1260112028,3.1246228508279854,9.339189132243394,"(1.5813739710953856,7.754369490025784,)","(59,31,)","(1.422720342117577e-08,1.1571458782556293e-06,)"
