dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,3,), (2,), )",-1,12930180,11938386,12928862,11936706,13546678,13572966,12248192,13569987,12248229,14102084,5.201966849448555,15.041785662586301,"(6.125370905632568,4.3502115966121835,5.982073298937283,)","(24065,48130,24065,)","(4.263946979151798e-05,2.131973489575899e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,2,3,), )",-1,13287568,11936957,13288013,11936977,13546678,14787680,12249330,14789147,12248460,14102084,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885957,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,), (1,2,0,), )",-1,12034211,11937447,12034033,11937749,13546678,12250227,12249086,12251054,12249256,14102084,4.916219781539689,15.041785662586301,"(1.3269079038166607,6.112657074114032,)","(24065,72195,)","(2.1652855753505223e-06,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,2,), (3,), )",-1,12034083,11936895,12034115,11936977,13546678,12250214,12247215,12251001,12248460,14102084,4.91621978153969,15.041785662586301,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","(1.4213156597172659e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,0,), (3,2,), )",-1,12594627,11936739,12594899,11936706,13546678,13291468,12248124,13292492,12248229,14102084,5.196561403134006,15.041785662586301,"(6.1252633873909055,4.267859418877107,)","(48130,48130,)","(2.131973489575899e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,1,3,), (2,), )",-1,13314331,11938375,13312911,11936957,13546678,14979691,12249499,14978820,12248805,14102084,5.316200477978155,15.041785662586301,"(5.0942428709917795,5.982073298937283,)","(72195,24065,)","(1.4213156597172659e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,1,0,), (3,), )",-1,12034176,11938704,12034208,11938813,13546678,12249789,12249678,12250576,12250991,14102084,4.91621978153969,15.041785662586301,"(6.112657074114033,1.3269079038166607,)","(72195,24065,)","(1.4213156597172659e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (2,), (1,3,), )",-1,12930104,11938387,12928957,11937316,13546678,13573080,12248126,13575164,12250801,14102084,5.201897326386634,15.041785662586301,"(6.125027367932911,5.982073298937283,4.35024431933817,)","(24065,24065,48130,)","(4.263946979151798e-05,4.263946979151798e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (0,3,2,), )",-1,13295460,11937148,13294688,11936706,13546678,14788620,12247867,14789167,12248229,14102084,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885958,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,0,1,), (2,), )",-1,13321149,11938206,13319729,11936921,13546678,14981120,12249121,14980249,12248708,14102084,5.316200477978155,15.041785662586301,"(5.094242870991779,5.982073298937283,)","(72195,24065,)","(1.4213156597172659e-05,4.263946979151798e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (1,2,), (3,), )",-1,12046990,11936865,12047472,11937235,13546678,12284881,12247477,12288976,12248902,14102084,4.910140498203099,15.041785662586301,"(6.125027367932911,6.094313360531412,1.3269079038166607,)","(24065,48130,24065,)","(4.263946979151798e-05,2.131973489575899e-05,2.1652855753505223e-06,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,), (1,0,3,), )",-1,13314396,11938124,13314529,11938813,13546678,14979573,12248923,14981482,12250991,14102084,5.316200477978155,15.041785662586301,"(5.982073298937283,5.0942428709917795,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,), (2,3,0,), )",-1,13296504,11938780,13296078,11937257,13546678,14788899,12249951,14789629,12250415,14102084,5.33175880707261,15.041785662586301,"(6.125370905632568,5.067221440885957,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,1,), (3,0,), )",-1,13045002,11938295,13044891,11938797,13546678,13610933,12249291,13610294,12251330,14102084,5.222262478571798,15.041785662586301,"(6.094313360531413,4.3502115966121835,)","(48130,48130,)","(2.131973489575899e-05,2.131973489575899e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (2,3,0,1,), )",-1,13547720,11938602,13547720,11938602,13546678,14102042,12251072,14102042,12251072,14102084,5.410833366789651,15.041785662586301,"(5.410833366789651,)","(96260,)","(1.0659867447879495e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (0,), (1,2,3,), )",-1,13287591,11936967,13287302,11937235,13546678,14790116,12249263,14791107,12248902,14102084,5.331747358052219,15.041785662586301,"(6.125027367932911,5.067320688091988,)","(24065,72195,)","(4.263946979151798e-05,1.4213156597172659e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (3,1,2,0,), )",-1,13548375,11937749,13548375,11937749,13546678,14102078,12249256,14102078,12249256,14102084,5.410833366789652,15.041785662586301,"(5.410833366789652,)","(96260,)","(1.0659867447879495e-05,)"
hst_wfc3_ir_f32,24015308,4,6003827,"( (1,3,), (2,0,), )",-1,13040115,11938282,13040353,11937645,13546678,13609432,12249349,13610197,12249272,14102084,5.22214165819955,15.041785662586301,"(4.35024431933817,6.094038997060929,)","(48130,48130,)","(2.131973489575899e-05,2.131973489575899e-05,)"
