dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed blosc compressed size (B),decomposed row-ordered blosc compressed size (B),reordered blosc compressed size (B),reordered row-based blosc compressed size (B),standard blosc compressed size (B),decomposed blosc_bit compressed size (B),decomposed row-ordered blosc_bit compressed size (B),reordered blosc_bit compressed size (B),reordered row-based blosc_bit compressed size (B),standard blosc_bit compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,), (2,), )",-1,59746922,56449545,59747389,56449933,62035140,61120058,57828590,61115280,57827813,63612774,5.312469974511832,15.610157432140957,"(5.873596340164368,4.763952951987628,5.848377653907704,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,2,3,), )",-1,61114559,56449200,61114446,56449081,62035140,65768846,57828332,65767505,57828785,63612774,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,), (1,2,0,), )",-1,56395421,56448541,56394908,56448294,62035140,57579831,57827527,57579808,57827834,63612774,5.045688450704905,15.610157432140957,"(2.5753971984127237,5.869118868135631,)","(2111413,6334239,)","(1.2118457258697003e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,2,), (3,), )",-1,56395307,56448702,56395686,56449081,62035140,57579569,57828275,57580079,57828785,63612774,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,0,), (3,2,), )",-1,59637574,56448667,59637507,56449933,62035140,60920904,57828082,60921777,57827813,63612774,5.313151198353756,15.610157432140957,"(5.87365811879215,4.752644277915361,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,1,3,), (2,), )",-1,61199572,56449470,61199741,56449639,62035140,65770336,57828339,65769196,57827199,63612774,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,1,0,), (3,), )",-1,56395548,56448811,56395927,56449190,62035140,57580376,57827534,57580886,57828044,63612774,5.045688450704905,15.610157432140957,"(5.869118868135631,2.5753971984127237,)","(6334239,2111413,)","(3.1336616749761947e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (2,), (1,3,), )",-1,59747142,56449545,59746508,56448747,62035140,61122589,57828590,61122133,57828489,63612774,5.312458643680215,15.610157432140957,"(5.873713650548174,5.848377653907704,4.7638716351324915,)","(2111413,2111413,4222826,)","(9.400985024928585e-06,9.400985024928585e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (0,3,2,), )",-1,61122284,56449104,61122642,56449933,62035140,65769643,57828596,65768998,57827813,63612774,5.409005894058116,15.610157432140957,"(5.873596340164368,5.2541424120226985,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,0,1,), (2,), )",-1,61204912,56448932,61205081,56449101,62035140,65769326,57828600,65768186,57827460,63612774,5.406230840376331,15.610157432140957,"(5.258848569199207,5.848377653907704,)","(6334239,2111413,)","(3.1336616749761947e-06,9.400985024928585e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (1,2,), (3,), )",-1,56424807,56448579,56424920,56448787,62035140,57705273,57827648,57709244,57828171,63612774,5.044946965540298,15.610157432140957,"(5.873713650548174,5.865338506600147,2.5753971984127237,)","(2111413,4222826,2111413,)","(9.400985024928585e-06,4.700492512464293e-06,1.2118457258697003e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,), (1,0,3,), )",-1,61199136,56449764,61199248,56449190,62035140,65769503,57828953,65768166,57828044,63612774,5.406230840376331,15.610157432140957,"(5.848377653907704,5.258848569199207,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,), (2,3,0,), )",-1,61121194,56449507,61121476,56449086,62035140,65769005,57828469,65768990,57828505,63612774,5.409005894058117,15.610157432140957,"(5.873596340164368,5.254142412022699,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,1,), (3,0,), )",-1,59730678,56448937,59730357,56449356,62035140,60997443,57828089,60998545,57828512,63612774,5.314645729293888,15.610157432140957,"(5.865338506600147,4.763952951987628,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (2,3,0,1,), )",-1,62037972,56449623,62037972,56449623,62035140,63613019,57829749,63613019,57829749,63612774,5.467166245678493,15.610157432140957,"(5.467166245678493,)","(8445652,)","(2.3502462562321464e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (0,), (1,2,3,), )",-1,61114248,56449200,61114042,56448787,62035140,65770939,57828332,65768721,57828171,63612774,5.408981309175385,15.610157432140957,"(5.873713650548174,5.254070528717787,)","(2111413,6334239,)","(9.400985024928585e-06,3.1336616749761947e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,1,2,0,), )",-1,62038260,56448294,62038260,56448294,62035140,63612809,57827834,63612809,57827834,63612774,5.467166245678493,15.610157432140957,"(5.467166245678493,)","(8445652,)","(2.3502462562321464e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,3,), (2,0,), )",-1,59723365,56449633,59723093,56448990,62035140,60998287,57829024,60997927,57828769,63612774,5.314650842114595,15.610157432140957,"(4.7638716351324915,5.865430049096698,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (3,0,1,2,), )",-1,62038298,56449101,62038298,56449101,62035140,63612792,57827460,63612792,57827460,63612774,5.467166245678493,15.610157432140957,"(5.467166245678493,)","(8445652,)","(2.3502462562321464e-06,)"
hst_wfc3_uvis_f32,108924756,4,27231189,"( (1,2,), (3,0,), )",-1,59730443,56448667,59730122,56449086,62035140,60997499,57828082,60998601,57828505,63612774,5.314645729293888,15.610157432140957,"(5.865338506600147,4.763952951987628,)","(4222826,4222826,)","(4.700492512464293e-06,4.700492512464293e-06,)"
