dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
msg_bt_f64,266389424,8,33298678,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,250555122,250555122,253653706,253653706,253653706,235869622,192349967,235866031,192361629,236527303,234829241,198156532,234836984,198158401,235573074,239796555,192527673,239969515,192530699,244805421,252542486,206478889,252542813,206505063,251704140,252255991,205755231,252255895,205755292,251514332,499311406,446102422,499311406,446102422,499006186,7.476353935813932,23.66663103473837,"(7.827774681407633,7.3314111513671865,7.663000524133946,)","(1291,6451,2580,)","(7.68799289869706e-06,1.5375985797394118e-06,3.84399644934853e-06,)"
msg_bt_f64,266389424,8,33298678,"( (6,2,1,5,0,3,), (4,7,), )",-1,245386630,245386630,253653706,253653706,253653706,231216923,192360873,231212804,192379244,236527303,231403535,198156797,231404435,198157398,235573074,224582962,192519068,224587880,192517544,244805421,251010230,206493978,251006433,206506636,251704140,251859710,205749732,251860024,205751535,251514332,499220780,446102422,499220780,446102422,499006186,7.339845270803567,23.66663103473837,"(7.798115640453538,5.9650341618536515,)","(7741,2580,)","(1.2813321497828433e-06,3.84399644934853e-06,)"
msg_bt_f64,266389424,8,33298678,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,238328238,238328238,253653706,253653706,253653706,217586303,192349243,217607179,192359141,236527303,217647643,198155176,217652812,198162628,235573074,218349968,192508431,218488897,192515479,244805421,222710406,206471584,222726271,206507858,251704140,221273643,205750425,221275602,205754600,251514332,459174084,446102422,459174084,446102422,499006186,7.120889732319539,23.66663103473837,"(7.828039564384779,2.379437414376508,7.78637323967748,7.827774681407633,)","(1290,18560,6451,1291,)","(7.68799289869706e-06,3.3034344486588926e-07,1.5375985797394118e-06,7.68799289869706e-06,)"
msg_bt_f64,266389424,8,33298678,"( (0,), (7,6,1,3,4,2,5,), )",-1,252942176,252942176,253653706,253653706,253653706,237096487,192358930,237067044,192356434,236527303,235703554,198157724,235705697,198161659,235573074,242357188,192499295,242359472,192480533,244805421,252026747,206501819,252025985,206513120,251704140,251875823,205755773,251874490,205756830,251514332,499049438,446102422,499049438,446102422,499006186,7.546134850513363,23.66663103473837,"(7.827816555010587,7.50589460701376,)","(1290,9031,)","(7.68799289869706e-06,1.0982846998138657e-06,)"
msg_bt_f64,266389424,8,33298678,"( (2,7,6,), (4,0,3,5,1,), )",-1,247393889,247393889,253653706,253653706,253653706,229492891,192359707,229482136,192360442,236527303,228543136,198161095,228542919,198161664,235573074,216797571,192513817,216898102,192479023,244805421,249800946,206480777,249800435,206513369,251704140,251256289,205751594,251255164,205751729,251514332,499069318,446102422,499069318,446102422,499006186,7.397883987460351,23.66663103473837,"(6.689515702295571,7.82290495855922,)","(3871,6450,)","(2.5626642995656865e-06,1.5375985797394118e-06,)"
msg_bt_f64,266389424,8,33298678,"( (4,6,1,3,0,), (2,7,5,), )",-1,247760765,247760765,253653706,253653706,253653706,234533442,192351958,234533886,192366125,236527303,233376062,198161915,233375425,198161841,235573074,229419709,192566335,229425570,192541893,244805421,252340023,206481578,252338612,206504237,251704140,251996898,205752854,251998468,205753024,251514332,499170336,446102422,499170336,446102422,499006186,7.41105770624399,23.66663103473837,"(7.790652279769511,6.778400083701453,)","(6450,3871,)","(1.5375985797394118e-06,2.5626642995656865e-06,)"
msg_bt_f64,266389424,8,33298678,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,250942857,250942857,253653706,253653706,253653706,212318962,192371561,212322832,192359847,236527303,217703130,198157854,217704311,198159298,235573074,220291348,192498130,220299573,192524551,244805421,235212710,206481533,235213876,206507251,251704140,235664545,205751595,235665354,205752378,251514332,485896944,446102422,485896944,446102422,499006186,7.480017879514369,23.66663103473837,"(7.3142086273040405,7.827956986922985,7.449662903647988,)","(1291,1291,7740,)","(7.68799289869706e-06,7.68799289869706e-06,1.2813321497828433e-06,)"
msg_bt_f64,266389424,8,33298678,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,247761325,247761325,253653706,253653706,253653706,233190280,192353178,233190026,192357097,236527303,232196632,198159336,232198243,198159002,235573074,228360351,192573398,228447933,192568628,244805421,252136792,206454293,252138395,206504861,251704140,252286286,205751577,252287774,205756637,251514332,499332176,446102422,499332176,446102422,499006186,7.403256793054524,23.66663103473837,"(6.794713994585717,7.822901597523637,7.732036388543921,)","(3870,2581,3871,)","(2.5626642995656865e-06,3.84399644934853e-06,2.5626642995656865e-06,)"
msg_bt_f64,266389424,8,33298678,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,247457355,247457355,253653706,253653706,253653706,233664057,192349734,233658363,192367363,236527303,231772044,198157359,231777779,198159528,235573074,225183940,192505571,225268131,192532165,244805421,252507763,206452260,252507507,206496285,251704140,252319154,205752024,252317260,205752307,251514332,499309434,446102422,499309434,446102422,499006186,7.394225942822202,23.66663103473837,"(7.814521817588498,7.663150363844677,6.79464712070759,)","(3870,2580,3870,)","(2.5626642995656865e-06,3.84399644934853e-06,2.5626642995656865e-06,)"
msg_bt_f64,266389424,8,33298678,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,249435811,249435811,253653706,253653706,253653706,232134482,192349838,232137267,192356671,236527303,229774433,198156275,229774153,198159514,235573074,231114128,192518771,231204620,192505464,244805421,251039086,206467997,251038761,206497416,251704140,251657436,205748634,251661678,205753219,251514332,499446824,446102422,499446824,446102422,499006186,7.440589441620611,23.66663103473837,"(7.827956986922985,7.827774681407633,7.146216669157476,7.642058594002187,)","(1291,1291,5160,2581,)","(7.68799289869706e-06,7.68799289869706e-06,1.921998224674265e-06,3.84399644934853e-06,)"
msg_bt_f64,266389424,8,33298678,"( (6,), (1,0,), (4,7,5,2,3,), )",-1,249825368,249825368,253653706,253653706,253653706,211455290,192351642,211448259,192376724,236527303,216296209,198158405,216296537,198159196,235573074,217776455,192472399,217775723,192517300,244805421,235592486,206480907,235594669,206507307,251704140,235721233,205752995,235720783,205754573,251514332,485854314,446102422,485854314,446102422,499006186,7.453441775211599,23.66663103473837,"(7.3142086273040405,7.827947611097709,7.3314860704386655,)","(1291,2580,6451,)","(7.68799289869706e-06,3.84399644934853e-06,1.5375985797394118e-06,)"
