dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
num_brain_f64,141839992,8,17729999,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,131578210,131578210,133780046,133780046,133780046,130123194,112112783,130128319,112116647,133224981,130033015,112307236,130034738,112308611,133307634,128184840,111604054,128215743,111623331,136062571,141846915,117342329,141846940,117342492,141846651,141848713,116707460,141848671,116705141,141848671,282570598,234057344,282570598,234057344,282692814,7.365804597706477,23.97113850512074,"(7.99998534392336,7.098950220098701,7.715850168617473,)","(5,5,5,)","(1.4438805100891433e-05,2.8877610201782866e-06,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (6,2,1,5,0,3,), (4,7,), )",-1,128521177,128521177,133780046,133780046,133780046,127598481,112112789,127604584,112113210,133224981,128596305,112307247,128596545,112306427,133307634,124659150,111595997,124663057,111597406,136062571,140620282,117342348,140618732,117342412,141846651,141848671,116707681,141848671,116707410,141848671,282559244,234057344,282559244,234057344,282692814,7.220866668701949,23.97113850512074,"(7.9668575957089285,4.982893887681011,)","(6,7,)","(2.406467516815239e-06,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,126344437,126344437,133780046,133780046,133780046,123736765,112114762,123727377,112112751,133224981,123210453,112306739,123212035,112307811,133307634,124519322,111601906,124520405,111614027,136062571,124956532,117342514,124956502,117344309,141846651,124205836,116706816,124206362,116705972,141848671,247408444,234057344,247408444,234057344,282692814,6.9710282272054425,23.97113850512074,"(7.9999695003205655,0.004517123134661802,7.95275077005299,7.99998534392336,)","(11,2251777,5,5,)","(1.4438805100891433e-05,2.2560632970142864e-07,2.8877610201782866e-06,1.4438805100891433e-05,)"
num_brain_f64,141839992,8,17729999,"( (0,), (7,6,1,3,4,2,5,), )",-1,133286852,133286852,133780046,133780046,133780046,132622790,112111255,132622889,112110323,133224981,132639241,112307555,132639348,112307617,133307634,132692138,111588547,132700264,111610559,136062571,141846745,117339897,141846773,117342400,141846651,141848690,116705426,141848671,116707812,141848671,282705724,234057344,282705724,234057344,282692814,7.4756232818000665,23.97113850512074,"(7.999986762666142,7.400714213104913,)","(4,7,)","(1.4438805100891433e-05,2.06268644298449e-06,)"
num_brain_f64,141839992,8,17729999,"( (2,7,6,), (4,0,3,5,1,), )",-1,129272163,129272163,133780046,133780046,133780046,125632379,112108765,125634223,112110358,133224981,126076309,112306874,126076486,112307672,133307634,116044043,111584368,116072826,111605473,136062571,139774982,117342419,139774973,117342450,141846651,140546226,116707735,140546207,116707812,141848671,282709312,234057344,282709312,234057344,282692814,7.269147639495001,23.97113850512074,"(6.051073498879164,7.999992123864502,)","(4,5,)","(4.812935033630478e-06,2.8877610201782866e-06,)"
num_brain_f64,141839992,8,17729999,"( (4,6,1,3,0,), (2,7,5,), )",-1,130620402,130620402,133780046,133780046,133780046,130171191,112116080,130173647,112116423,133224981,129757741,112307965,129757922,112307845,133307634,124791864,111607384,124880720,111616188,136062571,141861305,117339905,141860173,117340018,141846651,141848690,116705259,141848671,116704639,141848671,282569950,234057344,282569950,234057344,282692814,7.3063737971065965,23.97113850512074,"(7.9520439052540866,6.2302569501941125,)","(5,5,)","(2.8877610201782866e-06,4.812935033630478e-06,)"
num_brain_f64,141839992,8,17729999,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,130517136,130517136,133780046,133780046,133780046,121101443,112111806,121103407,112113134,133224981,121513352,112306904,121514120,112307647,133307634,124893033,111577743,124920947,111617617,136062571,134232435,117342389,134232426,117342387,141846651,134350126,116707401,134350200,116707290,141848671,269280042,234057344,269280042,234057344,282692814,7.312391749858863,23.97113850512074,"(6.736902658160885,7.999967847976153,7.29371058212231,)","(131,11,6,)","(1.426960035361536e-05,1.4438805100891433e-05,2.406467516815239e-06,)"
num_brain_f64,141839992,8,17729999,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,130112142,130112142,133780046,133780046,133780046,129018644,112116069,129020012,112116640,133224981,129028984,112308095,129029089,112308386,133307634,123161301,111604708,123235200,111615705,136062571,141860770,117339972,141860746,117342494,141846651,141848713,116704825,141848671,116704668,141848671,282570244,234057344,282570244,234057344,282692814,7.288738882632472,23.97113850512074,"(6.230445268603049,7.999988357990624,7.8728661797564605,)","(5,3,5,)","(4.812935033630478e-06,7.219402550445716e-06,4.812935033630478e-06,)"
num_brain_f64,141839992,8,17729999,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,129501677,129501677,133780046,133780046,133780046,128114244,112112818,128121847,112111571,133224981,127950323,112306717,127951480,112307092,133307634,117315369,111611562,117387032,111617663,136062571,141861191,117342360,141860315,117339297,141846651,141848713,116706432,141848671,116705039,141848671,282570160,234057344,282570160,234057344,282692814,7.265457402264936,23.97113850512074,"(7.999980680809037,7.716274498886002,6.230389392640125,)","(5,5,5,)","(4.812935033630478e-06,7.219402550445716e-06,4.812935033630478e-06,)"
num_brain_f64,141839992,8,17729999,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,130569239,130569239,133780046,133780046,133780046,128847244,112112721,128852804,112116606,133224981,128877503,112307134,128877826,112308137,133307634,123742307,111600563,123800784,111604330,136062571,141785600,117342435,141788998,117342444,141846651,141836365,116707440,141835951,116703690,141848671,282574862,234057344,282574862,234057344,282692814,7.324488280845587,23.97113850512074,"(7.999967847976153,7.99998534392336,6.788783670822487,7.720409185787622,)","(11,5,5,15,)","(1.4438805100891433e-05,1.4438805100891433e-05,3.609701275222858e-06,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (6,), (1,0,), (4,7,5,2,3,), )",-1,129985784,129985784,133780046,133780046,133780046,120562561,112111845,120566059,112112817,133224981,120960176,112306805,120961251,112307689,133307634,122891833,111580374,122910272,111599960,136062571,134232460,117342313,134232426,117342356,141846651,134350126,116707801,134350200,116707459,141848671,269273416,234057344,269273416,234057344,282692814,7.278936641581505,23.97113850512074,"(6.736902658160885,7.999988887729064,7.098922539806605,)","(131,4,5,)","(1.426960035361536e-05,7.219402550445716e-06,2.8877610201782866e-06,)"
num_brain_f64,141839992,8,17729999,"( (4,), (0,6,2,), (3,7,5,1,), )",-1,131134604,131134604,133780046,133780046,133780046,130008417,112116093,130010589,112114888,133224981,130069242,112307811,130070427,112308546,133307634,130364583,111608591,130419525,111595094,136062571,141846659,117339908,141846627,117342577,141846651,141848713,116705282,141848671,116707383,141848671,282570364,234057344,282570364,234057344,282692814,7.34595109969244,23.97113850512074,"(7.999985723488021,7.871017885533231,6.7886423543629535,)","(4,5,5,)","(1.4438805100891433e-05,4.812935033630478e-06,3.609701275222858e-06,)"
num_brain_f64,141839992,8,17729999,"( (2,3,), (0,6,5,), (4,), (1,7,), )",-1,127973066,127973066,133780046,133780046,133780046,126298157,112116082,126303440,112111823,133224981,127648451,112307446,127649199,112306340,133307634,122916625,111602174,122972737,111601017,136062571,140618415,117339919,140609505,117339275,141846651,141848729,116705044,141848666,116704995,141848671,282572502,234057344,282572502,234057344,282692814,7.198020407860524,23.97113850512074,"(7.999988021119162,7.872795527208215,7.999985723488021,4.982907457766601,)","(5,4,4,7,)","(7.219402550445716e-06,4.812935033630478e-06,1.4438805100891433e-05,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (0,), (1,6,5,), (3,7,4,2,), )",-1,131161037,131161037,133780046,133780046,133780046,130025516,112116074,130025678,112115449,133224981,130080308,112307811,130080480,112308735,133307634,130330654,111610755,130384554,111588548,136062571,141846641,117339909,141846686,117342537,141846651,141848713,116705254,141848671,116707356,141848671,282570282,234057344,282570282,234057344,282692814,7.346721790307486,23.97113850512074,"(7.999986762666142,7.872983559179062,6.78870922056414,)","(4,5,4,)","(1.4438805100891433e-05,4.812935033630478e-06,3.609701275222858e-06,)"
num_brain_f64,141839992,8,17729999,"( (2,5,), (6,0,), (1,4,), (7,3,), )",-1,127361225,127361225,133780046,133780046,133780046,125390455,112112793,125403253,112115087,133224981,126569889,112307271,126571079,112308471,133307634,117073783,111610174,117118855,111598897,136062571,140655301,117342439,140647297,117342572,141846651,141848730,116707487,141848668,116706741,141848671,282570064,234057344,282570064,234057344,282692814,7.174653107918326,23.97113850512074,"(7.999960089753028,7.715850168617473,7.999988443277456,4.982813730025349,)","(4,5,4,11,)","(7.219402550445716e-06,7.219402550445716e-06,7.219402550445716e-06,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (3,7,6,), (0,4,1,), (5,2,), )",-1,129271102,129271102,133780046,133780046,133780046,125629249,112108775,125631074,112110346,133224981,126074560,112306909,126074763,112307658,133307634,116053894,111577102,116081003,111610991,136062571,139770941,117342419,139770931,117342446,141846651,140549644,116707758,140549602,116707812,141848671,282708212,234057344,282708212,234057344,282692814,7.269047480582814,23.97113850512074,"(6.050826759253402,7.9999931291320845,7.999960089753028,)","(4,4,4,)","(4.812935033630478e-06,4.812935033630478e-06,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (6,), (5,1,7,0,2,), (4,3,), )",-1,129986704,129986704,133780046,133780046,133780046,120563247,112111864,120566077,112113436,133224981,120960796,112307085,120961690,112307561,133307634,122925481,111577669,122947747,111594369,136062571,134232444,117342311,134232431,117342228,141846651,134350126,116706410,134350200,116707733,141848671,269278274,234057344,269278274,234057344,282692814,7.2789675041339645,23.97113850512074,"(6.736902658160885,7.098970543462978,7.999992328797971,)","(131,5,4,)","(1.426960035361536e-05,2.8877610201782866e-06,7.219402550445716e-06,)"
num_brain_f64,141839992,8,17729999,"( (6,3,), (0,1,5,7,2,), (4,), )",-1,131580041,131580041,133780046,133780046,133780046,130123036,112113136,130126566,112112966,133224981,130033278,112307493,130033967,112307684,133307634,128221304,111614478,128257947,111612868,136062571,141846908,117342143,141846880,117342483,141846651,141848713,116707818,141848671,116707948,141848671,282566558,234057344,282566558,234057344,282692814,7.365860844986131,23.97113850512074,"(7.716024159543072,7.098970543462977,7.999985723488021,)","(6,5,4,)","(7.219402550445716e-06,2.8877610201782866e-06,1.4438805100891433e-05,)"
num_brain_f64,141839992,8,17729999,"( (2,), (4,0,7,1,5,3,6,), )",-1,133286971,133286971,133780046,133780046,133780046,132622393,112115384,132622707,112114506,133224981,132644815,112308271,132645421,112306933,133307634,137087569,111602323,137102906,111598142,136062571,141846612,117342485,141846597,117338912,141846651,141848690,116703696,141848671,116706646,141848671,282571200,234057344,282571200,234057344,282692814,7.47559669149089,23.97113850512074,"(7.999967847976153,7.40068652627871,)","(11,7,)","(1.4438805100891433e-05,2.06268644298449e-06,)"
num_brain_f64,141839992,8,17729999,"( (6,2,), (3,7,1,0,5,4,), )",-1,132112015,132112015,133780046,133780046,133780046,130665111,112112791,130667529,112113195,133224981,130587305,112307587,130587327,112307548,133307634,130204981,111617485,130223201,111606492,136062571,141846951,117342378,141846963,117342208,141846651,141848694,116707914,141848671,116707776,141848671,282570350,234057344,282570350,234057344,282692814,7.399366054418186,23.97113850512074,"(7.716332471305811,7.29371058212231,)","(6,6,)","(7.219402550445716e-06,2.406467516815239e-06,)"
num_brain_f64,141839992,8,17729999,"( (0,1,), (3,4,), (7,5,6,2,), )",-1,130512358,130512358,133780046,133780046,133780046,129418759,112115211,129421016,112116588,133224981,129372121,112307749,129372374,112308726,133307634,123083430,111614953,123116315,111613884,136062571,141847174,117342511,141847158,117342502,141846651,141848717,116706899,141848671,116704709,141848671,282569770,234057344,282569770,234057344,282692814,7.349996928215905,23.97113850512074,"(7.999988887729064,7.999992328797971,6.700003248168292,)","(4,3,4,)","(7.219402550445716e-06,7.219402550445716e-06,3.609701275222858e-06,)"
