dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
num_control_f64,159504736,8,19938092,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,154813200,154813200,156191290,156191290,156191290,149214280,139225310,149161872,139161243,150746904,148815788,138035485,148815666,138037608,150910492,153412648,138237120,153378258,138247575,155020006,157198313,144256193,157196652,144257915,157250008,157087193,145631590,157087656,145630324,157036735,316409086,286189770,316409086,286189770,316762908,7.718280619731715,24.13166514517753,"(7.9983463414183005,7.554998763262708,7.9864524000609425,)","(1024,1905,762,)","(1.283974414402341e-05,2.567948828804682e-06,6.419872072011705e-06,)"
num_control_f64,159504736,8,19938092,"( (6,2,1,5,0,3,), (4,7,), )",-1,151025640,151025640,156191290,156191290,156191290,145414444,139199072,145413471,139208500,150746904,145962525,138038011,145962904,138034705,150910492,141869503,138231078,141876963,138251477,155020006,157005575,144259030,157004744,144258373,157250008,156894093,145631188,156892969,145632914,157036735,316715430,286189770,316715430,286189770,316762908,7.561592555891497,24.13166514517753,"(7.996792137336922,6.25599381155522,)","(2286,762,)","(2.139957357337235e-06,6.419872072011705e-06,)"
num_control_f64,159504736,8,19938092,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,146638239,146638239,156191290,156191290,156191290,140859341,139113635,140850573,139139580,150746904,140132281,138027269,140137049,138039430,150910492,141134887,138249605,141124964,138238483,155020006,144241208,144252914,144247691,144262189,157250008,145538489,145629075,145539994,145631798,157036735,289038790,286189770,289038790,286189770,316762908,7.33691935549491,24.13166514517753,"(7.998376723736168,2.717886877813584,7.996148980198245,7.9983463414183005,)","(1024,27136,1905,1024,)","(1.283974414402341e-05,6.520182573136888e-07,2.567948828804682e-06,1.283974414402341e-05,)"
num_control_f64,159504736,8,19938092,"( (0,), (7,6,1,3,4,2,5,), )",-1,155724327,155724327,156191290,156191290,156191290,150331496,139138941,150326734,139097470,150746904,150412713,138037176,150413147,138030823,150910492,153695182,138225978,153699122,138214181,155020006,157264769,144257383,157268856,144257958,157250008,157084205,145628918,157086879,145630025,157036735,316460932,286189770,316460932,286189770,316762908,7.7688557276066845,24.13166514517753,"(7.9983965882242565,7.736064176089888,)","(1024,2667,)","(1.283974414402341e-05,1.8342491634319157e-06,)"
num_control_f64,159504736,8,19938092,"( (2,7,6,), (4,0,3,5,1,), )",-1,152722883,152722883,156191290,156191290,156191290,146646552,139154752,146628144,139096559,150746904,146358029,138035954,146358033,138035851,150910492,140941942,138213701,140961089,138214859,155020006,157046330,144254609,157044628,144257944,157250008,156927777,145629664,156929389,145629712,157036735,316764322,286189770,316764322,286189770,316762908,7.642181055559641,24.13166514517753,"(7.048543395809578,7.998363651409679,)","(1143,1905,)","(4.27991471467447e-06,2.567948828804682e-06,)"
num_control_f64,159504736,8,19938092,"( (4,6,1,3,0,), (2,7,5,), )",-1,152839071,152839071,156191290,156191290,156191290,147642727,139158376,147618852,139135877,150746904,147555937,138040394,147560037,138037559,150910492,144118033,138250283,144182999,138257324,155020006,157050578,144256196,157050202,144258961,157250008,156929484,145629268,156929756,145628757,157036735,316711456,286189770,316711456,286189770,316762908,7.638999046075729,24.13166514517753,"(7.996237269598955,7.043602006870351,)","(1905,1143,)","(2.567948828804682e-06,4.27991471467447e-06,)"
num_control_f64,159504736,8,19938092,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,155300017,155300017,156191290,156191290,156191290,148535955,139175807,148567101,139203368,150746904,148027969,138037214,148031908,138037458,150910492,152452827,138234049,152439710,138251032,155020006,157152207,144256141,157154360,144259899,157250008,157141395,145632163,157144105,145632000,157036735,314767162,286189770,314767162,286189770,316762908,7.741012856125032,24.13166514517753,"(7.952263834269836,7.998339106315672,7.662916651402457,)","(3072,512,2286,)","(1.283974414402341e-05,1.283974414402341e-05,2.139957357337235e-06,)"
num_control_f64,159504736,8,19938092,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,152844795,152844795,156191290,156191290,156191290,147719407,139192117,147664568,139203572,150746904,147210523,138035829,147209566,138028191,150910492,144091612,138252184,144092936,138252470,155020006,157109930,144255351,157109328,144257765,157250008,156986298,145628814,156985794,145630130,157036735,316709858,286189770,316709858,286189770,316762908,7.638294750657897,24.13166514517753,"(7.043934768363404,7.9983463933251,7.992620304507587,)","(1143,1024,1143,)","(4.27991471467447e-06,6.419872072011705e-06,4.27991471467447e-06,)"
num_control_f64,159504736,8,19938092,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,152842879,152842879,156191290,156191290,156191290,147075620,139216656,147027678,139161959,150746904,146790243,138035653,146786634,138030557,150910492,143392897,138227370,143387571,138284232,155020006,157109118,144253259,157106942,144257672,157250008,156988243,145632065,156987476,145628830,157036735,316710448,286189770,316710448,286189770,316762908,7.637464576615102,24.13166514517753,"(7.998314997663334,7.98640647114771,7.043986225878465,)","(1143,1024,1143,)","(4.27991471467447e-06,6.419872072011705e-06,4.27991471467447e-06,)"
num_control_f64,159504736,8,19938092,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,154030452,154030452,156191290,156191290,156191290,148234696,139201390,148218211,139161278,150746904,147879302,138035804,147880317,138031581,150910492,150976116,138239286,150937418,138245163,155020006,157140456,144255787,157133483,144254018,157250008,157050573,145631699,157049573,145629689,157036735,316103180,286189770,316103180,286189770,316762908,7.684775166957547,24.13166514517753,"(7.998339106315672,7.9983463414183005,7.377420685564749,7.985916572833701,)","(512,1024,1524,1025,)","(1.283974414402341e-05,1.283974414402341e-05,3.2099360360058524e-06,6.419872072011705e-06,)"
