dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
nyc_taxi2015_f64,713943208,8,89242901,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,398472465,398472465,442311924,442311924,442311924,278303073,289677077,278304348,289685358,244549141,272936843,276513376,272937007,276515513,232412380,185877601,231315936,185892560,231336606,145764750,446893293,434142938,446899680,434130657,382545536,469327896,450896525,469326996,450896607,378320168,1223258960,1081864302,1223258960,1081864302,925243314,4.4252922732882745,13.17162510588812,"(4.090812069022045,4.562586799697516,4.249296059398287,)","(17,60,24,)","(5.378579075998437e-07,5.737151014398333e-07,1.294220590162124e-06,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (6,2,1,5,0,3,), (4,7,), )",-1,410592299,410592299,442311924,442311924,442311924,257686202,289684963,257687491,289686582,244549141,253802696,276511598,253803481,276513427,232412380,162784103,231308339,162788550,231331351,145764750,402727354,434130326,402727100,434131331,382545536,409845894,450900193,409846151,450900735,378320168,1093363068,1081864302,1093363068,1081864302,925243314,4.554626743446729,13.17162510588812,"(4.4347270894266355,4.914325705507009,)","(72,25,)","(4.780959178665278e-07,1.4342877535995832e-06,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,377617285,377617285,442311924,442311924,442311924,277889810,289682816,277911334,289686802,244549141,281446803,276512668,281448766,276515214,232412380,191283756,231324199,191296327,231334148,145764750,462845478,434134904,462846785,434132165,382545536,481303272,450893355,481303915,450895602,378320168,1072618362,1081864302,1072618362,1081864302,925243314,4.168453638714883,13.17162510588812,"(2.0745011626525045,1.3092154577915396,5.174620084050595,4.090812069022045,)","(29,12,62,17,)","(2.9133969994991535e-07,6.723223844998046e-08,5.737151014398333e-07,5.378579075998437e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (0,), (7,6,1,3,4,2,5,), )",-1,424175733,424175733,442311924,442311924,442311924,267536344,289683839,267566559,289683811,244549141,261406691,276512279,261407877,276518138,232412380,167170681,231331990,167176624,231358483,145764750,411977615,434138244,411978307,434127336,382545536,406743489,450895135,406743890,450896280,378320168,1087012300,1081864302,1087012300,1081864302,925243314,4.720347543202434,13.17162510588812,"(2.4037176028653247,5.051294677536307,)","(28,84,)","(3.585719383998958e-07,4.0979650102845236e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (2,7,6,), (4,0,3,5,1,), )",-1,410768659,410768659,442311924,442311924,442311924,262310890,289688401,262305338,289685352,244549141,251912154,276513113,251912647,276514523,232412380,166624562,231327216,166631368,231334532,145764750,389984635,434131955,389979896,434133768,382545536,434505247,450891972,434504741,450892585,378320168,1172534618,1081864302,1172534618,1081864302,925243314,4.5444993356208165,13.17162510588812,"(4.057176967519962,4.83689275648133,)","(37,76,)","(8.74019099849746e-07,5.737151014398333e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (4,6,1,3,0,), (2,7,5,), )",-1,413784641,413784641,442311924,442311924,442311924,262506940,289683359,262511564,289683338,244549141,262741136,276513120,262741276,276515010,232412380,170973205,231320363,170979727,231324641,145764750,414808107,434131395,414798390,434131558,382545536,461564687,450891851,461567378,450894067,378320168,1252261102,1081864302,1252261102,1081864302,925243314,4.594878753096654,13.17162510588812,"(4.998227407801886,3.9226309952546012,)","(61,37,)","(5.737151014398333e-07,9.561918357330555e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,395578148,395578148,442311924,442311924,442311924,263862750,289680352,263889166,289686241,244549141,247978743,276513554,247980629,276516498,232412380,169924144,231345780,169937938,231334078,145764750,433575511,434132309,433573401,434142201,382545536,412587415,450899243,412589517,450895163,378320168,1136338986,1081864302,1136338986,1081864302,925243314,4.39054961966231,13.17162510588812,"(4.35111179122379,2.0745011626525045,4.783130667237031,)","(12,29,76,)","(2.5660304341742543e-06,2.9133969994991535e-07,4.780959178665278e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,391021025,391021025,442311924,442311924,442311924,277033133,289679223,277040787,289681630,244549141,269915756,276512756,269916563,276515230,232412380,187191247,231326219,187209598,231340191,145764750,438930052,434146552,438922022,434144901,382545536,439768244,450891019,439768642,450895863,378320168,1201622966,1081864302,1201622966,1081864302,925243314,4.342906436480721,13.17162510588812,"(2.934832403470458,4.746970799386724,5.481604227553649,)","(36,32,37,)","(1.8302109355828016e-07,1.4342877535995832e-06,9.561918357330555e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,388722277,388722277,442311924,442311924,442311924,279420832,289685142,279424488,289689138,244549141,265184522,276513612,265185767,276512300,232412380,183312274,231333464,183308037,231336336,145764750,416740413,434138432,416740780,434135296,382545536,440253257,450897853,440250835,450896948,378320168,1208081556,1081864302,1208081556,1081864302,925243314,4.314763078693446,13.17162510588812,"(5.127779564211206,4.109312110824524,3.6387139050882995,)","(46,24,38,)","(9.561918357330555e-07,1.3054259632371206e-06,2.4278308329159614e-07,)"
nyc_taxi2015_f64,713943208,8,89242901,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,386115524,386115524,442311924,442311924,442311924,287777741,289679155,287779311,289684978,244549141,277218290,276514865,277219355,276516868,232412380,193580553,231322674,193613186,231331945,145764750,444954147,434139798,444952377,434127947,382545536,447330348,450895721,447330034,450897329,378320168,1201760992,1081864302,1201760992,1081864302,925243314,4.270975436402462,13.17162510588812,"(2.0745011626525045,4.090812069022045,4.264960253208083,5.471324623356407,)","(29,17,48,24,)","(2.9133969994991535e-07,5.378579075998437e-07,7.171438767997916e-07,1.4342877535995832e-06,)"
