dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
phone_gyro_f64,334383160,8,41797895,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,303000999,303000999,312885790,312885790,312885790,189638076,250060963,189714029,250076823,92185828,185291349,243393862,185292059,243388935,117078191,156960507,253228685,157004949,253209284,76875190,249339607,288601443,249358868,288605371,188039998,274882721,292074055,274869859,292079419,200749299,662506094,611219288,662506094,611219288,659677738,7.221104203064563,14.769069201684335,"(6.961200234247743,7.0510604711597304,7.776165517235052,)","(12,6,4,)","(6.124710347255526e-06,1.2249420694511051e-06,3.062355173627763e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (6,2,1,5,0,3,), (4,7,), )",-1,297190731,297190731,312885790,312885790,312885790,126841940,250111767,126848332,250103416,92185828,139865683,243393830,139866972,243395796,117078191,106822113,253216443,106845371,253226755,76875190,210870681,288603377,210870566,288603815,188039998,236915848,292074796,236924234,292077592,200749299,663527352,611219288,663527352,611219288,659677738,7.084932238573331,14.769069201684335,"(7.91121886611578,4.606072355945987,)","(8,15,)","(1.020785057875921e-06,3.062355173627763e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,289859133,289859133,312885790,312885790,312885790,162742035,250046962,162750047,250044464,92185828,168855122,243393030,168856319,243398065,117078191,150233090,253250744,150163748,253218259,76875190,230261079,288593736,230262686,288603878,188039998,255808982,292077082,255810565,292077361,200749299,623252384,611219288,623252384,611219288,659677738,6.852520799219406,14.769069201684335,"(7.886303694019569,1.0494046455668429,7.7846515639842195,6.961200234247743,)","(9,6871,5,12,)","(6.124710347255526e-06,1.674725485577683e-07,1.2249420694511051e-06,6.124710347255526e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (0,), (7,6,1,3,4,2,5,), )",-1,310350731,310350731,312885790,312885790,312885790,131604946,250113651,131607769,250076401,92185828,144586541,243379516,144590432,243400957,117078191,112603346,253181302,112691015,253267088,76875190,208392273,288607837,208380038,288599646,188039998,228863299,292074291,228862939,292079123,200749299,660979896,611219288,660979896,611219288,659677738,7.396678349779728,14.769069201684335,"(7.7141031203561,7.351331953983104,)","(9,7,)","(6.124710347255526e-06,8.749586210365036e-07,)"
phone_gyro_f64,334383160,8,41797895,"( (2,7,6,), (4,0,3,5,1,), )",-1,303861584,303861584,312885790,312885790,312885790,169344639,250084037,169358216,250062950,92185828,168027841,243380483,168024957,243393136,117078191,127311866,253219827,127248133,253158603,76875190,241974276,288605551,241971844,288601874,188039998,270257026,292078193,270257080,292074574,200749299,664558276,611219288,664558276,611219288,659677738,7.231578760337888,14.769069201684335,"(6.436768314563934,7.708465027802259,)","(6,13,)","(2.041570115751842e-06,1.2249420694511051e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (4,6,1,3,0,), (2,7,5,), )",-1,305154481,305154481,312885790,312885790,312885790,177218724,250098359,177219452,250126095,92185828,175071862,243401160,175083132,243405074,117078191,131276236,253185292,131351030,253195695,76875190,253299136,288610988,253300631,288611378,188039998,277285980,292077223,277275447,292075983,200749299,664849918,611219288,664849918,611219288,659677738,7.263169644608137,14.769069201684335,"(7.7341412250362325,6.478217010561312,)","(8,5,)","(1.2249420694511051e-06,2.041570115751842e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,305950731,305950731,312885790,312885790,312885790,161833140,250035134,161858425,250071009,92185828,167920392,243399540,167916660,243398912,117078191,143989205,253148022,144004689,253204126,76875190,248811285,288596399,248829092,288605466,188039998,257171726,292074317,257170528,292074613,200749299,660328192,611219288,660328192,611219288,659677738,7.287834212484908,14.769069201684335,"(7.36109152918273,7.8780650308375995,7.177252856643157,)","(17,9,6,)","(5.981162448491724e-06,6.124710347255526e-06,1.020785057875921e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,302034003,302034003,312885790,312885790,312885790,248518949,250100669,248565243,250098369,92185828,227642504,243377296,227642619,243376593,117078191,177003914,253248477,177200468,253225952,76875190,297081054,288607308,297021527,288611334,188039998,304544341,292074559,304538033,292075707,200749299,664657768,611219288,664657768,611219288,659677738,7.188164488753856,14.769069201684335,"(6.48289634872085,7.402821680492785,7.75032783429424,)","(5,10,5,)","(2.041570115751842e-06,3.062355173627763e-06,2.041570115751842e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,300673574,300673574,312885790,312885790,312885790,246334452,250095406,246331958,250071557,92185828,222746095,243383319,222743603,243398460,117078191,175424574,253181879,175544044,253232772,76875190,293718340,288598362,293682708,288601394,188039998,302474811,292073939,302470463,292074144,200749299,663208028,611219288,663208028,611219288,659677738,7.155983369461824,14.769069201684335,"(7.608194317948658,7.8013104953853745,6.273554337025955,)","(8,12,4,)","(2.041570115751842e-06,3.062355173627763e-06,2.041570115751842e-06,)"
phone_gyro_f64,334383160,8,41797895,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,300618935,300618935,312885790,312885790,312885790,233625202,250042298,233698479,250066187,92185828,216914582,243381332,216918630,243387768,117078191,192367237,253194037,192529745,253130011,76875190,277813219,288590791,277894823,288604116,188039998,298617239,292074841,298599785,292078862,200749299,663083284,611219288,663083284,611219288,659677738,7.167220810730681,14.769069201684335,"(7.8780650308375995,6.961200234247743,6.725498511366295,7.798253587647467,)","(9,12,4,5,)","(6.124710347255526e-06,6.124710347255526e-06,1.5311775868138814e-06,3.062355173627763e-06,)"
