dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
rsim_f32,94281724,4,23570431,"( (1,), (0,3,), (2,), )",-1,72829394,72829394,74754590,74754590,74754590,58710546,49928414,58710671,49928794,63568746,59267183,50806787,59268565,50808636,64965963,51614868,49257238,51625018,49264404,65067153,70623252,56464632,70625635,56463674,71511324,69947721,55180940,69943537,55169305,70343040,139431330,110497106,139431330,110497106,140199412,6.142275761013918,18.49633411327401,"(6.751662226465113,5.550481568227612,6.7164776811353395,)","(1695665,23017,1695665,)","(1.0861065714072008e-05,5.430532857036004e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,2,3,), )",-1,74097659,74097659,74754590,74754590,74754590,62711381,49929358,62711577,49929236,63568746,63918173,50808559,63923860,50807780,64965963,58461330,49267922,58483715,49275854,65067153,71495486,56461533,71497851,56471031,71511324,70603019,55171250,70604876,55178228,70343040,140437526,110497106,140437526,110497106,140199412,6.252732705914422,18.49633411327401,"(6.751662226465113,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,), (1,2,0,), )",-1,69199050,69199050,74754590,74754590,74754590,52295211,49929253,52295885,49928926,63568746,53664679,50808178,53665298,50809222,64965963,52794816,49273252,52796812,49294478,65067153,57033419,56468127,57034034,56472490,71511324,55677587,55173499,55678021,55174317,70343040,111260640,110497106,111260640,110497106,140199412,5.835959644252597,18.49633411327401,"(3.107139554918616,6.745566340697257,)","(11508,5086995,)","(2.757692466463596e-06,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,2,), (3,), )",-1,69199050,69199050,74754590,74754590,74754590,52216605,49929198,52216696,49929236,63568746,53656942,50807252,53657086,50807780,64965963,52774509,49272002,52777758,49275854,65067153,57006645,56471982,57005713,56471031,71511324,55647864,55174358,55651726,55178228,70343040,111259114,110497106,111259114,110497106,140199412,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (1,0,), (3,2,), )",-1,72854792,72854792,74754590,74754590,74754590,55012659,49929066,55012543,49928794,63568746,56189656,50807386,56190721,50808636,64965963,49635807,49260729,49644096,49264404,65067153,67043574,56468021,67045287,56463674,71511324,67242892,55173333,67244456,55169305,70343040,140440498,110497106,140440498,110497106,140199412,6.14325640588189,18.49633411327401,"(6.751592197585234,5.534920614178546,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,1,3,), (2,), )",-1,73888479,73888479,74754590,74754590,74754590,60319217,49928693,60319607,49929019,63568746,61714714,50807846,61716020,50808877,64965963,56042276,49260194,56074952,49264805,65067153,70695868,56462756,70697212,56464075,71511324,69750125,55172325,69747084,55169264,70343040,139192352,110497106,139192352,110497106,140199412,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (2,1,0,), (3,), )",-1,69199050,69199050,74754590,74754590,74754590,52236992,49928606,52237092,49928643,63568746,53660818,50807335,53661893,50807866,64965963,52749568,49263053,52752990,49266548,65067153,57032746,56469335,57031813,56468397,71511324,55667143,55174574,55671018,55178446,70343040,111257566,110497106,111257566,110497106,140199412,5.835959644252597,18.49633411327401,"(6.745566340697257,3.107139554918616,)","(5086995,11508,)","(3.620355238024003e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (2,), (1,3,), )",-1,72829268,72829268,74754590,74754590,74754590,58700327,49928414,58700912,49928612,63568746,59254566,50806818,59257587,50809253,64965963,51612958,49257263,51632584,49276102,65067153,70615780,56464632,70614413,56468195,71511324,69937980,55180936,69938097,55177146,70343040,139432730,110497106,139432730,110497106,140199412,6.142296787822806,18.49633411327401,"(6.751501567256424,6.7164776811353395,5.550603951449731,)","(1695665,1695665,23017,)","(1.0861065714072008e-05,1.0861065714072008e-05,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (0,3,2,), )",-1,74097659,74097659,74754590,74754590,74754590,62773634,49929249,62771467,49928794,63568746,63934678,50808460,63938202,50808636,64965963,58416847,49260151,58442484,49264404,65067153,71552946,56467798,71555218,56463674,71511324,70679098,55180789,70677824,55169305,70343040,140436082,110497106,140436082,110497106,140199412,6.252732705914422,18.49633411327401,"(6.751662226465113,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,), (2,), )",-1,73888479,73888479,74754590,74754590,74754590,60316917,49927674,60317295,49928006,63568746,61717774,50807251,61718795,50808125,64965963,56054744,49264304,56086812,49287886,65067153,70769604,56469942,70770945,56471272,71511324,69846958,55174378,69843901,55171332,70343040,139191838,110497106,139191838,110497106,140199412,6.248799998494674,18.49633411327401,"(6.092907437614452,6.7164776811353395,)","(34526,1695665,)","(3.620355238024003e-06,1.0861065714072008e-05,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,), (3,), )",-1,69193761,69193761,74754590,74754590,74754590,52359680,49929246,52359671,49929460,63568746,52907314,50806785,52910029,50808022,64965963,52708033,49264475,52713418,49276901,65067153,57103776,56467991,57101312,56471432,71511324,55834152,55173377,55839177,55178188,70343040,111501464,110497106,111501464,110497106,140199412,5.834872172643815,18.49633411327401,"(6.751501567256424,6.740423784200108,3.107139554918616,)","(1695665,3391330,11508,)","(1.0861065714072008e-05,5.430532857036004e-06,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (2,), (1,0,3,), )",-1,73888479,73888479,74754590,74754590,74754590,60320386,49928468,60320863,49928643,63568746,61714580,50807605,61715856,50807866,64965963,56032151,49259793,56054209,49266548,65067153,70700001,56462355,70697711,56468397,71511324,69749169,55172366,69751036,55178446,70343040,139191510,110497106,139191510,110497106,140199412,6.248799998494674,18.49633411327401,"(6.7164776811353395,6.092907437614452,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (2,3,0,), )",-1,74097659,74097659,74754590,74754590,74754590,62821296,49928416,62818385,49928840,63568746,63949545,50806125,63947804,50810245,64965963,58402026,49257671,58423346,49268911,65067153,71587264,56464750,71586489,56461653,71511324,70716310,55181043,70715507,55171247,70343040,140433918,110497106,140433918,110497106,140199412,6.252732705914422,18.49633411327401,"(6.751662226465113,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (2,1,), (3,0,), )",-1,72834296,72834296,74754590,74754590,74754590,61179535,49928419,61179525,49928194,63568746,61394593,50806344,61395777,50809408,64965963,55027706,49261536,55032163,49262257,65067153,71370344,56469218,71373672,56462863,71511324,70664148,55174408,70665973,55172322,70343040,140434246,110497106,140434246,110497106,140199412,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (2,3,0,1,), )",-1,74754590,74754590,74754590,74754590,74754590,63612574,49927976,63612574,49927976,63568746,64987502,50807883,64987502,50807883,64965963,65059287,49266129,65059287,49266129,65067153,71629462,56465163,71629462,56465163,71511324,70444651,55180727,70444651,55180727,70343040,140195814,110497106,140195814,110497106,140199412,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,2,3,), )",-1,74097942,74097942,74754590,74754590,74754590,62672694,49929356,62671222,49929460,63568746,63932604,50808343,63935087,50808022,64965963,58444534,49268425,58464550,49276901,65067153,71486890,56461533,71485454,56471432,71511324,70588278,55171248,70588786,55178188,70343040,140440096,110497106,140440096,110497106,140199412,6.252722334798021,18.49633411327401,"(6.751501567256424,6.08646259064522,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
rsim_f32,94281724,4,23570431,"( (3,1,2,0,), )",-1,74754590,74754590,74754590,74754590,74754590,63613633,49928926,63613633,49928926,63568746,64975533,50809222,64975533,50809222,64965963,64802366,49294478,64802366,49294478,65067153,71633610,56472490,71633610,56472490,71511324,70455846,55174317,70455846,55174317,70343040,140195842,110497106,140195842,110497106,140199412,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,3,), (2,0,), )",-1,72834533,72834533,74754590,74754590,74754590,61157854,49928237,61158954,49928739,63568746,61392082,50807413,61393294,50810507,64965963,55072727,49261796,55076812,49273425,65067153,71288155,56464665,71287627,56467921,71511324,70627908,55180905,70628399,55180799,70343040,140430952,110497106,140430952,110497106,140199412,6.145504124447788,18.49633411327401,"(5.550603951449731,6.740404297445846,)","(23017,3391330,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (3,0,1,2,), )",-1,74754590,74754590,74754590,74754590,74754590,63557328,49928006,63557328,49928006,63568746,64967845,50808125,64967845,50808125,64965963,65131598,49287886,65131598,49287886,65067153,71607642,56471272,71607642,56471272,71511324,70421667,55171332,70421667,55171332,70343040,140197706,110497106,140197706,110497106,140199412,6.31840638845061,18.49633411327401,"(6.31840638845061,)","(46035,)","(2.715266428518002e-06,)"
rsim_f32,94281724,4,23570431,"( (1,2,), (3,0,), )",-1,72834296,72834296,74754590,74754590,74754590,61171968,49929066,61171956,49928840,63568746,61380777,50807199,61380908,50810245,64965963,55052319,49266923,55057070,49268911,65067153,71341408,56468021,71344737,56461653,71511324,70644696,55173333,70646540,55171247,70343040,140435782,110497106,140435782,110497106,140199412,6.145452676213861,18.49633411327401,"(6.740423784200108,5.550481568227612,)","(3391330,23017,)","(5.430532857036004e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (1,), (2,), (3,), )",-1,69188859,69188859,74754590,74754590,74754590,49928534,49928534,49929460,49929460,63568746,50805289,50805289,50808022,50808022,64965963,49254421,49254421,49276901,49276901,65067153,56468754,56468754,56471432,56471432,71511324,55174523,55174523,55178188,55178188,70343040,110497106,110497106,110497106,110497106,140199412,5.831695257443874,18.49633411327401,"(6.751501567256424,6.751662226465113,6.7164776811353395,3.107139554918616,)","(1695665,1695665,1695665,11508,)","(1.0861065714072008e-05,1.0861065714072008e-05,1.0861065714072008e-05,2.757692466463596e-06,)"
rsim_f32,94281724,4,23570431,"( (0,), (3,), (2,1,), )",-1,69193761,69193761,74754590,74754590,74754590,52367247,49928599,52366449,49928817,63568746,52921130,50805930,52924033,50810166,64965963,52683420,49259088,52689066,49272638,65067153,57132712,56469188,57129319,56468198,71511324,55853604,55174452,55860115,55180471,70343040,111499928,110497106,111499928,110497106,140199412,5.834872172643815,18.49633411327401,"(6.751501567256424,3.107139554918616,6.740423784200108,)","(1695665,11508,3391330,)","(1.0861065714072008e-05,2.757692466463596e-06,5.430532857036004e-06,)"
rsim_f32,94281724,4,23570431,"( (1,), (3,0,2,), )",-1,74097659,74097659,74754590,74754590,74754590,62711893,49929196,62711344,49928748,63568746,63918726,50807132,63915592,50809724,64965963,58449414,49280191,58469430,49282244,65067153,71563462,56471966,71562014,56466098,71511324,70685029,55174345,70686476,55177999,70343040,140435822,110497106,140435822,110497106,140199412,6.252732705914422,18.49633411327401,"(6.751662226465113,6.086422865730858,)","(1695665,34526,)","(1.0861065714072008e-05,3.620355238024003e-06,)"
