dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,), (2,), )",-1,320208767,320208767,360462309,360462309,360462309,304996472,266579852,305003060,266587526,294448600,302255788,268030962,302252941,268030410,268001089,289282556,268135993,289301037,268148650,203030276,396370894,348673859,396401820,348691982,366740424,405641524,350556882,405650139,350578745,400860024,841467836,814810538,841467836,814810538,824337092,6.014406852251749,14.055260454263976,"(6.07847427235213,5.034544578447319,7.910063979760233,)","(6,7,4,)","(2.4152052339988102e-06,4.575681790974308e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,2,3,), )",-1,345778860,345778860,360462309,360462309,360462309,328577211,266614059,328586786,266617800,294448600,305389645,268031251,305388679,268030034,268001089,264509011,268153966,264610682,268164503,203030276,404796667,348680869,404817572,348685261,366740424,419687263,350569720,419706123,350577690,400860024,839986564,814810538,839986564,814810538,824337092,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,), (1,2,0,), )",-1,325381356,325381356,360462309,360462309,360462309,283536660,266653295,283538793,266654937,294448600,253225020,268026813,253228478,268028589,268001089,214120658,268179691,214162689,268183137,203030276,341360571,348689258,341351898,348689301,366740424,349756851,350574543,349755540,350586316,400860024,820816860,814810538,820816860,814810538,824337092,6.098220288428737,14.055260454263976,"(3.4917081194283854,6.967057678095522,)","(12,12,)","(2.2642549068738846e-07,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,2,), (3,), )",-1,325381356,325381356,360462309,360462309,360462309,260466410,266622410,260466021,266617800,294448600,244592179,268028962,244593430,268030034,268001089,199879215,268161124,199883219,268164503,203030276,336054031,348684562,336054730,348685261,366740424,345162354,350574763,345165214,350577690,400860024,806908408,814810538,806908408,814810538,824337092,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (1,0,), (3,2,), )",-1,331282531,331282531,360462309,360462309,360462309,293078333,266624911,293101066,266587526,294448600,270908476,268030005,270907919,268030410,268001089,227369777,268143490,227382794,268148650,203030276,376587596,348687878,376614019,348691982,366740424,411150389,350575634,411150597,350578745,400860024,823503898,814810538,823503898,814810538,824337092,6.225517495671829,14.055260454263976,"(5.902882292764739,6.548152698578919,)","(10,7,)","(1.2076026169994051e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (0,1,3,), (2,), )",-1,341669800,341669800,360462309,360462309,360462309,275832983,266600562,275825517,266592730,294448600,263485761,268030617,263486147,268031093,268001089,221805694,268166749,221818233,268161491,203030276,358792038,348680271,358800789,348689038,366740424,375794976,350569997,375803575,350578597,400860024,826665368,814810536,826665368,814810536,824337092,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
solar_wind_f32,423980532,4,105995133,"( (2,1,0,), (3,), )",-1,325381356,325381356,360462309,360462309,360462309,266479909,266630784,266479550,266629170,294448600,245828891,268027631,245829830,268028856,268001089,204585014,268181028,204589121,268182337,203030276,337525541,348688910,337526162,348689609,366740424,347363675,350574820,347366538,350577698,400860024,805728990,814810538,805728990,814810538,824337092,6.098220288428737,14.055260454263976,"(6.967057678095522,3.4917081194283854,)","(12,12,)","(8.050684113329367e-07,2.2642549068738846e-07,)"
solar_wind_f32,423980532,4,105995133,"( (0,), (2,), (1,3,), )",-1,318676531,318676531,360462309,360462309,360462309,309885422,266583466,309945985,266656025,294448600,308919536,268030882,308917651,268029794,268001089,283765768,268135961,283801577,268173684,203030276,412939567,348674175,412944379,348685367,366740424,422293012,350556882,422311070,350577390,400860024,837322756,814810538,837322756,814810538,824337092,5.985177481200778,14.055260454263976,"(4.713662798439065,7.910063979760233,5.658491573301907,)","(6,4,7,)","(7.736204265152439e-07,2.4152052339988102e-06,1.2076026169994051e-06,)"
solar_wind_f32,423980532,4,105995133,"( (1,), (0,3,2,), )",-1,345778860,345778860,360462309,360462309,360462309,328787230,266599141,328799122,266587526,294448600,311067084,268030737,311069797,268030410,268001089,263832863,268131419,263915524,268148650,203030276,411429530,348676598,411362226,348691982,366740424,420540468,350559417,420555118,350578745,400860024,841108014,814810538,841108014,814810538,824337092,6.502536791567746,14.055260454263976,"(6.07847427235213,6.643890964639617,)","(6,10,)","(2.4152052339988102e-06,8.050684113329367e-07,)"
solar_wind_f32,423980532,4,105995133,"( (3,0,1,), (2,), )",-1,341669800,341669800,360462309,360462309,360462309,275025741,266604669,275018272,266642153,294448600,264011678,268028794,264011419,268028303,268001089,223374147,268147663,223388691,268165284,203030276,358715421,348678744,358724170,348696392,366740424,377478391,350568630,377486991,350585912,400860024,826848054,814810536,826848054,814810536,824337092,6.402340537573227,14.055260454263976,"(5.899766056844225,7.910063979760233,)","(11,4,)","(8.050684113329367e-07,2.4152052339988102e-06,)"
