dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,3,), (2,), )",-1,132378467,132378467,146828062,146828062,146828062,129345948,118299445,129362502,118309164,139264360,129503645,119291163,129505170,119295265,132391174,122731537,116191883,122745765,116200297,109372755,163128066,149387875,163127100,149389538,162090972,168233304,150055876,168232542,150056317,166599983,332210290,299487372,332210290,299487372,322110188,6.097503764857313,17.407346762848366,"(7.26720306709632,4.6778747143579205,7.767062563617094,)","(19,15,12,)","(5.9258067239341876e-06,1.3425655858913394e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,2,3,), )",-1,142661750,142661750,146828062,146828062,146828062,140659761,118309861,140659609,118315348,139264360,138018315,119293098,138018485,119293787,132391174,123496229,116202160,123503906,116205293,109372755,168496517,149388691,168497381,149384342,162090972,171288424,150059122,171286938,150058532,166599983,328825014,299487372,328825014,299487372,322110188,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,22,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,), (1,2,0,), )",-1,132477387,132477387,146828062,146828062,146828062,126347815,118307589,126346802,118308482,139264360,120815605,119291986,120816799,119293396,132391174,114527196,116197365,114545494,116228883,109372755,148298561,149385650,148301574,149384846,162090972,149958149,150056267,149958135,150055758,166599983,299336704,299487372,299336704,299487372,322110188,6.100469639298032,17.407346762848366,"(3.0430699867830926,7.119602856803012,)","(12,23,)","(5.78692062884198e-07,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,2,), (3,), )",-1,132477387,132477387,146828062,146828062,146828062,125587205,118312633,125586484,118315348,139264360,120041655,119293374,120042874,119293787,132391174,109483372,116203834,109493181,116205293,109372755,148931163,149387372,148927584,149384342,162090972,149626757,150056779,149626046,150058532,166599983,296077958,299487372,296077958,299487372,322110188,6.100469639298031,17.407346762848366,"(7.119602856803011,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,0,), (3,2,), )",-1,137786144,137786144,146828062,146828062,146828062,133888360,118307401,133891689,118309164,139264360,129987638,119293068,129988200,119295265,132391174,109576610,116201614,109594750,116200297,109372755,167707016,149387307,167707712,149389538,162090972,171993407,150056832,171993519,150056317,166599983,326245780,299487372,326245780,299487372,322110188,6.346029256888285,17.407346762848366,"(6.468525325117747,6.223533188658822,)","(38,15,)","(2.9629033619670938e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,1,3,), (2,), )",-1,141364009,141364009,146828062,146828062,146828062,130022110,118309509,130024621,118310373,139264360,123975115,119293172,123975214,119294937,132391174,104138770,116197608,104165200,116202020,109372755,160033534,149388970,160033529,149388960,162090972,166127444,150059123,166127529,150059205,166599983,325242082,299487372,325242082,299487372,322110188,6.515434113720151,17.407346762848366,"(6.098224630421169,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (2,1,0,), (3,), )",-1,132477387,132477387,146828062,146828062,146828062,125118599,118308054,125117826,118307919,139264360,119579526,119291918,119580312,119292253,132391174,110273495,116198807,110282436,116200826,109372755,147507924,149385908,147504326,149382299,162090972,149267989,150052023,149270265,150052784,166599983,295955470,299487372,295955470,299487372,322110188,6.100469639298033,17.407346762848366,"(7.119602856803013,3.0430699867830926,)","(23,12,)","(1.9752689079780625e-06,5.78692062884198e-07,)"
tpcds_catalog_f32,172803476,4,43200869,"( (0,), (2,), (1,3,), )",-1,131749488,131749488,146828062,146828062,146828062,130632963,118299251,130649504,118313803,139264360,132245667,119292200,132247308,119292173,132391174,119550177,116194704,119564661,116199192,109372755,169909423,149387919,169910696,149383143,162090972,172425410,150053908,172426357,150053334,166599983,328081884,299487372,328081884,299487372,322110188,6.067517880513595,17.407346762848366,"(4.533815154174166,7.767062563617094,5.98459690213156,)","(28,12,15,)","(2.314768251536792e-06,5.9258067239341876e-06,2.9629033619670938e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (1,), (0,3,2,), )",-1,142661750,142661750,146828062,146828062,146828062,140637888,118299576,140643614,118309164,139264360,138862873,119291162,138862927,119295265,132391174,123513369,116195669,123524085,116200297,109372755,170422622,149387832,170424993,149389538,162090972,171540191,150056007,171538526,150056317,166599983,328841162,299487372,328841162,299487372,322110188,6.5685554004546685,17.407346762848366,"(7.26720306709632,6.335672844907451,)","(19,23,)","(5.9258067239341876e-06,1.9752689079780625e-06,)"
tpcds_catalog_f32,172803476,4,43200869,"( (3,0,1,), (2,), )",-1,141364009,141364009,146828062,146828062,146828062,129846299,118305156,129848870,118306376,139264360,124704345,119291839,124705001,119291971,132391174,106160561,116224254,106191030,116230242,109372755,159494222,149387333,159494221,149387326,162090972,166106495,150056335,166106580,150056312,166599983,325701512,299487372,325701512,299487372,322110188,6.515434113720151,17.407346762848366,"(6.098224630421169,7.767062563617094,)","(23,12,)","(1.9752689079780625e-06,5.9258067239341876e-06,)"
